INEGI IX Censo Ejidal 2007,,,,,,,,
Superficie total de ejidos y comunidades Agrarias segun distribucion interna de la tierra,,,,,,,,cuadro1
por entidad federativa,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
entidad_federativa,ejidos_y_comunidades,superficie_total_(ha),distribucion_interna_de_la_tierra_(ha)_superficie_parcelada,distribucion_interna_de_la_tierra_(ha)_superficie_no_parcelada_total,distribucion_interna_de_la_tierra_(ha)_superficie_no_parcelada_uso_comun,distribucion_interna_de_la_tierra_(ha)_superficie_no_parcelada__asentamiento_humano_total,distribucion_interna_de_la_tierra_(ha)_superficie_no_parcelada__asentamiento_humano_reserva_de_crecimiento,distribucion_interna_de_la_tierra_(ha)_otras_superficies_(ha)
Estado sUnidos Mexicanos,31514,105948306.20,33628597.15,70669716.45,69298786.80,1370929.65,155524.98,1649992.64
Aguascalientes,187,276617.49,130752.72,138312.98,129113.64,9199.34,1299.17,7551.79
BajaCalifornia,240,5935533.15,2499351.25,3414457.09,3395375.58,19081.51,1501.10,21724.80
Baja California Sur,99,5090223.99,319210.02,4754400.44,4747556.88,6843.56,1648.70,16613.53
Campeche,385,3190615.08,824837.90,2339831.53,2314224.09,25607.44,4050.26,25945.66
Coahuila de Zaragoza,875,6509380.34,1576047.99,4893548.50,4859195.13,34353.37,3199.12,39783.84
Colima,165,339904.94,258363.03,72802.36,68543.13,4259.23,295.13,8739.55
Chiapas,2823,4440837.31,2468356.91,1787298.30,1641374.48,145923.83,32171.51,185182.10
Chihuahua,987,10374583.21,1234396.23,9009820.34,8947730.09,62090.25,8515.29,130366.63
DistritoFederal,37,56768.60,10118.68,45898.12,44155.00,1743.12,60.65,751.80
Durango,1124,8232289.63,825860.98,7341272.88,7292613.05,48659.83,5967.75,65155.77
Guanajuato,1543,1327660.88,681554.57,602661.80,557426.65,45235.15,2858.96,43444.51
Guerrero,1259,5006396.80,2041428.78,2861558.88,2773964.71,87594.17,2823.81,103409.14
Hidalgo,1189,1068219.94,512757.44,533416.44,499562.09,33854.35,2877.65,22046.05
Jalisco,1429,3376726.77,1282925.26,2029394.53,1991055.02,38339.51,4655.96,64406.97
Mexico,1233,1444331.17,791404.44,596087.12,535674.44,60412.68,10764.94,56839.62
Michoacan de Ocampo,1910,3046481.18,1474569.73,1516159.11,1454773.39,61385.73,7356.91,55752.48
Morelos,234,396526.15,205592.41,167063.67,143823.23,23240.43,1015.00,23870.07
Nayarit,404,2235943.81,816406.23,1374438.37,1351431.65,23006.72,2271.22,45099.22
Nuevo Leon,607,2075519.88,557941.32,1494711.81,1466753.29,27958.52,3804.45,22866.74
Oaxaca,1632,8621855.83,2971715.08,5432449.60,5311626.29,120823.31,13394.72,217690.60
Puebla,1194,1630741.40,710805.59,884512.06,849961.20,34550.86,3580.57,35423.75
Queretaro,378,583407.35,188897.42,382586.44,363816.74,18769.70,605.69,11923.97
Quintana Roo,282,2886520.89,254683.58,2605243.99,2569780.31,35463.68,5382.16,26593.32
San Luis Potosi,1421,4194487.12,1212473.53,2928047.85,2846664.53,81383.32,6708.58,53965.74
Sinaloa,1309,4156458.58,1794960.56,2264739.27,2215665.08,49074.19,2823.46,96758.75
Sonora,979,6344680.07,1177156.28,5105619.15,5056727.91,48891.24,4771.94,61904.64
Tabasco,779,1107745.79,873303.02,201477.84,185401.80,16076.04,545.57,32964.93
Tamaulipas,1391,2652920.67,1433707.86,1172963.63,1134393.34,38570.29,3916.66,46249.18
Tlaxcala,246,202118.05,152722.38,41477.94,37452.07,4025.87,197.00,7917.73
Veracruz Llave,3684,3011704.20,2635195.20,330561.98,249866.94,80695.04,4636.78,45947.02
Yucatan,722,2311646.45,557869.44,1743036.07,1710329.78,32706.29,5166.79,10740.94
Zacatecas,767,3819459.48,1153231.34,2603866.34,2552755.27,51111.07,6657.48,62361.80
"NOTA: La Informacion presentada corresponde a los datos captados en el cuestionario por medio de las preguntas: 1, 2.1.1, 2.1.2, 2.2, 2.3 y 2.4",,,,,,,,
http://www3.inegi.org.mx/sistemas/tabuladosbasicos/default.aspx?c=17351&s=est,,,,,,,,
