INEGI. IX Censo Ejidal 2007,,,,
Superficie parcelada segun uso agricola y riego,,,,cuadro 3
por entidad federativa,,,,
entidad_federativa,ejidos_y_comunidades_con_superficie_parcelada,superficie_parcelada_(ha)_total,superficie_parcelada_(ha)_con_uso_agricola,superficie_parcelada_(ha)_con_riego
Estados Unidos Mexicanos,28538,33628597.15,18980517.26,3771369.70
Aguascalientes,182,130752.72,122551.34,26993.57
Baja California,208,2499351.25,215258.36,167519.51
Baja California Sur,88,319210.02,20490.29,19699.29
Campeche,343,824837.90,203287.91,7794.32
Coahuila de Zaragoza,845,1576047.99,372432.97,135281.91
Colima,154,258363.03,138914.53,47549.31
Chiapas,2494,2468356.91,1543041.49,44175.51
Chihuahua,840,1234396.23,936951.27,214050.05
Distrito Federal,28,10118.68,8673.18,59.25
Durango,876,825860.98,667961.34,131274.67
Guanajuato,1521,681554.57,643572.79,196930.47
Guerrero,1087,2041428.78,1142588.17,93670.26
Hidalgo,1074,512757.44,414592.46,69992.12
Jalisco,1269,1282925.26,861807.87,171670.25
Mexico,1161,791404.44,606318.94,123711.50
Michoacan de Ocampo,1792,1474569.73,1123626.45,358200.56
Morelos,224,205592.41,182661.94,51478.42
Nayarit,359,816406.23,514011.25,107554.33
Nuevo Leon,587,557941.32,251526.43,40332.53
Oaxaca,1474,2971715.08,1904960.67,169843.67
Puebla,1126,710805.59,620006.21,96864.54
Queretaro,358,188897.42,169201.83,43649.43
Quintana Roo,153,254683.58,40004.18,1688.65
San Luis Potosi,1340,1212473.53,900382.31,84757.95
Sinaloa,1128,1794960.56,1337059.91,647110.17
Sonora,567,1177156.28,379428.56,288976.12
Tabasco,759,873303.02,284208.20,1481.48
Tamaulipas,1353,1433707.86,729785.65,218726.87
Tlaxcala,243,152722.38,151020.52,11012.40
Veracruz Llave,3611,2635195.20,1272261.40,80156.82
Yucatan,569,557869.44,189092.42,34008.76
Zacatecas,725,1153231.34,1032836.43,85155.02
"NOTA: La Informacion presentada corresponde a los datos captados en el cuestionario por medio de las preguntas:  2.2, 4 y 4.1",,,,
http://www3.inegi.org.mx/sistemas/tabuladosbasicos/default.aspx?c=17351&s=est,,,,
