INEGI. IX Censo Ejidal 2007,,,,,
Ejidos y comunidades con superficie de uso comun segun pastos no cultivados,,,,cuadro 6,
de agostadero o en montada por entidad federativa,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
entida_federativa,total_de_ejidos_y_comunidades_con_superficie_de_uso_comun,"ejidos_y_comunidades_con_pastos_no_cultivados,_de_agostadero_o_enmontada_total","ejidos_y_comunidades_con_pastos_no_cultivados,_de_agostadero_o_enmontada_principalmente_con_pastos_no_cultivados_total","ejidos_y_comunidades_con_pastos_no_cultivados,_de_agostadero_o_enmontada_principalmente_con_pastos_no_cultivados_sembrada_alguna_vez_en_los_ultimos_5_años",unidades_de_medida
Estados Unidos Mexicanos,22869,17615,12723,2155,Hectareas
Aguascalientes,154,150,143,8,Hectareas
Baja California,158,123,84,16,Hectareas
Baja California Sur,99,93,76,7,Hectareas
Campeche,332,267,169,110,Hectareas
Coahuila de Zaragoza,775,732,574,76,Hectareas
Colima,105,75,50,13,Hectareas
Chiapas,1726,934,616,141,Hectareas
Chihuahua,951,780,670,48,Hectareas
Distrito Federal,26,12,7,1,Hectareas
Durango,1072,978,834,93,Hectareas
Guanajuato,1173,1053,807,55,Hectareas
Guerrero,967,752,621,167,Hectareas
Hidalgo,1025,703,528,47,Hectareas
Jalisco,1127,908,702,203,Hectareas
Mexico,1044,660,482,69,Hectareas
Michoacan de Ocampo,1616,1245,939,177,Hectareas
Morelos,180,153,61,11,Hectareas
Nayarit,302,263,214,50,Hectareas
Nuevo Leon,535,486,279,34,Hectareas
Oaxaca,1277,942,693,177,Hectareas
Puebla,944,662,460,45,Hectareas
Queretaro,347,308,242,11,Hectareas
Quintana Roo,281,163,129,68,Hectareas
San Luis Potosi,944,798,597,74,Hectareas
Sinaloa,933,712,429,88,Hectareas
Sonora,864,693,485,63,Hectareas
Tabasco,273,160,131,25,Hectareas
Tamaulipas,920,775,429,36,Hectareas
Tlaxcala,169,86,74,4,Hectareas
Veracruz Llave,1164,671,388,76,Hectareas
Yucatan,633,554,228,138,Hectareas
Zacatecas,753,724,582,24,Hectareas
,,,,,
,,,,,
"NOTA :La Informacion presentada corresponde a los datos captados en el cuestionario pormedio de las preguntas: 2.3, 12, 13, 13.1 y 13.2",,,,,
http://www3.inegi.org.mx/sistemas/tabuladosbasicos/default.aspx?c=17351&s=est,,,,,
