INEGI. IX Censo Ejidal 2007,,,,,,
"Superficie de uso comun segun pastos no cultivados, de agostadero",,,,,cuadro 7,
o enmontada por entidad federativa,,,,,,
entidad_federativa,ejidos_y_comunidades_con_superficie_de_uso_comun,superficie_de_uso_comun_(ha),"superficie_de_uso_comun_con_pastos_no_cultivados,_de_agostadero_o_enmontada_(ha)_total","superficie_de_uso_comun_con_pastos_no_cultivados,_de_agostadero_o_enmontada_(ha)_principalmente_con_pastos_no_cultivados_total","superficie_de_uso_comun_con_pastos_no_cultivados,_de_agostadero_o_enmontada_(ha)_principalmente_con_pastos_no_cultivados_sembrados_alguna_vez_en_los_ultimos_cinco_años",unidad_de_medida
Estados Unidos Mexicanos,22869,69298786.80,39939462.46,24312705.79,418252.00,Hectareas
Aguascalientes,154,129113.64,100527.56,95766.93,647.64,Hectareas
Baja California,158,3395375.58,2069778.68,1474218.19,9426.18,Hectareas
Baja California Sur,99,4747556.88,4379353.69,3689578.67,5347.33,Hectareas
Campeche,332,2314224.09,434885.44,62718.52,43404.80,Hectareas
Coahuila de Zaragoza,775,4859195.13,4300347.05,2768724.27,9202.17,Hectareas
Colima,105,68543.13,19592.40,5902.88,318.19,Hectareas
Chiapas,1726,1641374.48,255132.89,70306.63,8206.70,Hectareas
Chihuahua,951,8947730.09,4771690.89,3603594.78,13947.80,Hectareas
Distrito Federal,26,44155.00,1869.48,900.84,3.00,Hectareas
Durango,1072,7292613.05,4165507.87,2901508.10,26484.43,Hectareas
Guanajuato,1173,557426.65,369804.37,251630.72,10095.54,Hectareas
Guerrero,967,2773964.71,1055288.02,521278.22,40633.14,Hectareas
Hidalgo,1025,499562.09,237092.26,139096.61,2123.37,Hectareas
Jalisco,1127,1991055.02,637331.93,320704.02,13660.30,Hectareas
Mexico,1044,535674.44,110677.66,39241.31,3874.33,Hectareas
Michoacan de Ocampo,1616,1454773.39,682576.90,295426.89,24246.99,Hectareas
Morelos,180,143823.23,109377.02,14579.28,195.00,Hectareas
Nayarit,302,1351431.65,494450.25,168379.47,15132.90,Hectareas
Nuevo Leon,535,1466753.29,1121549.68,454370.30,2438.14,Hectareas
Oaxaca,1277,5311626.29,1740681.04,449876.06,26585.34,Hectareas
Puebla,944,849961.20,490694.90,226809.24,5340.36,Hectareas
Queretaro,347,363816.74,208114.03,88348.69,188.05,Hectareas
Quintana Roo,281,2569780.31,294726.98,76792.34,30348.93,Hectareas
San Luis Potosi,944,2846664.53,2367640.33,1515023.88,11280.67,Hectareas
Sinaloa,933,2215665.08,1203997.74,431988.08,28025.47,Hectareas
Sonora,864,5056727.91,3841919.24,2801601.15,39449.45,Hectareas
Tabasco,273,185401.80,78602.61,52520.17,2095.72,Hectareas
Tamaulipas,920,1134393.34,865797.90,176370.55,1662.84,Hectareas
Tlaxcala,169,37452.07,11443.44,8720.98,26.26,Hectareas
Veracruz Llave,1164,249866.94,67028.20,25645.56,1178.48,Hectareas
Yucatan,633,1710329.78,1155113.01,71665.94,34532.38,Hectareas
Zacatecas,753,2552755.27,2296869.02,1509416.51,8150.07,Hectareas
"NOTA: La Informacion presentada corresponde a los datos captados en el cuestionario por medio de las preguntas:  2.3, 12, 13, 13.1 y 13.2",,,,,,
http://www3.inegi.org.mx/sistemas/tabuladosbasicos/default.aspx?c=17351&s=est,,,,,,
