INEGI. IX Censo Ejidal 2007,,,,
Ejidos y comunidades con superficie de uso comun desmontada para usoa gricola,,,cuadro 8,
y ganadero por entidad federativa,,,,
,,,,
,,,,
,,,,
entidad_federativa,total,ejidos_y_comunidades_con_superficie_de_uso_comun_desmontada_con_uso_agricola,ejidos_y_comunidades_con_superficie_de_uso_comun_desmontada_con_uso_ganadero,unidad_de_medida
Estados Unidos Mexicanos,1612,1188,788,Hectareas
Aguascalientes,3,3,2,Hectareas
Baja California,4,3,2,Hectareas
Baja California Sur,3,1,2,Hectareas
Campeche,86,68,38,Hectareas
Coahuila de Zaragoza,16,13,3,Hectareas
Colima,18,9,10,Hectareas
Chiapas,159,119,69,Hectareas
Chihuahua,54,47,28,Hectareas
Distrito Federal,3,2,1,Hectareas
Durango,50,40,22,Hectareas
Guanajuato,10,9,2,Hectareas
Guerrero,99,79,44,Hectareas
Hidalgo,31,21,14,Hectareas
Jalisco,136,95,74,Hectareas
Mexico,28,24,10,Hectareas
Michoacan de Ocampo,126,84,64,Hectareas
Morelos,10,7,3,Hectareas
Nayarit,41,26,29,Hectareas
Nuevo Leon,7,2,5,Hectareas
Oaxaca,155,127,67,Hectareas
Puebla,36,30,13,Hectareas
Queretaro,1,1,0,Hectareas
Quintana Roo,112,101,50,Hectareas
San Lui sPotosi,43,27,20,Hectareas
Sinaloa,65,51,38,Hectareas
Sonora,52,20,38,Hectareas
Tabasco,32,22,21,Hectareas
Tamaulipas,20,11,10,Hectareas
Tlaxcala,3,3,0,Hectareas
Veracruz Llave,113,61,70,Hectareas
Yucatan,87,77,33,Hectareas
Zacatecas,9,5,6,Hectareas
NOTA: La Informacion presentada corresponde a los datos captados en el cuestionario por medio de las preguntas: 10 y 10.1,,,,
http://www3.inegi.org.mx/sistemas/tabuladosbasicos/default.aspx?c=17351&s=est,,,,
