INEGI. IX Censo Ejidal 2007,,,,
Superficie de uso comun desmontada segun uso agricola,,,,cuadro 9
y ganadero por entidad federativa,,,,
entidad_federativa,ejidos_y_comunidades_con_superficie_de_uso_comun_desmontada,superficie_desmontada_para_uso_agricola_y_ganadero_(ha)_total,superficie_desmontada_para_uso_agricola_y_ganadero_(ha)_agricola,superficie_desmontada_para_uso_agricola_y_ganadero_(ha)_ganadero
Estados Unidos Mexicanos,1612,362036.40,186284.51,175751.89
Aguascalientes,3,22.00,16.00,6.00
Baja California,4,1626.77,1313.27,313.50
Baja California Sur,3,272.52,72.52,200.00
Campeche,86,19557.48,9200.81,10356.67
Coahuila de Zaragoza,16,780.27,534.27,246.00
Colima,18,371.84,128.21,243.63
Chiapas,159,14393.33,10023.45,4369.87
Chihuahua,54,38440.51,14736.10,23704.42
Distrito Federal,3,20.00,18.00,2.00
Durango,50,15367.97,9292.47,6075.50
Guanajuato,10,83.62,56.62,27.00
Guerrero,99,28964.09,13619.02,15345.07
Hidalgo,31,1388.11,667.31,720.80
Jalisco,136,46755.79,18591.67,28164.13
Mexico,28,576.93,332.48,244.44
Michoacan de Ocampo,126,14864.07,8843.20,6020.88
Morelos,10,412.63,176.13,236.50
Nayarit,41,30026.50,8074.35,21952.15
Nuevo Leon,7,709.19,139.19,570.00
Oaxaca,155,20118.13,12862.86,7255.27
Puebla,36,3353.39,1289.30,2064.08
Queretaro,1,15.00,15.00,.00
Quintana Roo,112,63142.49,50567.02,12575.47
San Luis Potosi,43,3495.42,2669.95,825.47
Sinaloa,65,10207.03,4819.97,5387.06
Sonora,52,14611.48,1040.24,13571.24
Tabasco,32,3273.57,1132.62,2140.95
Tamaulipas,20,1502.66,890.32,612.34
Tlaxcala,3,2.30,2.30,.00
Veracruz Llave,113,5229.56,2500.17,2729.39
Yucatan,87,21381.82,12214.76,9167.07
Zacatecas,9,1069.93,444.94,625.00
NOTA: La Informacion presentada corresponde a los datos captados en el cuestionario por medio de las preguntas:  10 y 10.1,,,,
http://www3.inegi.org.mx/sistemas/tabuladosbasicos/default.aspx?c=17351&s=est,,,,
