INEGI .IX Censo Ejidal 2007,,,,,,,
Ejidos y comunidades con superficie de uso comun sin vegetacion,,,,,,cuadro 10,
por entidad federativa,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
entidad_federativa,total,con_arenales_o_pedregales,ensalitradas,erosionadas,cubiertas_con_agua,otras,unidad_de_medida
Estados Unidos Mexicanos,8066,5565,1322,1827,1298,3608,Hectareas
Aguascalientes,64,43,6,29,16,21,Hectareas
Baja California,96,76,23,10,4,39,Hectareas
Baja California Sur,52,39,19,7,3,27,Hectareas
Campeche,91,42,19,5,43,56,Hectareas
Coahuila de Zaragoza,326,214,116,107,10,110,Hectareas
Colima,45,22,4,12,6,23,Hectareas
Chiapas,571,440,37,89,102,260,Hectareas
Chihuahua,309,219,38,57,53,150,Hectareas
Distrito Federal,5,4,1,1,0,0,Hectareas
Durango,370,278,71,82,43,164,Hectareas
Guanajuato,350,267,37,48,48,102,Hectareas
Guerrero,308,228,33,84,47,194,Hectareas
Hidalgo,500,413,43,164,44,213,Hectareas
Jalisco,409,306,43,77,54,188,Hectareas
Mexico,490,312,55,145,106,246,Hectareas
Michoacan de Ocampo,487,379,47,88,53,208,Hectareas
Morelos,53,38,4,7,8,12,Hectareas
Nayarit,135,102,39,42,41,87,Hectareas
Nuevo Leon,154,91,40,32,15,55,Hectareas
Oaxaca,580,453,86,306,85,373,Hectareas
Puebla,407,320,45,88,25,144,Hectareas
Queretaro,154,127,19,49,21,48,Hectareas
Quintana Roo,85,23,2,3,59,64,Hectareas
San Luis Potosi,229,136,62,58,28,75,Hectareas
Sinaloa,359,177,142,40,61,108,Hectareas
Sonora,390,208,105,46,47,170,Hectareas
Tabasco,104,26,17,5,67,42,Hectareas
Tamaulipas,251,163,72,33,48,64,Hectareas
Tlaxcala,68,40,4,31,8,33,Hectareas
Veracruz Llave,286,153,23,19,69,159,Hectareas
Yucatan,96,46,8,10,20,83,Hectareas
Zacatecas,242,180,62,53,64,90,Hectareas
"NOTA: La Informacion presentada corresponde a los datos captados en el cuestionario por medio de las preguntas: 15, 15.1 y 15.2",,,,,,,
http://www3.inegi.org.mx/sistemas/tabuladosbasicos/default.aspx?c=17351&s=est,,,,,,,
