INEGI. IX Censo Ejidal 2007,,,,,,,,
Superficie de uso comun sin vegetacion,,,,,,,cuadro 11,
por entidad federativa,,,,,,,,
entidad_federativa,ejidos_y_comunidades_con_superficie_de_uso_comun_sin_vegetacion,superficie_sin_vegetacion_(ha),superficies_sin_vegetacion_(ha)_arenales_o_pedregales,superficies_sin_vegetacion_(ha)_ensalitradas,superficies_sin_vegetacion_(ha)_erosionadas,superficies_sin_vegetacion_(ha)_cubierta_por_agua,superficies_sin_vegetacion_(ha)_otras_superficies,unidad_de_medida
Estados Unidos Mexicanos,8066,5241035.51,2113286.71,297216.83,315250.83,153348.71,2361932.44,Hectareas
Aguascalientes,64,13132.59,7081.86,575.63,2747.09,1737.39,990.63,Hectareas
Baja California,96,1121055.73,716610.67,1841.08,65885.80,73.45,336644.73,Hectareas
Baja California Sur,52,364399.00,92767.31,69284.28,3562.35,724.43,198060.63,Hectareas
Campeche,91,112240.02,62412.26,3428.12,562.77,8934.61,36902.26,Hectareas
Coahuila de Zaragoza,326,312800.60,80688.19,50896.06,44621.46,1362.91,135231.98,Hectareas
Colima,45,2453.20,720.53,23.90,543.65,386.65,778.47,Hectareas
Chiapas,571,64100.82,25855.56,2104.59,3675.54,7791.07,24674.05,Hectareas
Chihuahua,309,470346.33,120838.64,14339.16,13833.44,13024.54,308310.55,Hectareas
Distrito Federal,5,1015.82,1013.82,1.00,1.00,.00,.00,Hectareas
Durango,370,493167.93,127202.48,5477.43,24723.77,1595.86,334168.39,Hectareas
Guanajuato,350,33692.42,19805.60,604.08,1345.08,516.73,11420.92,Hectareas
Guerrero,308,111492.79,25814.73,1303.34,10757.71,1741.39,71875.61,Hectareas
Hidalgo,500,97552.51,59081.36,845.47,8208.38,593.94,28823.35,Hectareas
Jalisco,409,75478.22,38651.66,1922.52,18109.23,882.84,15911.96,Hectareas
Mexico,490,29369.78,7024.38,606.89,2217.06,1043.09,18478.36,Hectareas
Michoacan de Ocampo,487,74330.27,32945.79,1088.10,3488.57,5373.92,31433.90,Hectareas
Morelos,53,4188.58,1887.50,173.02,112.36,54.49,1961.21,Hectareas
Nayarit,135,61589.89,14996.65,9482.76,3517.86,14407.04,19185.58,Hectareas
Nuevo Leon,154,84705.49,43338.43,6587.54,4420.44,144.75,30214.35,Hectareas
Oaxaca,580,324257.77,90223.17,6613.54,52753.64,24734.56,149932.87,Hectareas
Puebla,407,73172.06,34999.31,8448.76,3705.67,5198.50,20819.81,Hectareas
Queretaro,154,22309.17,14005.44,2145.01,1828.11,229.95,4100.66,Hectareas
Quintana Roo,85,49571.66,5062.34,218.70,158.60,17094.51,27037.51,Hectareas
San Luis Potosi,229,111186.45,34846.49,11911.23,4827.67,2058.72,57542.34,Hectareas
Sinaloa,359,102804.40,55995.10,22934.60,2095.18,5494.04,16285.47,Hectareas
Sonora,390,751371.94,298799.48,57617.07,29811.71,6108.77,359034.91,Hectareas
Tabasco,104,37420.08,4604.00,3831.23,78.48,20204.24,8702.13,Hectareas
Tamaulipas,251,40180.27,13505.96,3892.99,1936.51,2653.96,18190.85,Hectareas
Tlaxcala,68,2515.43,1087.65,32.81,664.21,40.23,690.54,Hectareas
Veracruz Llave,286,18177.04,8710.84,288.90,636.81,2279.63,6260.86,Hectareas
Yucatan,96,58302.62,10116.24,1027.90,251.80,2408.19,44498.50,Hectareas
Zacatecas,242,122654.66,62593.28,7669.11,4168.88,4454.33,43769.06,Hectareas
"NOTA: La Informacion presentada corresponde a los datos captados en el cuestionario por medio de las preguntas:  15, 15.1 y 15.2",,,,,,,,
http://www3.inegi.org.mx/sistemas/tabuladosbasicos/default.aspx?c=17351&s=est,,,,,,,,
