INEGI. IX Censo Ejidal 2007,,,
Total de ejidatarios comuneros y posesionarios,,,cuadro 12
por entidad federativa,,,
,,,
,,,
,,,
entidad_federativa,total,ejidatarios_y_comuneros,posesionarios
Estados Unidos Mexicanos,5653637,4210830,1442807
Aguascalientes,19895,16195,3700
Baja California,22584,17111,5473
Baja California Sur,9289,7084,2205
Campeche,54134,46567,7567
Coahuila de Zaragoza,61615,57714,3901
Colima,15505,13349,2156
Chiapas,500701,351933,148768
Chihuahua,127952,107187,20765
Distrito Federal,32637,29007,3630
Durango,176738,149890,26848
Guanajuato,148147,108703,39444
Guerrero,435574,335112,100462
Hidalgo,217683,173511,44172
Jalisco,177307,137503,39804
Mexico,563411,323941,239470
Michoacan de Ocampo,305389,214832,90557
Morelos,78204,64157,14047
Nayarit,86635,68724,17911
Nuevo Leon,42010,37289,4721
Oaxaca,790005,566401,223604
Puebla,308555,216675,91880
Queretaro,51069,35922,15147
Quintana Roo,52742,36107,16635
San Luis Potosi,189646,153092,36554
Sinaloa,166257,152779,13478
Sonora,89324,78231,11093
Tabasco,113234,60606,52628
Tamaulipas,85005,76791,8214
Tlaxcala,52918,44216,8702
Veracruz Llave,399471,294675,104796
Yucatan,155140,128865,26275
Zacatecas,124861,106661,18200
"NOTA: La Informacion presentada corresponde a los datos captados en el cuestionario por medio de las preguntas: 19, 19.1 y 19.2",,,
http://www3.inegi.org.mx/sistemas/tabuladosbasicos/default.aspx?c=17351&s=est,,,
