INEGI. IX Censo Ejidal 2007,,,,,,,
Total de ejidatarios comuneros y posesionarios,,,,,,,cuadro13
por entidad federativa,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
entidad_federativa,ejidos_y_comunidades,ejidatarios_y_comuneros_total,ejidatarios_y_comuneros_hombres,ejidatarios_y_comuneros_mujeres,ejidatarios_y_comuneros_con_parcela_individual_total,ejidatarios_y_comuneros_con_parcela_individual_hombres,ejidatarios_y_comuneros_con_parcela_individual_mujeres
Estados Unidos Mexicanos,31514,4210830,3377035,833795,3392126,2780931,611195
Aguascalientes,187,16195,13807,2388,15346,13126,2220
Baja California,240,17111,13142,3969,14213,11239,2974
Baja California Sur,99,7084,5905,1179,5403,4577,826
Campeche,385,46567,41951,4616,31283,28254,3029
Coahuila de Zaragoza,875,57714,48303,9411,52531,44657,7874
Colima,165,13349,10951,2398,12199,10008,2191
Chiapas,2823,351933,304232,47701,269950,236729,33221
Chihuahua,987,107187,89552,17635,81385,70622,10763
Distrito Federal,37,29007,18386,10621,14814,12594,2220
Durango,1124,149890,112405,37485,83984,70302,13682
Guanajuato,1543,108703,87935,20768,102468,84164,18304
Guerrero,1259,335112,239822,95290,225808,167972,57836
Hidalgo,1189,173511,144282,29229,153010,128493,24517
Jalisco,1429,137503,113179,24324,113807,95210,18597
Mexico,1233,323941,264010,59931,272086,227284,44802
Michoacan de Ocampo,1910,214832,164720,50112,169048,138447,30601
Morelos,234,64157,51113,13044,54682,45318,9364
Nayarit,404,68724,55830,12894,55888,45627,10261
Nuevo Leon,607,37289,33509,3780,32594,29362,3232
Oaxaca,1632,566401,412697,153704,468965,348429,120536
Puebla,1194,216675,165575,51100,191934,148788,43146
Queretaro,378,35922,29047,6875,32315,26157,6158
Quintana Roo,282,36107,32126,3981,16218,14974,1244
San Luis Potosi,1421,153092,132600,20492,140629,121693,18936
Sinaloa,1309,152779,124569,28210,130547,106284,24263
Sonora,979,78231,61532,16699,44393,35830,8563
Tabasco,779,60606,48459,12147,55765,44916,10849
Tamaulipas,1391,76791,63714,13077,72756,60585,12171
Tlaxcala,246,44216,36117,8099,41217,33942,7275
Veracruz Llave,3684,294675,244033,50642,276509,230427,46082
Yucatan,722,128865,123111,5754,66076,64466,1610
Zacatecas,767,106661,90421,16240,94303,80455,13848
NOTA: La Informacion presentada corresponde a los datos captados en el cuestionario por medio de las preguntas: 19.1 y 19.1.1,,,,,,,
http://www3.inegi.org.mx/sistemas/tabuladosbasicos/default.aspx?c=17351&s=est,,,,,,,
