INEGI. IX Censo Ejidal 2007,,,,,,,,,
Ejidos y comunidades con posesionarios segun sexo y disposicion de parcela individual,,,,,,,,cuadro 14,
por entidad federativa,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
entidad_federativa,ejidos_y_comunidades_con_posesionarios,posesionarios_total,posesionarios_hombres,posesionarios_mujeres,posesionarios_con_parcela_individual_total,posesionarios_con_parcela_individual_hombres,posesionarios_con_parcela_individual_mujeres,propiedades_sociales_sin_posesionarios,
Estados Unidos Mexicanos,17711,1442807,1111237,331570,1109679,866311,243368,13803,13803
Aguascalientes,124,3700,3374,326,2739,2556,183,63,63
Baja California,114,5473,3137,2336,1692,1410,282,126,126
Baja California Sur,58,2205,1856,349,1588,1407,181,41,41
Campeche,150,7567,5917,1650,4249,2847,1402,235,235
Coahuila de Zaragoza,266,3901,3089,812,2726,2157,569,609,609
Colima,109,2156,1773,383,1657,1490,167,56,56
Chiapas,1493,148768,116241,32527,106682,83131,23551,1330,1330
Chihuahua,390,20765,16890,3875,12916,11195,1721,597,597
Distrito Federal,23,3630,3025,605,2440,2104,336,14,14
Durango,505,26848,22350,4498,16068,13900,2168,619,619
Guanajuato,1109,39444,30844,8600,30253,24770,5483,434,434
Guerrero,750,100462,73288,27174,73954,55583,18371,509,509
Hidalgo,633,44172,36155,8017,36277,29572,6705,556,556
Jalisco,991,39804,33065,6739,32396,26986,5410,438,438
Mexico,951,239470,184493,54977,206756,160847,45909,282,282
Michoacan de Ocampo,1261,90557,70257,20300,66996,52775,14221,649,649
Morelos,179,14047,11543,2504,13197,11113,2084,55,55
Nayarit,319,17911,15108,2803,15771,13186,2585,85,85
Nuevo Leon,197,4721,3917,804,1762,1563,199,410,410
Oaxaca,769,223604,160820,62784,173899,128264,45635,863,863
Puebla,757,91880,60808,31072,69535,50208,19327,437,437
Queretaro,275,15147,12166,2981,13425,10787,2638,103,103
Quintana Roo,137,16635,14626,2009,1376,865,511,145,145
San Luis Potosi,766,36554,30979,5575,32607,27652,4955,655,655
Sinaloa,416,13478,11701,1777,10596,9137,1459,893,893
Sonora,343,11093,8681,2412,6932,5305,1627,636,636
Tabasco,587,52628,37330,15298,44809,32202,12607,192,192
Tamaulipas,629,8214,6533,1681,6436,5287,1149,762,762
Tlaxcala,161,8702,7215,1487,7144,6032,1112,85,85
Veracruz Llave,2454,104796,84143,20653,87737,69749,17988,1230,1230
Yucatan,382,26275,24168,2107,9061,8328,733,340,340
Zacatecas,413,18200,15745,2455,16003,13903,2100,354,354
NOTA: La Informacion presentada corresponde a los datos captados en el cuestionario por medio de las preguntas: 19.2 y 19.2.1,,,,,,,,,
http://www3.inegi.org.mx/sistemas/tabuladosbasicos/default.aspx?c=17351&s=est,,,,,,,,,
