INEGI. IX Censo Ejidal 2007,,,,,
Ejidos y comunidades con avecindados segun sexo de los avencindados,,,,,cuadro15
por entidad federativa,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
entidad_federativa,ejidos_y_comunidades_con_avecindados,avecindados_total,avecindados_hombres,avecindados_mujeres,ejidos_y_comunidades_si_avecindados
Estados Unidos Mexicanos,17378,2447226,1423298,1023928,14136
Aguascalientes,152,20600,11637,8963,35
Baja California,96,88649,49504,39145,144
Baja California Sur,76,12380,7352,5028,23
Campeche,274,16167,9706,6461,111
Coahuila de Zaragoza,494,42637,24360,18277,381
Colima,117,72632,37397,35235,48
Chiapas,1699,211302,135452,75850,1124
Chihuahua,500,54209,35193,19016,487
Distrito Federal,12,2618,1784,834,25
Durango,608,67330,35968,31362,516
Guanajuato,794,98531,51902,46629,749
Guerrero,436,99176,49279,49897,823
Hidalgo,531,41384,26955,14429,658
Jalisco,676,160972,84827,76145,753
Mexico,654,119666,77873,41793,579
Michoacan de Ocampo,778,114198,64202,49996,1132
Morelos,126,8693,5703,2990,108
Nayarit,324,42988,25258,17730,80
Nuevo Leon,365,8808,6795,2013,242
Oaxaca,908,164889,91885,73004,724
Puebla,563,59462,40170,19292,631
Queretaro,247,20396,14327,6069,131
Quintana Roo,188,11429,9525,1904,94
San Luis Potosi,877,62533,42673,19860,544
Sinaloa,653,117028,61081,55947,656
Sonora,430,173052,86140,86912,549
Tabasco,463,69520,38629,30891,316
Tamaulipas,951,40642,27810,12832,440
Tlaxcala,105,3923,2648,1275,141
Veracruz Llave,2584,390562,228693,161869,1100
Yucatan,283,9558,7519,2039,439
Zacatecas,414,41292,31051,10241,353
NOTA: La Informacion presentada corresponde a los datos captados en el cuestionario po rmedio de la pregunta: 19.3,,,,,
http://www3.inegi.org.mx/sistemas/tabuladosbasicos/default.aspx?c=17351&s=est,,,,,
