INEGI. IX Censo Ejidal2007,,,,,,
Ejidos y comunidades con permanencia de la mayoria de los jovenes segun,,,,,,cuadro 16
actividad a la que se integran por entidad federativa,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
entidad_federativa,ejidos_y_comunidades_con_permanencia_de_la_mayoria_de_los_jovenes,ejidos_y_comunidades_segun_actividad_a_la_que_se_integran_agropecuarias_o_forestales,ejidos_y_comunidades_segun_actividad_a_la_que_se_integran_comerciales,ejidos_y_comunidades_segun_actividad_a_la_que_se_integran_artesanales,ejidos_y_comunidades_segun_actividad_a_la_que_se_integran_otras,no_se_integran_a_las_actividades
Estados Unidos Mexicanos,18517,10386,105,66,261,7699
Aguascalientes,118,22,0,0,4,92
Baja California,173,33,2,1,4,133
Baja CaliforniaSur,79,15,0,1,5,58
Campeche,288,203,1,5,2,77
Coahuila de Zaragoza,709,281,0,0,7,421
Colima,68,23,0,0,1,44
Chiapas,2323,1844,4,3,13,459
Chihuahua,569,328,2,1,5,233
Distrito Federal,32,12,1,0,1,18
Durango,649,380,4,0,10,255
Guanajuato,591,242,6,0,6,337
Guerrero,728,542,4,9,9,164
Hidalgo,492,259,3,2,11,217
Jalisco,582,324,5,2,9,242
Mexico,947,376,17,6,23,525
Michoacán de Ocampo,731,496,4,4,17,210
Morelos,168,91,1,0,0,76
Nayarit,246,154,3,1,20,68
Nuevo Leon,414,211,0,0,3,200
Oaxaca,995,697,12,7,12,267
Puebla,677,396,11,6,7,257
Queretaro,207,42,0,1,4,160
Quintana Roo,215,134,0,0,3,78
San Luis Potosi,638,357,1,0,6,274
Sinaloa,840,356,2,2,21,459
Sonora,612,181,4,3,13,411
Tabasco,624,278,0,0,10,336
Tamaulipas,825,417,7,0,10,391
Tlaxcala,159,66,1,0,2,90
Veracruz Llave,1930,1149,7,5,18,751
Yucatán,545,237,2,6,2,298
Zacatecas,343,240,1,1,3,98
"NOTA: La Informacion presentada corresponde a los datos captados en el cuestionario po rmedio de las preguntas: 20, 20.1 y 20.2",,,,,,
http://www3.inegi.org.mx/sistemas/tabuladosbasicos/default.aspx?c=17351&s=est,,,,,,
