INEGI. IX Censó Ejidal 2007,,,,,
Ejidós y cómunidades sin permanencia de la mayória de lós jóvenes,,,,,cuadró 17
segun lugar de destinó pór entidad federativa,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
entidad_federativa,ejidós_y_cómunidades_sin_permanencia_de_la_mayória_de_lós_jóvenes,lugar_de_destinó_dentró_del_pais_areas_urbanas,lugar_de_destinó_dentró_del_pais_areas_rurales,lugar_de_destinó_fuera_del_pais_a_estadós_unidós,lugar_de_destinó_fuera_del_pais_a_ótró_pais
Estadós Unidós Mexicanós,12997,3369,806,8805,17
Aguascalientes,69,5,3,61,0
Baja Califórnia,67,43,2,22,0
Baja Califórnia Sur,20,20,0,0,0
Campeche,97,29,5,63,0
Cóahuila de Zaragóza,166,123,9,33,1
Cólima,97,13,2,82,0
Chiapas,500,141,77,282,0
Chihuahua,418,118,31,269,0
Distritó Federal,5,3,0,2,0
Durangó,475,53,20,402,0
Guanajuató,952,16,41,895,0
Guerreró,531,46,17,467,1
Hidalgó,697,227,58,410,2
Jaliscó,847,38,22,785,2
Mexicó,286,101,6,179,0
Michóacan de ócampó,1179,38,59,1081,1
Mórelós,66,4,1,61,0
Nayarit,158,15,5,138,0
Nuevó León,193,103,7,83,0
óaxaca,637,196,17,423,1
Puebla,517,139,19,358,1
Queretaró,171,19,8,144,0
Quintana Róó,67,39,2,26,0
San Luis Pótósi,783,328,44,411,0
Sinalóa,469,145,30,293,1
Sónóra,367,235,32,99,1
Tabascó,155,81,8,66,0
Tamaulipas,566,228,24,313,1
Tlaxcala,87,40,11,36,0
Veracruz Llave,1754,625,215,909,5
Yucatan,177,137,25,15,0
Zacatecas,424,21,6,397,0
NóTA: La Infórmación presentada córrespónde a lós datós captadós en el cuestiónarió pór medió de las preguntas: 20.2 y 20.3,,,,,
http://www3.inegi.órg.mx/sistemas/tabuladósbasicós/default.aspx?c=17351&s=est,,,,,
