INEGI. IX Censo Ejidal 2007,,,,,,,,,,,,,,,
Total de ejidos y comunidades segun tipo de actividad agropecuaria o forestal,,,,,,,,,,,,,,,CUADRO18
y forma de explotacion por entidad federativa,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
entidad_federativa,ejidos_y_comunidades,actividad_agropecuaria_o_forestal_a_total_de_ejidos_y_comunidades_con_actividad_agropecuaria_o_forestal,actividad_agropecuaria_o_forestal_a_agricola_total,actividad_agropecuaria_o_forestal_a_agricola_realizada_por_la_mayoria,actividad_agropecuaria_o_forestal_a_agricola_en_forma_colectiva,actividad_agropecuaria_o_forestal_a_ganadera_total,actividad_agropecuaria_o_forestal_a_ganadera_realizada_por_la_mayoria,actividad_agropecuaria_o_forestal_a_ganadera_en_forma_colectiva,actividad_agropecuaria_o_forestal_a_forestal_total,actividad_agropecuaria_o_forestal_a_forestal_realizada_por_la_mayoria,actividad_agropecuaria_o_forestal_a_forestal_en_forma_colectiva,actividad_agropecuaria_o_forestal_a_recoleccion_total,actividad_agropecuaria_o_forestal_a_recoleccion_realizada_por_la_mayoria,actividad_agropecuaria_o_forestal_a_recoleccion_en_forma_colectiva,sin_actividades_de_este_tipo
Estados UnidosMexicanos,31514,31283,29332,24404,1734,25761,12288,980,3014,2207,1501,6782,4405,792,231
Aguascalientes,187,186,182,173,10,181,112,6,2,1,1,17,12,1,1
Baja California,240,217,170,81,18,176,29,7,8,3,3,34,12,6,23
Baja California Sur,99,98,59,29,7,96,53,6,1,0,0,12,6,0,1
Campeche,385,384,368,277,21,359,161,23,93,39,27,122,66,13,1
Coahuila de Zaragoza,875,864,796,618,60,776,382,39,17,10,8,317,181,48,11
Colima,165,164,160,133,2,162,91,0,16,9,1,38,22,1,1
Chiapas,2823,2822,2730,2401,93,2054,984,78,267,207,120,612,483,61,1
Chihuahua,987,984,859,675,77,967,543,54,202,166,121,181,115,25,3
Distrito Federal,37,36,33,26,1,22,4,3,8,4,7,15,6,5,1
Durango,1124,1116,1014,799,118,1067,535,63,228,193,185,301,193,47,8
Guanajuato,1543,1542,1517,1414,84,1272,751,29,45,35,14,253,192,26,1
Guerrero,1259,1259,1212,1106,50,1153,432,24,198,153,87,245,157,29,0
Hidalgo,1189,1184,1132,996,72,838,323,41,139,104,76,237,158,12,5
Jalisco,1429,1425,1363,1211,88,1338,723,51,192,143,107,238,148,38,4
Mexico,1233,1217,1183,1081,107,679,303,30,174,123,85,316,210,54,16
Michoacan de Ocampo,1910,1902,1834,1685,111,1669,685,57,289,214,132,338,240,57,8
Morelos,234,232,225,207,10,199,51,4,9,7,4,39,18,1,2
Nayarit,404,403,397,350,22,385,164,16,54,30,14,96,68,12,1
Nuevo Leon,607,600,549,431,32,473,307,18,38,35,29,128,80,12,7
Oaxaca,1632,1630,1596,1398,130,1322,486,36,302,183,120,565,378,57,2
Puebla,1194,1185,1150,1047,93,692,221,31,160,141,106,315,208,32,9
Queretaro,378,374,361,322,12,275,108,6,36,29,19,93,56,11,4
Quintana Roo,282,281,269,234,8,238,46,6,108,87,83,119,72,17,1
San Luis Potosi,1421,1418,1322,1091,44,1248,604,38,52,27,12,281,173,46,3
Sinaloa,1309,1291,1250,985,72,1088,368,25,85,57,20,262,131,22,18
Sonora,979,905,678,401,122,659,438,89,25,21,10,236,128,30,74
Tabasco,779,777,676,432,15,738,520,18,31,11,3,123,76,15,2
Tamaulipas,1391,1387,1263,921,45,1224,430,20,40,27,28,280,179,19,4
Tlaxcala,246,246,244,232,5,149,48,0,11,10,8,42,31,1,0
Veracruz Llave,3684,3681,3368,2518,125,2941,1618,68,137,104,52,539,348,63,3
Yucatan,722,706,650,456,43,567,169,69,29,19,10,268,173,17,16
Zacatecas,767,767,722,674,37,754,599,25,18,15,9,120,85,14,0
NOTA: La Informacion presentada corresponde a los datos captados en el cuestionario por medio de las preguntas:  21 y 22,,,,,,,,,,,,,,,
"aLa suma de  las columnas  no necesariamente  deben coincidir con el total, debido a que en un ejido pueden realizar actividades en forma indivudiual y colectiva.   ",,,,,,,,,,,,,,,
http://www3.inegi.org.mx/sistemas/tabuladosbasicos/default.aspx?c=17351&s=est,,,,,,,,,,,,,,,
