INEGI. IX Censo Ejidal 2007,,,,,,,,,,,
Total de ejidos y comunidades segun tipo de actividad no agropecuaria ni forestal,,,,,,,,,,,cuadro19
por entidad federativa,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
entidad_federativa,ejidos_y_comunidades,ejidos_y_comunidades_con_actividades_no_agropecuarias_ni_forestales_a_total,ejidos_y_comunidades_con_actividades_no_agropecuarias_ni_forestales_a_extraccion_de_materiales_de_construccion,ejidos_y_comunidades_con_actividades_no_agropecuarias_ni_forestales_a_extraccion_de_otros_minerales,ejidos_y_comunidades_con_actividades_no_agropecuarias_ni_forestales_a_pesquera,ejidos_y_comunidades_con_actividades_no_agropecuarias_ni_forestales_a_artesanal,ejidos_y_comunidades_con_actividades_no_agropecuarias_ni_forestales_a_industrial,ejidos_y_comunidades_con_actividades_no_agropecuarias_ni_forestales_a_turistica,ejidos_y_comunidades_con_actividades_no_agropecuarias_ni_forestales_a_acuicola,ejidos_y_comunidades_con_actividades_no_agropecuarias_ni_forestales_a_otras_actividades,sin_actividades_de_este_tipo
Estados Unidos Mexicanos,31514,6995,2668,305,1741,1708,811,869,1189,212,24519
Aguascalientes,187,52,29,2,8,0,8,9,3,5,135
Baja California,240,74,38,5,17,10,15,29,6,7,166
Baja California Sur,99,54,10,1,30,9,4,21,3,6,45
Campeche,385,115,25,3,41,43,13,14,22,1,270
Coahuila de Zaragoza,875,145,68,21,9,8,26,20,22,4,730
Colima,165,52,20,1,13,10,5,11,10,0,113
Chiapas,2823,514,175,5,144,164,23,41,71,10,2309
Chihuahua,987,200,63,22,30,57,34,46,24,5,787
Distrito Federal,37,19,7,0,1,4,1,13,4,1,18
Durango,1124,232,78,31,35,22,74,29,42,5,892
Guanajuato,1543,185,122,5,24,10,19,13,12,3,1358
Guerrero,1259,371,126,7,107,141,41,29,60,7,888
Hidalgo,1189,321,159,8,49,74,42,43,40,4,868
Jalisco,1429,321,131,24,99,38,50,40,46,12,1108
Mexico,1233,362,150,6,52,103,47,56,72,20,871
Michoacan de Ocampo,1910,402,160,14,117,87,48,49,75,16,1508
Morelos,234,102,36,2,25,15,9,27,39,2,132
Nayarit,404,172,51,6,91,36,22,20,27,4,232
Nuevo Leon,607,75,15,4,3,7,13,18,22,2,532
Oaxaca,1632,648,313,14,106,316,59,62,93,20,984
Puebla,1194,229,113,6,23,66,21,26,30,7,965
Queretaro,378,129,86,11,14,21,16,9,20,4,249
Quintana Roo,282,111,31,16,9,70,9,33,16,2,171
San LuisPotosi,1421,264,105,9,15,109,29,27,19,15,1157
Sinaloa,1309,265,67,11,118,31,41,32,70,8,1044
Sonora,979,220,72,30,43,26,17,14,59,12,759
Tabasco,779,277,23,4,193,36,8,19,91,1,502
Tamaulipas,1391,164,56,5,43,31,17,37,19,13,1227
Tlaxcala,246,24,8,1,4,3,3,2,4,2,222
Veracruz Llave,3684,629,193,8,252,97,69,54,147,5,3055
Yucatan,722,109,29,2,10,51,11,17,14,6,613
Zacatecas,767,158,109,21,16,13,17,9,7,3,609
NOTA: La Informacion presentada corresponde a los datos captados en el cuestionario por medio de la pregunta:  24,,,,,,,,,,,
"aEl total es diferente al dato resultante de la suma de los parciales, debido a que un ejido o comunidad agraria puede realizar mas de una actividad.",,,,,,,,,,,
http://www3.inegi.org.mx/sistemas/tabuladosbasicos/default.aspx?c=17351&s=est,,,,,,,,,,,
