INEGI. IX Censo Ejidal 2007,,,,,,,,
Ejidos y comunidades que realizan actividades no agropecuarias ni forestales en forma colectiva,,,,,,,,cuadro 20
segun tipo de actividad por entidad federativa,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
entidad_federativa,actividades_no_agropecuarias_ni_forestales_industriales,actividades_no_agropecuarias_ni_forestales_artesanales,actividades_no_agropecuarias_ni_forestales_extraccion_de_materiales_para_la_construccion,actividades_no_agropecuarias_ni_forestales_extraccion_de_otros_minerales,actividades_no_agropecuarias_ni_forestales_pesqueras,actividades_no_agropecuarias_ni_forestales_acuicultura,actividades_no_agropecuarias_ni_forestales_turisticas,actividades_no_agropecuarias_ni_forestales_otras
Estados Unidos Mexicanos,374,741,1381,162,860,617,509,125
Aguascalientes,1,0,16,1,5,3,9,1
Baja California,8,6,19,3,6,2,9,4
Baja California Sur,3,5,7,0,11,2,12,6
Campeche,5,13,8,0,22,17,6,1
Coahuila de Zaragoza,19,4,36,11,4,15,16,4
Colima,3,2,5,0,6,3,6,0
Chiapas,10,96,113,2,88,27,34,7
Chihuahua,13,17,33,7,12,16,23,4
Distrito Federal,0,4,2,0,1,3,10,1
Durango,58,16,42,19,24,25,21,5
Guanajuato,9,6,80,5,10,5,8,2
Guerrero,15,54,44,3,53,34,8,6
Hidalgo,13,18,100,5,32,29,30,2
Jalisco,22,20,67,11,52,15,16,7
Mexico,17,40,90,4,25,33,38,8
Michoacan de Ocampo,24,38,103,6,52,29,35,12
Morelos,2,5,7,0,5,12,19,1
Nayarit,7,26,24,1,60,19,9,3
Nuevo Leon,3,3,6,3,1,16,6,1
Oaxaca,18,99,120,3,47,50,34,7
Puebla,13,22,66,6,15,20,20,5
Queretaro,4,5,40,4,4,4,6,3
Quintana Roo,9,57,28,15,7,11,23,2
San Luis Potosi,15,53,44,3,5,12,16,10
Sinaloa,19,13,28,8,79,37,14,1
Sonora,5,15,39,25,27,45,11,5
Tabasco,4,8,9,1,76,36,13,0
Tamaulipas,9,16,33,1,26,7,22,8
Tlaxcala,2,1,4,0,3,2,2,2
Veracruz Llave,24,49,103,1,90,78,19,2
Yucatan,7,23,19,1,2,6,9,2
Zacatecas,13,7,46,13,10,4,5,3
"NOTA: La Informacion presentada corresponde a los datos captados en el cuestionario por medio de las preguntas:  24.1, 24.2, 24.3, 24.4, 24.5, 24.6, 24.7 y 24.8 ",,,,,,,,
http://www3.inegi.org.mx/sistemas/tabuladosbasicos/default.aspx?c=17351&s=est,,,,,,,,
