INEGI. IX Censo Ejidal 2007,,,,,,,,,,,,,,,,,,,,,,,,
Ejidos y comunidades que realizan actividades no agropecuarias ni forestales en forma colectiva,,,,,,,,,,,,,,,cuadro21,,,,,,,,,
segun ejidatarios participantes por entidad federativa,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
entidad_federativa,actividades_no_agropecuarias_ni_forestales_industriales_ejidos_y_comunidades,actividades_no_agropecuarias_ni_forestales_industriales_ejidatario_participantes_total,actividades_no_agropecuarias_ni_forestales_industriales_ejidatario_participantes_mujeres,actividades_no_agropecuarias_ni_forestales_artesanales_ejidos_y_comunidades,actividades_no_agropecuarias_ni_forestales_artesanales_ejidatarios_participantes_total,actividades_no_agropecuarias_ni_forestales_artesanales_ejidatarios_participantes_mujeres,actividades_no_agropecuarias_ni_forestales_de_extraccion_de_materiales_para_la_construccion_ejidos_y_comunidades,actividades_no_agropecuarias_ni_forestales_de_extraccion_de_materiales_para_la_construccion_ejidatarios_participantes_total,actividades_no_agropecuarias_ni_forestales_de_extraccion_de_materiales_para_la_construccion_ejidatarios_participantes_mujeres,actividades_no_agropecuarias_ni_forestales_de_extraccion_de_otros_minerales_ejidos_y_comunidades,actividades_no_agropecuarias_ni_forestales_de_extraccion_de_otros_minerales_ejidatarios_participantes_total,actividades_no_agropecuarias_ni_forestales_de_extraccion_de_otros_minerales_ejidatarios_participantes_mujeres,actividades_no_agropecuarias_ni_forestales_pesqueras_ejido_y_comunidades,actividades_no_agropecuarias_ni_forestales_pesqueras_ejidatarios_participantes_total,actividades_no_agropecuarias_ni_forestales_pesqueras_ejidatarios_participantes_mujeres,actividades_no_agropecuarias_ni_forestales_turisticas_ejidos_y_comunidades,actividades_no_agropecuarias_ni_forestales_turisticas_ejidatarios_participantes_total,actividades_no_agropecuarias_ni_forestales_turisticas_ejidatarios_participantes_mujeres,actividades_no_agropecuarias_ni_forestales_de_acuicultura_ejidos_y_comunidades,actividades_no_agropecuarias_ni_forestales_de_acuicultura_ejidatarios_participantes_total,actividades_no_agropecuarias_ni_forestales_de_acuicultura_ejidatarios_participantes_mujeres,actividades_no_agropecuarias_ni_forestales_otras_actividades_ejidos_y_comunidades,actividades_no_agropecuarias_ni_forestales_otras_actividades_ejidatarios_participantes_total,actividades_no_agropecuarias_ni_forestales_otras_actividades_ejidatarios_participantes_mujeres
Estados Unidos Mexicanos,374,22921,4589,741,48581,27347,1381,98410,16998,162,7761,1500,860,29824,2704,509,31637,8252,617,30446,5679,125,10459,2960
Aguascalientes,1,50,50,0,0,0,16,1177,245,1,65,5,5,70,0,9,696,143,3,75,21,1,6,0
Baja California,8,280,41,6,93,28,19,714,94,3,96,16,6,237,57,9,351,57,2,6,2,4,184,31
Baja California Sur,3,127,15,5,102,21,7,289,36,0,0,0,11,301,7,12,282,55,2,25,0,6,173,19
Campeche,5,96,10,13,197,110,8,280,51,0,0,0,22,616,76,6,199,30,17,322,62,1,20,4
Coahuila de Zaragoza,19,556,228,4,115,107,36,831,96,11,430,110,4,27,6,16,761,91,15,344,55,4,85,6
Colima,3,194,6,2,45,23,5,132,29,0,0,0,6,108,12,6,209,47,3,9,4,0,0,0
Chiapas,10,2327,297,96,5364,3632,113,9119,1056,2,75,0,88,3001,228,34,2245,489,27,836,178,7,260,34
Chihuahua,13,843,218,17,722,290,33,1660,334,7,273,27,12,435,20,23,1605,422,16,1098,78,4,489,173
Distrito Federal,0,0,0,4,377,243,2,38,8,0,0,0,1,20,0,10,1129,386,3,974,292,1,181,51
Durango,58,2715,555,16,387,164,42,2791,509,19,606,66,24,586,25,21,1584,418,25,996,256,5,113,15
Guanajuato,9,192,116,6,54,25,80,4428,946,5,385,91,10,254,12,8,308,66,5,67,12,2,41,1
Guerrero,15,3377,612,54,7162,3710,44,1858,347,3,48,5,53,2178,115,8,300,93,34,2624,300,6,249,27
Hidalgo,13,901,95,18,951,404,100,11520,1563,5,370,46,32,1560,196,30,2217,501,29,1657,182,2,202,7
Jalisco,22,754,142,20,4417,1830,67,4410,791,11,418,148,52,1314,21,16,794,179,15,351,43,7,2102,1030
Mexico,17,1605,607,40,2494,1447,90,13645,3471,4,205,32,25,1325,356,38,4915,1704,33,9174,2186,8,1544,204
Michoacan de Ocampo,24,2062,281,38,2435,1055,103,7073,1407,6,1955,625,52,1750,350,35,2434,530,29,992,162,12,449,157
Morelos,2,431,32,5,332,77,7,765,68,0,0,0,5,322,39,19,2049,566,12,258,7,1,114,52
Nayarit,7,232,49,26,919,645,24,2034,244,1,15,0,60,3044,124,9,200,44,19,591,24,3,40,16
Nuevo Leon,3,64,18,3,83,3,6,181,15,3,16,0,1,85,6,6,221,25,16,472,60,1,4,0
Oaxaca,18,789,145,99,8371,5125,120,10377,1701,3,100,20,47,2329,169,34,2330,607,50,1549,188,7,1011,95
Puebla,13,694,231,22,2928,1222,66,4967,1239,6,498,88,15,554,111,20,921,264,20,1247,236,5,1000,571
