INEGI. IX Censo Ejidal 2007,,,,,,,
Ejidos y comunidades con actividades turisticas segun mejoras realizadas,,,,,,,cuadro 22
por entidad federativa,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
entidad_federativa,ejidos_y_comunidades_con_actividades_turisticas,ejidos_y_comunidades_con_mejoras_realizadas_a_total,ejidos_y_comunidades_con_mejoras_realizadas_a_en_caminos_internos,ejidos_y_comunidades_con_mejoras_realizadas_a_en_lugares_para_hospedaje ,ejidos_y_comunidades_con_mejoras_realizadas_a_en_instalaciones_recreativas,ejidos_y_comunidades_con_mejoras_realizadas_a_en_instalaciones_deportivas,ejidos_y_comunidades_con_mejoras_realizadas_a_en_instalaciones_otras
Estados Unidos Mexicanos,869,506,355,80,290,155,99
Aguascalientes,9,6,5,2,6,3,1
Baja California,29,19,16,12,9,5,2
Baja California Sur,21,11,9,3,8,6,5
Campeche,14,11,7,2,5,2,1
Coahuila de Zaragoza,20,10,8,0,6,1,2
Colima,11,6,2,2,6,1,1
Chiapas,41,21,13,0,12,3,2
Chihuahua,46,18,13,9,13,5,1
Distrito Federal,13,10,9,0,8,5,2
Durango,29,18,12,0,12,9,4
Guanajuato,13,10,5,8,7,3,3
Guerrero,29,10,9,0,4,4,0
Hidalgo,43,30,17,2,18,4,10
Jalisco,40,27,18,0,15,10,5
Mexico,56,29,24,0,18,11,4
Michoacan de Ocampo,49,27,19,0,13,11,10
Morelos,27,16,9,0,10,3,5
Nayarit,20,6,6,1,2,1,1
Nuevo Leon,18,10,9,0,4,1,3
Oaxaca,62,39,33,0,21,22,9
Puebla,26,12,8,0,8,6,3
Queretaro,9,7,3,0,2,1,4
Quintana Roo,33,24,18,10,14,6,4
San Luis Potosi,27,20,12,8,9,6,1
Sinaloa,32,25,18,7,14,8,4
Sonora,14,9,7,2,6,3,2
Tabasco,19,10,6,0,5,2,2
Tamaulipas,37,21,12,8,13,4,0
Tlaxcala,2,2,0,0,2,1,0
Veracruz Llave,54,26,19,0,12,4,5
Yucatan,17,9,6,0,5,2,1
Zacatecas,9,7,3,4,3,2,2
"NOTA: La Informacion presentada corresponde a los datos captados en el cuestionario por medio de las preguntas:  24.7, 24.7.1 y 24.7.2",,,,,,,
"aEl total es diferente al dato resultante de la suma de los parciales, debido a que un ejido o comunidad agraria puede realizar mas de una mejora o bien tiene turismo, pero no realizo mejoras.",,,,,,,
http://www3.inegi.org.mx/sistemas/tabuladosbasicos/default.aspx?c=17351&s=est,,,,,,,
