INEGI. IX Censo Ejidal 2007,,,,,,,,,,,,
Ejidos y comunidades segun tipo de construcciones agropecuarias y forestales de su propiedad,,,,,,,,,,,,cuadro 23
por entidad federativa,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
entidad_federativa,ejidos_y_comunidades,ejidos_y_comunidades_con_construcciones_agropecuarias_y_forestales_de_su_propiedad_a_total,ejidos_y_comunidades_con_construcciones_agropecuarias_y_forestales_de_su_propiedad_a_bodegas,ejidos_y_comunidades_con_construcciones_agropecuarias_y_forestales_de_su_propiedad_a_naves_para_aves,ejidos_y_comunidades_con_construcciones_agropecuarias_y_forestales_de_su_propiedad_a_naves_para_cerdos,ejidos_y_comunidades_con_construcciones_agropecuarias_y_forestales_de_su_propiedad_a_bordos_para_riego_o_abrevadero,ejidos_y_comunidades_con_construcciones_agropecuarias_y_forestales_de_su_propiedad_a_pozo_para_riego,ejidos_y_comunidades_con_construcciones_agropecuarias_y_forestales_de_su_propiedad_a_baño_garrapaticida,ejidos_y_comunidades_con_construcciones_agropecuarias_y_forestales_de_su_propiedad_a_sala_de_ordeña,ejidos_y_comunidades_con_construcciones_agropecuarias_y_forestales_de_su_propiedad_a_aserradero,ejidos_y_comunidades_con_construcciones_agropecuarias_y_forestales_de_su_propiedad_a_otras_construcciones,ejidos_y_comunidades_sin_construcciones_agropecuarias_ni_forestales_de_su_propiedad
Estados Unidos Mexicanos,31514,14389,4352,282,353,7833,4874,3111,163,294,2726,17125
Aguascalientes,187,175,58,4,4,144,109,24,0,0,46,12
Baja California,240,133,40,4,1,49,92,30,2,0,29,107
Baja California Sur,99,81,19,5,1,34,61,15,6,0,11,18
Campeche,385,175,59,6,12,30,121,14,2,8,17,210
Coahuila de Zaragoza,875,721,216,32,9,546,257,224,14,3,116,154
Colima,165,136,38,3,2,41,51,35,2,3,102,29
Chiapas,2823,367,176,11,19,109,50,33,5,2,73,2456
Chihuahua,987,698,226,7,6,469,198,231,10,48,112,289
Distrito Federal,37,21,11,0,1,2,2,2,0,0,11,16
Durango,1124,841,274,13,19,670,220,410,8,54,175,283
Guanajuato,1543,1112,169,2,9,566,681,48,4,0,91,431
Guerrero,1259,325,91,7,7,150,50,27,0,10,63,934
Hidalgo,1189,428,109,17,11,303,75,37,1,6,67,761
Jalisco,1429,1007,561,12,23,565,244,377,15,13,243,422
Mexico,1233,559,209,7,17,319,155,17,1,12,97,674
Michoacan de Ocampo,1910,903,241,10,15,436,400,139,11,19,149,1007
Morelos,234,159,86,3,4,88,54,29,0,1,43,75
Nayarit,404,260,108,1,5,103,73,79,5,10,45,144
Nuevo Leon,607,420,88,8,3,326,82,87,1,8,40,187
Oaxaca,1632,434,195,17,12,119,120,36,7,41,76,1198
Puebla,1194,478,139,2,6,127,273,2,0,11,74,716
Queretaro,378,327,88,4,6,261,118,37,1,2,95,51
Quintana Roo,282,126,21,3,7,10,36,4,5,10,67,156
San Luis Potosi,1421,792,164,19,14,600,197,124,20,2,128,629
Sinaloa,1309,562,44,7,6,211,136,364,11,14,57,747
Sonora,979,599,221,2,43,290,299,176,16,3,114,380
Tabasco,779,117,39,23,13,49,14,8,2,0,17,662
Tamaulipas,1391,518,144,16,4,284,77,112,1,3,72,873
Tlaxcala,246,145,48,7,16,65,69,2,2,1,4,101
Veracruz Llave,3684,718,191,9,29,145,96,40,7,8,354,2966
Yucatan,722,321,80,14,20,18,217,40,1,1,44,401
Zacatecas,767,731,199,7,9,704,247,308,3,1,94,36
NOTA: La Informacion presentada corresponde a los datos captados en el cuestionario por medio de las preguntas:  28 y 29,,,,,,,,,,,,
"aEl total es diferente al dato resultante de la suma de los parciales, debido a que un ejido o comunidad agraria puede tener mas de una construccion.",,,,,,,,,,,,
http://www3.inegi.org.mx/sistemas/tabuladosbasicos/default.aspx?c=17351&s=est,,,,,,,,,,,,
