INEGI. IX Censo Ejidal 2007,,,,,,,,,
Ejidos y comunidades con bodegas y naves propias segun cantidad y capacidad,,,,,,,,,cuadro 24
por entidad federativa,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
entidad_federativa,con_bodegas_ejidos_y_comunidades,con_bodegas_cantidad,con_bodegas_superficie_(m2),con_naves_para_aves_ejidos_y_comunidades,con_naves_para_aves_cantidad,con_naves_para_aves_capacidad_en_numero_de_cabezas,con_naves_para_cerdos_ejidos_y_comunidades,con_naves_para_cerdos_cantidad,con_naves_para_cerdos_capacidad_en_numero_de_cabezas
Estados Unidos Mexicanos,4352,7452,3548443.18,282,1350,4571094,353,672,156178
Aguascalientes,58,130,72067,4,8,14000,4,4,620
Baja California,40,68,18946,4,11,61000,1,1,100
Baja California Sur,19,28,27279,5,10,14500,1,1,50
Campeche,59,79,56283,6,12,31520,12,29,6720
Coahuila de Zaragoza,216,373,133197,32,140,888158,9,12,4220
Colima,38,66,50556.5,3,5,13600,2,2,300
Chiapas,176,281,180546.9,11,21,60070,19,22,1275
Chihuahua,226,374,162464.8,7,15,7720,6,8,3605
Distrito Federal,11,18,12540,0,0,0,1,15,1500
Durango,274,610,312057.4,13,59,1015415,19,23,1710
Guanajuato,169,296,161504.2,2,2,3000,9,9,906
Guerrero,91,114,70941,7,43,122300,7,9,1290
Hidalgo,109,212,78007.5,17,101,123400,11,11,630
Jalisco,561,991,431605.1,12,48,946780,23,73,30529
Mexico,209,342,229003.4,7,44,111100,17,37,4170
Michoacan de Ocampo,241,395,221766,10,38,87865,15,49,4660
Morelos,86,114,65014,3,12,195000,4,6,1050
Nayarit,108,188,147774,1,1,300,5,10,1250
Nuevo Leon,88,120,55982.8,8,16,101050,3,17,2100
Oaxaca,195,245,131006.5,17,239,53390,12,17,1980
Puebla,139,338,101170.6,2,4,110,6,38,3930
Queretaro,88,129,57962.8,4,9,22036,6,7,850
Quintana Roo,21,28,7067,3,32,2980,7,9,3570
San Luis Potosi,164,280,85433,19,51,217578,14,20,4860
Sinaloa,44,62,49188,7,19,74615,6,6,425
Sonora,221,300,90994,2,2,3005,43,75,28220
Tabasco,39,53,25797,23,34,62800,13,16,2020
Tamaulipas,144,205,102017,16,26,111900,4,5,1140
Tlaxcala,48,90,76171.2,7,13,26300,16,16,4036
Veracruz Llave,191,296,131782,9,80,27832,29,39,8190
Yucatan,80,152,22450,14,34,114070,20,69,28750
Zacatecas,199,475,179868.6,7,221,57700,9,17,1522
"NOTAS: La Informacion presentada corresponde a los datos captados en el cuestionario por medio de las preguntas:  28, 29.1 y 29.2",,,,,,,,,
"Los datos sobre construcciones, maquinaria, tractores y vehiculos se refieren exclusivamente a aquellos que son considerados propiedad del ejido o comunidad. Quedan fuera todos aquellos que pudieran estar disponibles para los sujetos de derecho pero que no se consideran propiedad del nucleo agrario. Los criterios de que se valen los informantes para asignar la titularidad de los activos mencionados no son siempre consistentes entre censos, lo que limita la comparabilidad con eventos anteriores.",,,,,,,,,
http://www3.inegi.org.mx/sistemas/tabuladosbasicos/default.aspx?c=17351&s=est,,,,,,,,,
