INEGI. IX Censo Ejidal 2007,,,,,,,,,,,,
Ejidos y comunidades agropecuarias y forestales con construcciones de su propiedad,,,,,,,,,,,,cuadro 25
segun tipo y cantidad por entidad federativa,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
entidad_federativa,ejidos_y_comunidades_con_bordos_para_riego_o_abrevadero,cantidad_de_bordos_para_riego_o_abrevadero,ejidos_y_comunidades_con_pozos_para_riego,cantidad_de_pozos_para_riego,ejidos_y_comunidades_con_baños_garrapaticidas,cantidad_de_baños_garrapaticidas,ejidos_y_comunidades_con_salas_de_ordeña,cantidad_de_salas_de_ordeña,ejidos_y_comunidades_con_aserradero,cantidad_de_aserraderos,ejidos_y_comunidades_con_otras_construcciones,cantidad_de_otras_construcciones
Estados Unidos Mexicanos,7833,45567,4874,27045,3111,4341,163,579,294,401,2726,3809
Aguascalientes,144,846,109,407,24,25,0,0,0,0,46,56
Baja California,49,141,92,530,30,38,2,2,0,0,29,40
Baja California Sur,34,249,61,488,15,18,6,17,0,0,11,14
Campeche,30,883,121,361,14,21,2,156,8,23,17,88
Coahuila deZaragoza,546,2663,257,582,224,296,14,58,3,3,116,203
Colima,41,141,51,265,35,41,2,2,3,3,102,141
Chiapas,109,1231,50,459,33,61,5,9,2,2,73,100
Chihuahua,469,2950,198,1520,231,299,10,15,48,67,112,191
Distrito Federal,2,3,2,5,2,2,0,0,0,0,11,27
Durango,670,4349,220,752,410,497,8,9,54,66,175,240
Guanajuato,566,2359,681,2286,48,48,4,8,0,0,91,103
Guerrero,150,755,50,1076,27,281,0,0,10,20,63,83
Hidalgo,303,776,75,152,37,38,1,2,6,7,67,120
Jalisco,565,3428,244,1261,377,463,15,43,13,13,243,293
Mexico,319,1372,155,367,17,22,1,1,12,12,97,106
Michoacan de Ocampo,436,1994,400,1515,139,146,11,52,19,24,149,216
Morelos,88,250,54,205,29,32,0,0,1,1,43,59
Nayarit,103,1412,73,1355,79,115,5,11,10,12,45,122
Nuevo Leon,326,1041,82,399,87,92,1,1,8,8,40,56
Oaxaca,119,532,120,2737,36,63,7,38,41,69,76,116
Puebla,127,582,273,852,2,2,0,0,11,15,74,93
Queretaro,261,1006,118,404,37,38,1,1,2,2,95,132
Quintana Roo,10,114,36,338,4,5,5,33,10,12,67,68
San Luis Potosi,600,3873,197,923,124,183,20,32,2,4,128,158
Sinaloa,211,1405,136,1456,364,438,11,18,14,18,57,72
Sonora,290,2758,299,1139,176,264,16,31,3,3,114,142
Tabasco,49,1342,14,39,8,8,2,2,0,0,17,17
Tamaulipas,284,1231,77,289,112,214,1,2,3,3,72,149
Tlaxcala,65,195,69,204,2,2,2,21,1,1,4,4
Veracruz Llave,145,1408,96,302,40,41,7,11,8,9,354,414
Yucatan,18,166,217,3171,40,200,1,1,1,1,44,50
Zacatecas,704,4112,247,1206,308,348,3,3,1,3,94,136
"NOTAS: La Informacion presentada corresponde a los datos captados en el cuestionario por medio de las preguntas:  29.3, 29.4, 29.5, 29.6, 29.7 y 29.8",,,,,,,,,,,,
"Los datos sobre construcciones, maquinaria, tractores y vehiculos se refieren exclusivamente a aquellos que son considerados propiedad del ejido o de la comunidad. Quedan fuera todos aquellos que pudieran estar disponibles para los sujetos de derecho pero",,,,,,,,,,,,
"que no se consideran propiedad del nucleo agrario. Los criterios de que se valen los informantes para asignar la titularidad de los activos mencionados no son siempre consistentes entre censos, lo que limita la comparabilidad con eventos anteriores.",,,,,,,,,,,,
http://www3.inegi.org.mx/sistemas/tabuladosbasicos/default.aspx?c=17351&s=est,,,,,,,,,,,,
