INEGI. IX Censo Ejidal 2007,,,,
"Ejidos y comunidades con tractores de su propiedad, segun cantidad y funcionamiento",,,,cuadro 26
por entidad federativa,,,,
,,,,
entidad_federativa,ejidos_y_comunidades_con_tractores,cantidad_de_tractores,ejidos_y _comunidades_con_tractores_en_funcionamiento,cantidad_de_tractores_en_funcionamiento
Estados Unidos Mexicanos,1993,3770,1844,3423
Aguascalientes,8,17,8,17
Baja California,22,39,17,30
Baja California Sur,9,38,7,36
Campeche,37,54,30,40
Coahuila de Zaragoza,86,143,83,135
Colima,3,3,2,2
Chiapas,44,62,42,59
Chihuahua,73,146,63,123
Distrito Federal,12,20,11,15
Durango,113,197,105,177
Guanajuato,170,445,167,417
Guerrero,54,68,45,58
Hidalgo,129,221,118,200
Jalisco,55,97,51,88
Mexico,101,203,89,180
Michoacan de Ocampo,123,219,116,203
Morelos,27,36,22,30
Nayarit,28,44,28,42
Nuevo Leon,58,82,49,69
Oaxaca,185,290,179,273
Puebla,50,101,46,96
Queretaro,23,48,22,47
Quintana Roo,11,14,11,14
San Luis Potosi,130,226,123,207
Sinaloa,50,113,45,94
Sonora,117,231,109,212
Tabasco,23,56,22,55
Tamaulipas,38,82,32,71
Tlaxcala,9,15,9,15
Veracruz Llave,117,186,113,175
Yucatan,23,49,22,47
Zacatecas,65,225,58,196
NOTAS: La Informacion presentada corresponde a los datos captados en el cuestionario por medio de la pregunta:  32,,,,
"Los datos sobre construcciones, maquinaria, tractores y vehiculos se refieren exclusivamente a aquellos que son considerados propiedad del ejido o de la comunidad. Quedan fuera todos aquellos que pudieran estar disponibles para los sujetos de derecho pero que no se consideran propiedad del nucleo agrario. Los criterios de que se valen los informantes para asignar la titularidad de los activos mencionados no son siempre consistentes entre censos, lo que limita la comparabilidad con eventos anteriores.",,,,
http://www3.inegi.org.mx/sistemas/tabuladosbasicos/default.aspx?c=17351&s=est,,,,
