INEGI. IX Censo Ejidal 2007,,,,,,
Ejidos y comunidades con tractores de su propiedad segun cantidad,,,,,,cuadro 27
y años de uso por entidad federativa,,,,,,
,,,,,,
,,,,,,
entidad_federativa,ejidos_y_comunidades_con_tractores,total_de_tractores,ejidos_y_comunidades_con tractores_de_su_propiedad_con_tractores_hasta_5_años_de_uso,ejidos_y_comunidades_con tractores_de_su_propiedad_con_tractores_mas_de_5 hasta_10_años_de_uso,ejidos_y_comunidades_con tractores_de_su_propiedad_con tractores_mas_de_10_hasta_15_años_de_uso,ejidos_y_comunidades_con tractores_de_su_propiedad_con_tractores_con_mas_de_15_años_de_ uso
Estados Unidos Mexicanos,1993,3770,583,483,410,964
Aguascalientes,8,17,1,1,1,6
Baja California,22,39,1,2,1,20
Baja California Sur,9,38,2,3,3,6
Campeche,37,54,10,10,5,14
Coahuila de Zaragoza,86,143,42,25,16,26
Colima,3,3,1,0,1,1
Chiapas,44,62,15,14,5,14
Chihuahua,73,146,13,12,16,49
Distrito Federal,12,20,8,3,2,2
Durango,113,197,23,29,17,67
Guanajuato,170,445,31,21,42,125
Guerrero,54,68,18,15,14,11
Hidalgo,129,221,32,37,39,56
Jalisco,55,97,12,12,10,33
Mexico,101,203,41,25,21,47
Michoacan de Ocampo,123,219,31,35,28,61
Morelos,27,36,6,4,3,14
Nayarit,28,44,6,8,6,10
Nuevo Leon,58,82,13,16,15,19
Oaxaca,185,290,85,80,42,30
Puebla,50,101,18,12,12,18
Queretaro,23,48,5,9,12,7
Quintana Roo,11,14,5,2,0,5
San Luis Potosi,130,226,33,24,29,75
Sinaloa,50,113,6,7,10,39
Sonora,117,231,37,24,22,60
Tabasco,23,56,9,11,2,8
Tamaulipas,38,82,10,9,3,24
Tlaxcala,9,15,1,2,0,6
Veracruz Llave,117,186,51,20,18,47
Yucatan,23,49,11,7,6,10
Zacatecas,65,225,6,4,9,54
NOTAS: La Informacion presentada corresponde a los datos captados en el cuestionario por medio de la pregunta:  32,,,,,,
"Los datos sobre construcciones, maquinaria, tractores y vehiculos se refieren exclusivamente a aquellos que son considerados propiedad del ejido o de la comunidad. Quedan fuera todos aquellos que pudieran estar disponibles para los sujetos de derecho pero que no se consideran propiedad del nucleo agrario. Los criterios de que se valen los informantes para asignar la titularidad de los activos mencionados no son siempre consistentes entre censos, lo que limita la comparabilidad con eventos anteriores.",,,,,,
http://www3.inegi.org.mx/sistemas/tabuladosbasicos/default.aspx?c=17351&s=est,,,,,,
