INEGI. IX Censo Ejidal 2007,,,,
Ejidos y comunidades con vehiculos para uso agropecuario o forestal de su propiedad,,,,cuadro 29
segun cantidad y funcionamiento por entidad federativa,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
entidad_federativa,ejidos_y_comunidades_con_vehiculos,cantidad_de_vehiculos,con_vehiculos_en_funcionamiento_ejidos_y_comunidades,con_vehiculos_en_funcionamiento_cantidad
Estados Unidos Mexicanos,1607,3406,1521,3207
Aguascalientes,1,2,1,2
Baja California,18,36,15,28
Baja California Sur,21,49,21,48
Campeche,22,28,21,26
Coahuila de Zaragoza,23,50,19,46
Colima,7,16,7,14
Chiapas,56,92,56,92
Chihuahua,52,167,48,156
Distrito Federal,10,28,10,28
Durango,115,394,109,380
Guanajuato,21,41,20,38
Guerrero,58,91,50,80
Hidalgo,76,109,72,99
Jalisco,94,201,92,191
Mexico,89,157,85,146
Michoacan de Ocampo,87,175,81,159
Morelos,60,91,53,81
Nayarit,76,139,71,124
Nuevo Leon,12,18,9,13
Oaxaca,250,535,246,524
Puebla,63,112,61,103
Queretaro,12,25,12,24
Quintana Roo,21,58,20,57
San Luis Potosi,71,218,67,210
Sinaloa,50,63,45,58
Sonora,81,148,79,135
Tabasco,8,38,8,38
Tamaulipas,16,38,13,35
Tlaxcala,15,23,14,21
Veracruz Llave,89,184,87,176
Yucatan,6,13,5,12
Zacatecas,27,67,24,63
NOTAS: La Informacion presentada corresponde a los datos captados en el cuestionario por medio de la pregunta:  33,,,,
"Los datos sobre construcciones, maquinaria, tractores y vehiculos se refieren exclusivamente a aquellos que son considerados propiedad del ejido o de la comunidad. Quedan fuera todos aquellos que pudieran estar disponibles para los sujetos de derecho pero que no se consideran propiedad del nucleo agrario. Los criterios de que se valen los informantes para asignar la titularidad de los activos mencionados no son siempre consistentes entre censos, lo que limita la comparabilidad con eventos anteriores.",,,,
http://www3.inegi.org.mx/sistemas/tabuladosbasicos/default.aspx?c=17351&s=est,,,,
