INEGI. IX Censo Ejidal 2007,,,,,,,,
Ejidos y comunidades con maquinaria para uso agropecuario o forestal de su propiedad,,,,,,,cuadro 30,
"segun tipo, cantidad y funcionamiento por entidad federativa",,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
entidad_federativa,ejidos_y_comunidades_con_maquinaria_para_uso_agropecuario_o_forestal,"tipo_de_maquinaria,_cantidad_y_funcionamiento_con_trilladoras_ejidos_y_comunidades","tipo_de_maquinaria,_cantidad_y_funcionamiento_con_trilladoras_cantidad_total","tipo_de_maquinaria,_cantidad_y_funcionamiento_con_trilladoras_cantidad_en_funcionamiento","tipo_de_maquinaria,_cantidad_y_funcionamiento_con_motogruas_ejidos_y_comunidades","tipo_de_maquinaria,_cantidad_y_funcionamiento_con_motogruas_cantidad_total","tipo_de_maquinaria,_cantidad_y_funcionamiento_con_motogruas_cantidad_en_funcionamiento","tipo_de_maquinaria,_cantidad_y_funcionamiento_con_otra_maquinaria_agropecuaria_o_forestal_ejidos_y_comunidades"
Aguascalientes,856,113,148,141,243,682,1327,1 249
Baja California,12,3,3,0,0,10,20,18
Baja California Sur,4,0,0,0,0,4,6,6
Campeche,3,0,0,0,0,3,7,7
Coahuila de Zaragoza,36,1,1,0,0,35,96,91
Colima,4,0,0,1,1,3,4,4
Chiapas,13,0,0,1,2,12,18,17
Chihuahua,45,4,4,21,41,26,70,65
Distrito Federal,8,0,0,0,0,8,30,27
Durango,79,7,11,49,93,39,91,89
Guanajuato,29,11,18,0,0,23,96,93
Guerrero,17,1,1,7,12,12,14,13
Hidalgo,37,7,10,1,1,34,48,45
Jalisco,70,11,13,6,7,59,111,99
Mexico,40,5,6,5,6,34,109,105
Michoacan de Ocampo,48,8,10,5,7,40,54,50
Morelos,9,1,1,0,0,8,12,9
Nayarit,25,3,3,3,5,22,32,30
Nuevo Leon,5,2,2,1,1,2,4,1
Oaxaca,72,5,5,26,48,50,70,65
Puebla,41,5,5,6,9,35,55,52
Queretaro,3,1,2,0,0,3,6,6
Quintana Roo,10,1,1,1,1,8,13,13
San Luis Potosi,61,4,4,1,1,59,91,87
Sinaloa,8,1,1,1,2,6,10,10
Sonora,36,14,23,1,1,23,44,39
Tabasco,9,0,0,0,0,9,36,36
Tamaulipas,10,0,0,1,1,9,21,21
Tlaxcala,3,0,0,1,1,2,4,2
Veracruz Llave,86,6,7,3,3,80,118,114
Yucatan,3,3,3,0,0,0,0,0
Zacatecas,30,9,14,0,0,24,37,35
NOTAS: La Informacion presentada corresponde a los datos captados en el cuestionario por medio de las preguntas:  34 y 34.1,,,,,,,,
"Los datos sobre construcciones, maquinaria, tractores y vehiculos se refieren exclusivamente a aquellos que son considerados propiedad del ejido o de la comunidad. Quedan fuera todos aquellos que pudieran estar disponibles para los sujetos ",,,,,,,,
"de derecho pero que no se consideran propiedad del nucleo agrario. Los criterios de que se valen los informantes para asignar la titularidad de los activos mencionados no son siempre consistentes entre censos, lo que limita la comparabilidad con ",,,,,,,,
eventos anteriores.,,,,,,,,
http://www3.inegi.org.mx/sistemas/tabuladosbasicos/default.aspx?c=17351&s=est,,,,,,,,
