INEGI. IX Censo Ejidal 2007,,,,,,,
Total de ejidos y comunidades segun disposicion y tipo de parcelas,,,,,,,cuadro 31
con destino especifico por entidad federativa,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
entidad_federativa,ejidos_y_comunidades,parcelas_de_destino_especifico_ejidos_y_comunidades_con_parcelas_de_destino_especifico,parcelas_de_destino_especifico_parcela_escolar,parcelas_de_destino_especifico_unidad_productiva_para_el_desarrollo_integral_de_la_juventud,parcelas_de_destino_especifico_unidad_agricola_industrial_para_la_mujer_total,parcelas_de_destino_especifico_unidad_agricola_industrial_para_la_mujer_mujeres participantes,sin_parcelas_de_este_tipo
Estados Unidos Mexicanos,31514,25053,24649,1002,6198,79374,6461
Aguascalientes,187,172,166,2,93,713,15
Baja California,240,202,197,19,105,766,38
Baja California Sur,99,69,65,12,44,188,30
Campeche,385,348,326,34,305,4887,37
Coahuila de Zaragoza,875,800,788,45,511,5315,75
Colima,165,125,120,2,55,770,40
Chiapas,2823,1652,1634,23,186,3861,1171
Chihuahua,987,760,755,22,138,1340,227
Distrito Federal,37,16,14,0,7,224,21
Durango,1124,851,844,25,149,1937,273
Guanajuato,1543,1253,1233,53,178,2005,290
Guerrero,1259,969,964,45,112,1224,290
Hidalgo,1189,1013,986,56,319,5703,176
Jalisco,1429,1201,1186,72,148,1371,228
Mexico,1233,962,943,62,183,3327,271
Michoacan de Ocampo,1910,1562,1548,55,175,2510,348
Morelos,234,187,181,11,7,109,47
Nayarit,404,349,345,16,53,492,55
Nuevo Leon,607,508,504,18,112,1141,99
Oaxaca,1632,1295,1282,55,111,1536,337
Puebla,1194,968,956,52,115,1298,226
Queretaro,378,279,273,12,70,911,99
Quintana Roo,282,257,245,36,219,3484,25
San Luis Potosi,1421,1071,1052,17,232,3289,350
Sinaloa,1309,977,959,34,268,4820,332
Sonora,979,687,668,65,316,3285,292
Tabasco,779,599,583,20,218,3643,180
Tamaulipas,1391,1246,1228,36,570,5743,145
Tlaxcala,246,192,190,12,32,637,54
Veracruz Llave,3684,3200,3182,57,499,7755,484
Yucatan,722,618,569,10,548,3198,104
Zacatecas,767,665,663,24,120,1892,102
NOTA: La Informacion presentada corresponde a los datos captados en el cuestionario por medio de la pregunta:  39,,,,,,,
http://www3.inegi.org.mx/sistemas/tabuladosbasicos/default.aspx?c=17351&s=est,,,,,,,
