INEGI. IX Censo Ejidal 2007,,,,,,,,,,
Ejidos y comunidades segun tipo de organizacion o asociacion,,,,,,,,,,cuadro 32
por entidad federativa,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
entidad_federativa,ejidos_y_comunidades, ejidos_y_comunidades_con_algun_tipo_de_organizacion_o_asociacion_total, ejidos_y_comunidades_con_algun_tipo_de_organizacion_o_asociacion_asociacion_rural_de_interes_colectivo, ejidos_y_comunidades_con_algun_tipo_de_organizacion_o_asociacion_union_de_ejidos_y_comunidades_agrarias, ejidos_y_comunidades_con_algun_tipo_de_organizacion_o_asociacion_grupos_para_la_produccion,ejidos_y_comunidades_con_algun_tipo_de_organizacion_o_asociacion_sociedades_de_produccion_rural,ejidos_y_comunidades_con_algun_tipo_de_organizacion_o_asociacion_sociedades_de_solidaridad_social, ejidos_y_comunidades_con_algun_tipo_de_organizacion_o_asociacion_sociedades_mercantiles, ejidos_y_comunidades_con_algun_tipo_de_organizacion_o_asociacion_otras_formas_de_asociacion,sin_formas_de_organizacion_o_asociacion
Estados Unidos Mexicanos,31514,10857,1182,6547,3211,1742,781,189,846,20657
Aguascalientes,187,65,3,15,31,21,3,1,4,122
Baja California,240,79,15,41,28,17,3,9,7,161
Baja California Sur,99,57,7,40,18,5,3,3,7,42
Campeche,385,224,34,55,117,103,19,3,13,161
Coahuila de Zaragoza,875,416,25,287,160,58,35,7,25,459
Colima,165,94,4,66,34,30,6,2,5,71
Chiapas,2823,1004,164,544,301,171,150,22,98,1819
Chihuahua,987,371,64,255,82,23,13,4,18,616
Distrito Federal,37,23,1,11,11,7,4,1,5,14
Durango,1124,518,57,401,109,65,51,7,16,606
Guanajuato,1543,376,21,248,60,35,14,3,68,1167
Guerrero,1259,334,48,185,105,53,22,2,32,925
Hidalgo,1189,265,20,128,98,48,19,11,16,924
Jalisco,1429,534,41,379,129,67,27,9,42,895
Mexico,1233,558,29,454,130,45,20,8,37,675
Michoacan de Ocampo,1910,493,61,355,102,53,24,8,25,1417
Morelos,234,111,9,60,42,38,4,2,3,123
Nayarit,404,283,60,174,90,104,26,4,17,121
Nuevo Leon,607,128,17,68,47,9,2,1,7,479
Oaxaca,1632,608,71,263,272,126,74,19,87,1024
Puebla,1194,373,35,201,94,57,63,12,35,821
Queretaro,378,233,16,194,34,25,7,0,34,145
Quintana Roo,282,163,32,75,77,39,3,4,20,119
San Luis Potosi,1421,418,36,174,152,114,17,8,46,1003
Sinaloa,1309,536,47,321,112,140,17,7,23,773
Sonora,979,402,71,194,123,96,20,6,40,577
Tabasco,779,269,25,171,95,30,13,7,17,510
Tamaulipas,1391,487,46,373,65,31,8,5,14,904
Tlaxcala,246,61,4,40,18,6,5,1,4,185
Veracruz Llave,3684,907,80,460,344,71,88,8,60,2777
Yucatan,722,251,18,155,91,34,12,3,16,471
Zacatecas,767,216,21,160,40,21,9,2,5,551
NOTA: La Informacion presentada corresponde a los datos captados en el cuestionario por medio de las preguntas:  37 y 38,,,,,,,,,,
http://www3.inegi.org.mx/sistemas/tabuladosbasicos/default.aspx?c=17351&s=est,,,,,,,,,,
