INEGI. IX Censo Ejidal 2007,,,,,
Total de ejidos y comunidades segun cuenten con grupos para la produccion,,,,,cuadro 33
y ejidatarios participantes por entidad federativa,,,,,
,,,,,
,,,,,
,,,,,
entidad_federativa,ejidos_y_comunidades,con_grupos_para_la_produccion_total,con_grupos_para_la_produccion_ejidatarios_participantes_total,con_grupos_para_la_produccion_ejidatarios_participantes_mujeres,sin_grupos_para_la_produccion
Estados Unidos Mexicanos,31514,3211,174957,28938,28303
Aguascalientes,187,31,1134,111,156
Baja California,240,28,789,152,212
Baja California Sur,99,18,738,70,81
Campeche,385,117,6787,527,268
Coahuila de Zaragoza,875,160,4557,683,715
Colima,165,34,887,167,131
Chiapas,2823,301,19083,2308,2522
Chihuahua,987,82,6495,859,905
Distrito Federal,37,11,677,151,26
Durango,1124,109,7844,1867,1015
Guanajuato,1543,60,3269,690,1483
Guerrero,1259,105,4776,970,1154
Hidalgo,1189,98,4632,699,1091
Jalisco,1429,129,6195,1120,1300
Mexico,1233,130,7195,1379,1103
Michoacan de Ocampo,1910,102,7826,1482,1808
Morelos,234,42,2176,332,192
Nayarit,404,90,4253,687,314
Nuevo Leon,607,47,2013,222,560
Oaxaca,1632,272,29664,5484,1360
Puebla,1194,94,5159,1167,1100
Queretaro,378,34,1175,195,344
Quintana Roo,282,77,5090,631,205
San Luis Potosi,1421,152,5073,778,1269
Sinaloa,1309,112,3962,751,1197
Sonora,979,123,4703,728,856
Tabasco,779,95,3884,531,684
Tamaulipas,1391,65,1369,225,1326
Tlaxcala,246,18,807,211,228
Veracruz Llave,3684,344,14715,2455,3340
Yucatan,722,91,5084,718,631
Zacatecas,767,40,2946,588,727
NOTA: La Informacion presentada corresponde a los datos captados en el cuestionario por medio de la pregunta:  38.1,,,,,
http://www3.inegi.org.mx/sistemas/tabuladosbasicos/default.aspx?c=17351&s=est,,,,,
