INEGI. IX Censo Ejidal 2007,,,,,,,
"Total de ejidos y comunidades segun cuenten con sociedades de produccion rural, tipo de participantes",,,,,,,cuadro 34
y finalidad de las sociedades por entidad federativa,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
entidad_federativa,ejidos_y_comunidades,con_sociedades_de_produccion_rural_total,con_sociedades_de_produccion_rural_ejidatarios_participantes_total,con_sociedades_de_produccion_rural_ejidatarios_participantes_mujeres,con_sociedades_de_produccion_rural_con_participantes_no_ejidatarios ,con_sociedades_de_produccion_rural_solo_para_actividades_agropecuarias_o _forestales,sin_sociedades_de_produccion_rural
Estados Unidos Mexicanos,31514,1742,85952,13729,662,1313,29772
Aguascalientes,187,21,823,61,6,15,166
Baja California,240,17,599,103,6,9,223
Baja California Sur,99,5,225,22,1,2,94
Campeche,385,103,3205,277,41,78,282
Coahuila de Zaragoza,875,58,1549,203,20,47,817
Colima,165,30,1056,179,16,21,135
Chiapas,2823,171,11649,1332,74,136,2652
Chihuahua,987,23,1391,227,6,13,964
Distrito Federal,37,7,735,104,4,5,30
Durango,1124,65,3215,546,28,50,1059
Guanajuato,1543,35,1847,439,14,28,1508
Guerrero,1259,53,4198,1054,32,45,1206
Hidalgo,1189,48,2756,455,20,33,1141
Jalisco,1429,67,2629,469,29,50,1362
Mexico,1233,45,2697,396,27,37,1188
Michoacan de Ocampo,1910,53,3104,386,22,35,1857
Morelos,234,38,2332,324,22,29,196
Nayarit,404,104,4373,510,48,83,300
Nuevo Leon,607,9,551,63,5,7,598
Oaxaca,1632,126,8385,1337,37,90,1506
Puebla,1194,57,4533,1009,23,44,1137
Queretaro,378,25,913,206,11,17,353
Quintana Roo,282,39,1841,206,20,25,243
San Luis Potosi,1421,114,3382,483,36,86,1307
Sinaloa,1309,140,4782,958,18,115,1169
Sonora,979,96,3614,790,20,65,883
Tabasco,779,30,1169,168,16,26,749
Tamaulipas,1391,31,1283,267,11,20,1360
Tlaxcala,246,6,76,13,4,6,240
Veracruz Llave,3684,71,2508,353,27,57,3613
Yucatan,722,34,2821,573,10,22,688
Zacatecas,767,21,1711,216,8,17,746
"NOTA: La Informacion presentada corresponde a los datos captados en el cuestionario por medio de las preguntas:  38.2, 38.2.1 y 38.2.2",,,,,,,
http://www3.inegi.org.mx/sistemas/tabuladosbasicos/default.aspx?c=17351&s=est,,,,,,,
