INEGI. IX Censo Ejidal 2007,,,,,,,
"Total de ejidos y comunidades segun cuenten con sociedades mercantiles, tipo de participantes",,,,,,,cuadro 35
y finalidades de las sociedades por entidad federativa,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
entidad_federativa, ejidos_y_comunidades,con_sociedades_mercantiles_total,con_sociedades_mercantiles_ejidatarios_participantes_total,con_sociedades_mercantiles_ejidatarios_participantes_mujeres,con_sociedades_mercantiles_con_participantes_no_ejidatarios,con_sociedades_mercantiles_solo_para_actividades_agropecuarias_o_forestales,sin_sociedades_mercantiles
Estados Unidos Mexicanos,31514,189,18880,2799,77,93,31325
Aguascalientes,187,1,8,0,0,1,186
Baja California,240,9,422,81,2,2,231
Baja California Sur,99,3,205,13,1,0,96
Campeche,385,3,67,14,0,0,382
Coahuila de Zaragoza,875,7,344,68,1,3,868
Colima,165,2,57,10,1,2,163
Chiapas,2823,22,2860,367,8,12,2801
Chihuahua,987,4,1399,505,2,2,983
Distrito Federal,37,1,336,90,0,1,36
Durango,1124,7,193,26,1,4,1117
Guanajuato,1543,3,213,102,1,2,1540
Guerrero,1259,2,2053,85,0,0,1257
Hidalgo,1189,11,940,97,6,5,1178
Jalisco,1429,9,228,26,7,6,1420
Mexico,1233,8,3080,229,3,2,1225
Michoacan de Ocampo,1910,8,1546,28,3,5,1902
Morelos,234,2,163,12,2,1,232
Nayarit,404,4,175,22,1,1,400
Nuevo Leon,607,1,14,2,0,1,606
Oaxaca,1632,19,1774,449,9,11,1613
Puebla,1194,12,593,101,5,9,1182
Queretaro,378,0,0,0,0,0,378
Quintana Roo,282,4,85,7,0,0,278
San Luis Potosi,1421,8,272,37,6,4,1413
Sinaloa,1309,7,439,148,1,4,1302
Sonora,979,6,338,82,5,3,973
Tabasco,779,7,311,81,2,3,772
Tamaulipas,1391,5,270,38,4,1,1386
Tlaxcala,246,1,8,0,1,1,245
Veracruz Llave,3684,8,273,36,2,3,3676
Yucatan,722,3,39,0,2,3,719
Zacatecas,767,2,175,43,1,1,765
"NOTA: La Informacion presentada corresponde a los datos captados en el cuestionario por medio de las preguntas:  38.4, 38.4.1 y 38.4.2",,,,,,,
http://www3.inegi.org.mx/sistemas/tabuladosbasicos/default.aspx?c=17351&s=est,,,,,,,
