INEGI. IX Censo Ejidal 2007,,,,,,,,,,,,,,,
Total de ejidos y comunidades segun tematica de la capacitacion recibida en ultimos cinco años,,,,,,,,,,,,,,,cuadro 36
y ejidatarios participantes por entidad federativa,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
entidad_federativa,ejidos_y_comunidades,recibieron_capacitacion_total,recibieron_capacitacion_tematica_organizacion_agraria_ total,recibieron_capacitacion_tematica_organizacion_agraria_ejidatarios_participantes,recibieron_capacitacion_tematica_administracion_agraria_total,recibieron_capacitacion_tematica_administracion_agraria_ejidatarios_participantes,recibieron_capacitacion_tematica_manejo_o_cuidado_de_los_cultivos_o_del_bosque_total,recibieron_capacitacion_tematica_manejo_o_cuidado_de_los_cultivos_o_del_bosque_ejidatarios_participantes,recibieron_capacitacion_tematica_manejo_o_cuidado_de_los_ animales_total,recibieron_capacitacion_tematica_manejo_o_cuidado_de_los_ animales_ejidatarios_participantes,recibieron_capacitacion_tematica_comercializacion_total,recibieron_capacitacion_tematica_comercializacion_ejidatarios_participantes,recibieron_capacitacion_tematica_derechos_agrarios_total,recibieron_capacitacion_tematica_derechos_agrarios_ejidatarios_participantes,no_recibieron_capacitacion_sobre_estas_tematicas
Estados Unidos Mexicanos,31514,8418,2906,187797,1362,83762,4144,223251,2761,95644,1014,53293,2501,203449,23096
Aguascalientes,187,50,23,567,13,199,8,108,21,381,5,239,8,572,137
Baja California,240,97,74,2494,29,559,16,359,13,183,8,324,26,928,143
Baja California Sur,99,41,24,730,12,486,13,361,31,611,7,119,12,392,58
Campeche,385,235,118,2606,40,1214,139,4696,83,4104,24,1487,79,4672,150
Coahuila de Zaragoza,875,269,52,1387,84,887,67,1761,142,2572,43,809,76,2979,606
Colima,165,78,28,1181,15,280,43,966,40,771,6,165,10,805,87
Chiapas,2823,795,332,22935,135,13991,363,28862,219,9848,85,4665,203,18296,2028
Chihuahua,987,207,66,8778,25,1608,116,6516,51,1744,31,2602,39,4220,780
Distrito Federal,37,20,10,475,4,81,18,2605,6,148,4,150,6,616,17
Durango,1124,411,114,4662,57,1564,253,8494,212,5398,65,2642,84,3613,713
Guanajuato,1543,263,89,4060,40,2233,116,4384,94,3807,30,674,72,3111,1280
Guerrero,1259,543,135,23436,53,17485,404,33103,127,6936,35,6627,113,27829,716
Hidalgo,1189,315,91,7051,36,2152,143,7372,119,5231,30,1058,114,9735,874
Jalisco,1429,271,88,3160,41,1065,162,4533,67,1924,47,1772,82,4348,1158
Mexico,1233,571,245,9441,142,6842,318,14804,156,5278,52,1893,186,16220,662
Michoacan de Ocampo,1910,431,134,7751,63,3185,255,9850,95,4805,45,2624,88,5332,1479
Morelos,234,69,5,307,5,161,40,1578,34,864,14,795,14,1121,165
Nayarit,404,226,145,11542,45,2511,106,4188,74,2550,37,1824,43,3248,178
Nuevo Leon,607,106,36,718,9,256,36,900,32,478,11,222,36,1533,501
Oaxaca,1632,522,171,27076,101,7154,325,37336,143,8335,73,9142,227,30807,1110
Puebla,1194,429,130,8470,51,3094,260,13677,93,3816,40,2008,147,13355,765
Queretaro,378,137,55,628,19,222,50,1086,43,826,7,145,40,1720,241
Quintana Roo,282,163,51,3233,28,1408,89,4059,51,1546,23,1029,104,6708,119
San Luis Potosi,1421,478,187,11838,76,4231,174,8980,165,4565,44,1132,120,7404,943
Sinaloa,1309,176,55,2651,22,919,98,2943,55,1627,50,2005,49,2999,1133
Sonora,979,223,114,4964,54,2238,38,1887,103,2677,37,1296,49,2007,756
Tabasco,779,178,24,536,14,213,75,2279,88,3356,16,551,30,1766,601
Tamaulipas,1391,154,36,851,17,361,51,1345,72,1408,29,912,45,1771,1237
Tlaxcala,246,57,11,893,7,967,28,1717,25,639,8,532,21,1469,189
Veracruz Llave,3684,552,126,6402,68,3688,222,9685,188,4910,62,1730,224,13751,3132
Yucatan,722,276,114,5927,46,2073,89,1948,83,2757,29,1287,133,9226,446
Zacatecas,767,75,23,1047,11,435,29,869,36,1549,17,833,21,896,692
NOTA: La Informacion presentada corresponde a los datos captados en el cuestionario por medio de la pregunta:  40,,,,,,,,,,,,,,,
http://www3.inegi.org.mx/sistemas/tabuladosbasicos/default.aspx?c=17351&s=est,,,,,,,,,,,,,,,
