INEGI. IX Censo Ejidal 2007,,,,,,,
Ejidos y comunidades medidos por alguna institucion o empresa segun hayan optado,,,,,,cuadro 37,
por el dominio pleno de sus tierras por entidad federativa,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
entidad_federativa,ejidos_y_comunidades_medidos,ejidos_y_comunidades_que_optaron_por_el_dominio_pleno_total,ejidos_y_comunidades_que_optaron_por_el_dominio_pleno_para_todo_el_ejido_o_comunidad ,ejidos_y_comunidades_que_optaron_por_el_dominio_pleno_solo_para_una_parte_del_ejido_total,ejidos_y_comunidades_que_optaron_por_el_dominio_pleno_solo_para_una_parte_del_ejido_ejidatarios,superficie_en_dominio_pleno_(ha),unidad_de_medida
Estados Unidos Mexicanos,28138,5914,4194,1720,52532,4658849,Hectareas
Aguascalientes,179,101,69,32,365,18831,Hectareas
Baja California,221,87,35,52,631,357086,Hectareas
Baja California Sur,97,54,33,21,853,145991,Hectareas
Campeche,355,51,39,12,303,29588,Hectareas
Coahuila de Zaragoza,852,216,154,62,1020,96574,Hectareas
Colima,163,56,7,49,385,6136,Hectareas
Chiapas,2107,319,281,38,2442,249191,Hectareas
Chihuahua,839,311,268,43,3194,135993,Hectareas
Distrito Federal,2,2,1,1,500,987,Hectareas
Durango,1061,306,229,77,2853,318868,Hectareas
Guanajuato,1420,321,89,232,4029,31107,Hectareas
Guerrero,1147,207,156,51,3332,279401,Hectareas
Hidalgo,1056,182,119,63,2323,22992,Hectareas
Jalisco,1331,277,183,94,1048,84907,Hectareas
Mexico,1075,307,250,57,4801,75122,Hectareas
Michoacan de Ocampo,1693,456,350,106,2123,343002,Hectareas
Morelos,212,37,20,17,247,1592,Hectareas
Nayarit,352,93,57,36,333,27098,Hectareas
Nuevo Leon,571,139,120,19,360,50435,Hectareas
Oaxaca,1105,240,175,65,5284,401949,Hectareas
Puebla,1086,198,131,67,2175,47313,Hectareas
Queretaro,361,133,88,45,628,15016,Hectareas
Quintana Roo,266,68,65,3,300,403448,Hectareas
San Luis Potosi,1309,152,69,83,1097,27777,Hectareas
Sinaloa,1254,274,212,62,2021,192665,Hectareas
Sonora,820,288,218,70,3199,595267,Hectareas
Tabasco,759,116,70,46,688,39056,Hectareas
Tamaulipas,1318,192,135,57,1157,132379,Hectareas
Tlaxcala,237,66,32,34,1298,5614,Hectareas
Veracruz Llave,3497,376,302,74,1265,103121,Hectareas
Yucatan,677,158,122,36,1802,298667,Hectareas
Zacatecas,716,131,115,16,476,121675,Hectareas
"NOTA: La Informacion presentada corresponde a los datos captados en el cuestionario por medio de las preguntas:  41, 42, 43, 43.1 y 43.2",,,,,,,
http://www3.inegi.org.mx/sistemas/tabuladosbasicos/default.aspx?c=17351&s=est,,,,,,,
