INEGI. IX Censo Ejidal 2007,,,,,,,,,,,
"Total de ejidos y comunidades segun compravente de tierras ejidales, tipo de participantes",,,,,,,,,,Cuadro 38,
y superficie vendida por entidad federativa,,,,,,,,,,,
entidad_federativa, ejidos_y_comunidades,con_compraventa_de tierras_ejidales_total,con_compraventa_de tierras_ejidales_entre_ejidatarios,con_compraventa_de tierras_ejidales_con_avecindados_o_posesionarios,con_compraventa_de tierras_ejidales_con_personas_ajenas_al_ejido,con_compraventa_de tierras_ejidales_principales_compradores_ejidatarios,con_compraventa_de tierras_ejidales_principales_compradores_avecindados_o_posesionarios,con_compraventa_de tierras_ejidales_principales_compradores_personas_ajenas_al_ejido,superficie_vendida_en_los_ultimos_10_años_(ha),no_reportan_compraventa,unidad_de_medida
Estados Unidos Mexicanos,31514,20989,17308,11446,11360,12661,2338,5990,3097658.83,10525,Hectarea
Aguascalientes,187,166,107,115,138,47,31,88,13635.53,21,Hectarea
Baja California,240,173,106,82,114,64,22,87,139312.63,67,Hectarea
Baja California Sur,99,57,35,18,41,17,3,37,62210.00,42,Hectarea
Campeche,385,221,194,148,141,135,28,58,98145.50,164,Hectarea
Coahuila de Zaragoza,875,593,334,225,449,180,54,359,314223.91,282,Hectarea
Colima,165,146,115,80,108,69,10,67,26101.50,19,Hectarea
Chiapas,2823,1649,1548,872,483,1320,151,178,132314.93,1174,Hectarea
Chihuahua,987,618,516,279,351,392,50,176,145770.85,369,Hectarea
Distrito Federal,37,16,7,9,15,6,0,10,310.50,21,Hectarea
Durango,1124,682,536,349,340,379,96,207,83767.65,442,Hectarea
Guanajuato,1543,1107,885,577,607,640,139,328,35894.11,436,Hectarea
Guerrero,1259,858,789,453,289,671,91,96,86438.52,401,Hectarea
Hidalgo,1189,589,510,300,240,395,63,131,321159.27,600,Hectarea
Jalisco,1429,1113,957,693,708,674,125,314,103340.78,316,Hectarea
Mexico,1233,857,712,608,503,491,150,216,41138.46,376,Hectarea
Michoacan de Ocampo,1910,1410,1210,773,769,907,147,356,111757.09,500,Hectarea
Morelos,234,185,141,139,131,85,20,80,8716.45,49,Hectarea
Nayarit,404,322,286,243,249,171,34,117,46408.61,82,Hectarea
Nuevo Leon,607,389,259,163,254,149,38,202,83985.61,218,Hectarea
Oaxaca,1632,785,721,464,300,586,87,112,86363.59,847,Hectarea
Puebla,1194,778,692,433,313,557,101,120,33794.66,416,Hectarea
Queretaro,378,265,152,153,194,69,40,156,12216.77,113,Hectarea
Quintana Roo,282,75,65,54,41,41,19,15,27251.00,207,Hectarea
San Luis Potosi,1421,857,723,400,409,530,85,242,70549.39,564,Hectarea
Sinaloa,1309,1022,762,431,708,487,97,438,179372.50,287,Hectarea
Sonora,979,548,364,246,304,272,72,204,201060.50,431,Hectarea
Tabasco,779,614,526,397,385,364,70,180,103132.15,165,Hectarea
Tamaulipas,1391,1060,766,478,683,524,94,442,175098.05,331,Hectarea
Tlaxcala,246,189,166,99,99,120,18,51,6980.50,57,Hectarea
Veracruz Llave,3684,2802,2435,1729,1579,1797,300,705,181371.49,882,Hectarea
Yucatan,722,280,187,136,163,118,45,117,89104.85,442,Hectarea
Zacatecas,767,563,502,300,252,404,58,101,76731.50,204,Hectarea
"NOTA: La Informacion presentada corresponde a los datos captados en el cuestionario por medio de las preguntas:  46, 46.1 y 46.2",,,,,,,,,,,
http://www3.inegi.org.mx/sistemas/tabuladosbasicos/default.aspx?c=17351&s=est,,,,,,,,,,,
