INEGI. IX Censo Ejidal 2007,,,,,,,,
Total de ejidos y comunidades segun tipo de problematica interna,,,,,,,,cuadro 39
por entidad federativa,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
entidad_federativa,ejidos_y_comunidades, problematica_interna_de_linderos_al_interior_del_ejido, problematica_interna_de_linderos_con_sus_colindantes,  problematica_interna_invasion_de_terrenos,  problematica_interna_acceso_al_credito,  problematica_interna_erosion_o_salinidad_del_suelo,  problematica_interna_acceso_al_agua_para_riego, problematica_interna_otros_problemas
Estados Unidos Mexicanos,31514,4419,6158,4924,12546,5650,8700,1245
Aguascalientes,187,43,40,32,61,34,42,4
Baja California,240,45,67,67,118,95,105,8
Baja California Sur,99,18,19,18,24,32,26,3
Campeche,385,61,55,42,222,49,165,24
Coahuila de Zaragoza,875,122,211,162,404,248,283,23
Colima,165,36,52,30,80,55,75,4
Chiapas,2823,216,295,220,1127,349,504,88
Chihuahua,987,191,255,246,373,188,243,31
Distrito Federal,37,17,27,20,18,26,17,5
Durango,1124,184,345,268,480,165,301,92
Guanajuato,1543,222,245,201,518,222,421,28
Guerrero,1259,236,353,281,570,222,394,41
Hidalgo,1189,156,229,159,391,264,398,70
Jalisco,1429,271,338,345,566,266,533,83
Mexico,1233,324,412,346,550,262,428,69
Michoacan de Ocampo,1910,277,394,351,740,304,622,35
Morelos,234,80,91,63,126,49,98,9
Nayarit,404,152,182,137,235,147,184,18
Nuevo Leon,607,68,117,85,135,60,93,12
Oaxaca,1632,293,542,389,618,437,603,105
Puebla,1194,174,292,191,414,214,346,42
Queretaro,378,93,131,108,113,103,135,13
Quintana Roo,282,15,35,28,170,13,47,19
San Luis Potosi,1421,172,252,165,394,222,384,87
Sinaloa,1309,163,207,151,573,414,424,31
Sonora,979,131,170,172,536,207,312,31
Tabasco,779,75,77,64,386,148,75,9
Tamaulipas,1391,132,148,126,445,270,243,27
Tlaxcala,246,32,42,16,98,74,55,3
Veracruz Llave,3684,250,308,223,1488,356,864,182
Yucatan,722,58,66,97,340,34,133,31
Zacatecas,767,112,161,121,233,121,147,18
NOTA: La Informacion presentada corresponde a los datos captados en el cuestionario por medio de la pregunta:  45,,,,,,,,
http://www3.inegi.org.mx/sistemas/tabuladosbasicos/default.aspx?c=17351&s=est,,,,,,,,
