INEGI. IX Censo Ejidal 2007,,,,,
Total de ejidos y comunidades segun sexo del presidente del comisariado,,,,,cuadro 40
y si es hablante de lengua indigena por entidad federativa,,,,,
,,,,,
,,,,,
entidad_federativa,ejidos_y_comunidades,sexo_del_presidente_del_comisariado_hombres,sexo_del_presidente_del_comisariado_mujeres,hablantes_de_lengua_indigena_hombres,hablantes_de_lengua_indigena_mujeres
Estados Unidos Mexicanos,31514,30716,798,5219,64
Aguascalientes,187,186,1,0,0
Baja California,240,217,23,4,1
Baja California Sur,99,94,5,1,0
Campeche,385,376,9,139,3
Coahuila de Zaragoza,875,844,31,1,0
Colima,165,163,2,0,0
Chiapas,2823,2764,59,1102,10
Chihuahua,987,955,32,75,4
Distrito Federal,37,36,1,4,0
Durango,1124,1091,33,8,0
Guanajuato,1543,1488,55,1,1
Guerrero,1259,1248,11,201,1
Hidalgo,1189,1178,11,420,2
Jalisco,1429,1396,33,6,0
Mexico,1233,1203,30,187,5
Michoacan de Ocampo,1910,1861,49,55,0
Morelos,234,232,2,9,0
Nayarit,404,398,6,29,0
Nuevo Leon,607,601,6,0,0
Oaxaca,1632,1598,34,740,8
Puebla,1194,1174,20,176,2
Queretaro,378,368,10,13,0
Quintana Roo,282,280,2,195,2
San Luis Potosi,1421,1374,47,364,4
Sinaloa,1309,1273,36,33,1
Sonora,979,910,69,62,8
Tabasco,779,750,29,71,0
Tamaulipas,1391,1342,49,3,0
Tlaxcala,246,235,11,4,0
Veracruz Llave,3684,3606,78,642,7
Yucatan,722,716,6,674,5
Zacatecas,767,759,8,0,0
"La Informacion presentada corresponde a los datos captados en el cuestionario por medio de las preguntas:  51, 53, 54",,,,,
http://www3.inegi.org.mx/sistemas/tabuladosbasicos/default.aspx?c=17351&s=est,,,,,
