INEGI. IX Censo Ejidal 2007,,,,,,,
"Ejidos y comunidades con asistencia a la escuela del presidente del comisariado,",,,,,,,cuadro 41
segun nivel maximo de estudios aprobado por entidad federativa,,,,,,,
,,,,,,,
,,,,,,,
entidad_federativa,ejidos_y_comunidades_con_asistencia_a_la_escuela_del_presidente_del_comisariado,nivel_maximo_de_estudios_aprobado_ninguno,nivel_maximo_de_estudios_aprobado_primaria,nivel_maximo_de_estudios_aprobado_secundaria,nivel_maximo_de_estudios_aprobado_preparatoria,nivel_maximo_de_estudios_aprobado_otros_estudios,sin asistencia_a_la_escuela
Estados Unidos Mexicanos,28407,130,20723,4187,1421,1946,3107
Aguascalientes,174,0,144,16,6,8,13
Baja California,229,1,83,41,30,74,11
Baja California Sur,99,0,53,22,13,11,0
Campeche,359,2,246,81,17,13,26
Coahuila de Zaragoza,824,2,567,120,47,88,51
Colima,154,0,88,27,15,24,11
Chiapas,2464,18,1951,309,95,91,359
Chihuahua,946,4,687,147,46,62,41
Distrito Federal,37,0,15,6,5,11,0
Durango,1069,4,775,158,45,87,55
Guanajuato,1086,19,888,108,37,34,457
Guerrero,1077,3,784,139,57,94,182
Hidalgo,1064,7,760,190,43,64,125
Jalisco,1295,2,914,178,62,139,134
Mexico,1168,7,742,234,75,110,65
Michoacan de Ocampo,1548,10,1166,176,83,113,362
Morelos,225,0,141,38,20,26,9
Nayarit,390,0,237,64,27,62,14
Nuevo Leon,576,1,453,71,20,31,31
Oaxaca,1500,5,1122,208,75,90,132
Puebla,1103,2,889,150,27,35,91
Queretaro,289,6,217,43,10,13,89
Quintana Roo,265,4,156,73,20,12,17
San Luis Potosi,1290,6,980,205,48,51,131
Sinaloa,1251,6,821,193,90,141,58
Sonora,923,4,520,192,86,121,56
Tabasco,744,2,517,145,37,43,35
Tamaulipas,1317,2,914,205,91,105,74
Tlaxcala,233,1,164,42,8,18,13
Veracruz Llave,3341,8,2562,468,159,144,343
Yucatan,669,2,581,64,14,8,53
Zacatecas,698,2,586,74,13,23,69
NOTA: La Informacion presentada corresponde a los datos captados en el cuestionario por medio de las preguntas:  55 y 55.1,,,,,,,
http://www3.inegi.org.mx/sistemas/tabuladosbasicos/default.aspx?c=17351&s=est,,,,,,,
