INEGI. IX Censo Ejidal 2007,,,,,,,,,
Superficie total de ejidos y comunidades Agrarias segun distribucion interna de la tierra ,,,,,,,,cuadro 1,
por entidad federativa y municipio,,,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades,superficie_total_(ha),distribucion_interna_de_la_tierra_(ha)_superficie_parcelada,distribucion_interna_de_la_tierra_(ha)_superficie_no_parcelada_total,distribucion_interna_de_la_tierra_(ha)_superficie_no_parcelada_uso_comun,distribucion_interna_de_la_tierra_(ha)_superficie_no_parcelada_asentamiento_humano_total,distribucion_interna_de_la_tierra_(ha)_superficie_no_parcelada_asentamiento_humano_reserva_de_crecimiento,otras_superficies_(ha),unidad_de_medida
Estados Unidos Mexicanos,31514,105948306.1600,33628597.1500,70669716.4500,69298786.8000,1370929.6500,155524.9800,1649992.6400,Hectarea
Aguascalientes,187,276617.4900,130752.7200,138312.9800,129113.6400,9199.3400,1299.1700,7551.7900,Hectarea
Aguascalientes,41,48727.1200,30179.7300,17408.7200,14533.9500,2874.7600,573.1400,1138.6700,Hectarea
Asientos,34,47236.7900,25235.6200,20935.3500,18931.1600,2004.1900,165.5000,1065.8200,Hectarea
Calvillo,8,13773.8900,7639.5000,5675.3900,5201.3900,474.0000,142.0000,459.0000,Hectarea
Cosio,8,16052.3400,5936.4100,9620.3500,9228.4900,391.8600,0.0000,495.5800,Hectarea
Jesus Maria,14,22253.1000,6122.0000,15658.6800,15080.8800,577.8000,55.6200,472.4200,Hectarea
Pabellon de Arteaga,9,9370.8100,3985.2400,5175.5300,4840.7200,334.8100,56.1200,210.0400,Hectarea
Rincon de Romos,13,31787.6600,10816.7000,19544.8900,19137.4900,407.4000,13.5000,1426.0700,Hectarea
San Jose de Gracia,10,26268.9300,6414.0900,19352.0300,19033.4500,318.5800,83.9000,502.8100,Hectarea
Tepezala ,15,21085.2900,11707.8400,8953.8400,8489.7900,464.0500,4.0000,423.6100,Hectarea
El Llano,24,28644.1800,16010.3200,11611.0700,10650.2500,960.8200,110.6200,1022.7900,Hectarea
San Francisco de los Romo,11,11417.3700,6705.2600,4377.1400,3986.0700,391.0700,94.7700,334.9700,Hectarea
Baja California,240,5935533.1500,2499351.2500,3414457.0900,3395375.5800,19081.5100,1501.1000,21724.8000,Hectarea
Ensenada,97,4718124.4300,2042042.5600,2667133.1100,2660101.0300,7032.0800,600.5000,8948.7500,Hectarea
Mexicali,119,1054366.9000,408627.0700,636054.1700,628767.1400,7287.0300,246.6000,9685.6600,Hectarea
Tecate,13,135974.1300,35706.7100,97943.1200,95992.4400,1950.6800,489.0000,2324.3000,Hectarea
Tijuana,6,8398.0000,1593.8000,6790.2000,5225.2000,1565.0000,0.0000,14.0000,Hectarea
Playas de Rosarito,5,18669.6900,11381.1100,6536.4900,5289.7700,1246.7200,165.0000,752.0900,Hectarea
Baja California Sur,99,5090223.9900,319210.0200,4754400.4400,4747556.8800,6843.5600,1648.7000,16613.5300,Hectarea
Comondu,     C,1926257.5500,102884.8600,1822605.9800,1821619.3900,986.5900,431.0000,766.7100,Hectarea
Mulege,28,2552388.6000,137258.0000,2404755.6000,2401933.3600,2822.2400,581.0000,10375.0000,Hectarea
La Paz,32,408649.0400,55162.8100,348865.0100,347192.6300,1672.3800,273.0000,4621.2200,Hectarea
Los Cabos,19,113803.8000,21385.3500,91575.8500,90268.5000,1307.3500,363.7000,842.6000,Hectarea
Loreto,     C,89125.0000,2519.0000,86598.0000,86543.0000,55.0000,0.0000,8.0000,Hectarea
Campeche,385,3190615.0800,824837.9000,2339831.5300,2314224.0900,25607.4400,4050.2600,25945.6600,Hectarea
Calkini,17,190411.0000,131.0000,187510.0000,184953.0000,2557.0000,0.0000,2770.0000,Hectarea
Campeche,35,249136.6700,63569.7100,183196.6100,181976.4200,1220.1800,352.8100,2370.3600,Hectarea
Carmen,47,220843.3400,114889.5100,104201.8000,102122.2500,2079.5500,213.3800,1752.0300,Hectarea
Champoton,57,509404.7700,227671.5000,279092.6700,273432.6700,5660.0000,588.0000,2640.6000,Hectarea
Hecelchakan,15,197823.2500,1464.8700,192101.5400,191261.4900,840.0500,0.0000,4256.8400,Hectarea
Hopelchen,40,636756.5800,16673.1500,616512.7400,614006.7800,2505.9600,304.0000,3570.6800,Hectarea
Palizada,4,25082.6100,9523.4000,14985.2800,14975.4700,9.8100,0.0000,573.9300,Hectarea
Tenabo,10,46105.4800,3898.2000,42046.8700,41312.1700,734.6900,257.4800,160.4200,Hectarea
Escarcega,38,376522.2300,162270.8300,212379.3100,209476.7100,2902.6000,545.8000,1872.0900,Hectarea
Calakmul,65,504081.3000,33138.3800,470111.2700,466253.5500,3857.7200,1146.7900,831.6500,Hectarea
Candelaria,57,234447.8500,191607.3500,37693.4400,34453.5700,3239.8700,642.0000,5147.0600,Hectarea
Coahuila de Zaragoza,875,6509380.3400,1576047.9900,4893548.5000,4859195.1300,34353.3700,3199.1200,39783.8400,Hectarea
Abasolo,     C,17502.5000,5547.7500,11935.7500,11935.7500,0.0000,0.0000,19.0000,Hectarea
Acuña,13,331379.7900,311078.0600,19986.7300,18960.1600,1026.5700,383.0000,314.9900,Hectarea
Allende,4,7901.0000,4146.0000,3660.0000,3491.0000,169.0000,0.0000,95.0000,Hectarea
Arteaga,26,60284.4000,14471.8100,45324.2800,42587.4000,2736.8800,78.5000,488.3100,Hectarea
Candela,6,40750.0000,13365.0000,27078.0000,26831.0000,247.0000,57.0000,307.0000,Hectarea
Castaños,23,147002.5000,37572.0000,107477.5000,106289.0000,1188.5000,200.1000,1953.0000,Hectarea
Cuatro Cienegas,29,670281.2000,54215.8800,614537.0000,613516.0000,1021.0000,102.0000,1528.3300,Hectarea
Escobedo,5,37230.7500,5968.5000,29779.5000,29140.7500,638.7500,66.2500,1482.7500,Hectarea
Francisco I. Madero,51,227502.7800,36274.3300,190408.0100,189362.4100,1045.6000,37.5500,820.4400,Hectarea
Frontera,6,17580.6100,11651.5100,5662.2300,5017.0000,645.2300,2.0000,266.8700,Hectarea
General Cepeda,45,159582.2200,23875.1700,134334.1900,133336.0500,998.1500,112.0000,1372.8500,Hectarea
Guerrero,4,19612.3000,2754.6100,16799.0300,16620.7300,178.3000,0.0000,58.6600,Hectarea
Hidalgo,     C,2012.0000,1023.0000,954.0000,949.0000,5.0000,5.0000,35.0000,Hectarea
Jimenez,19,101654.5700,14626.1900,86261.8200,85232.9600,1028.8600,146.0000,766.5600,Hectarea
Juarez,4,14907.0000,4873.0000,10002.0000,9944.0000,58.0000,29.0000,32.0000,Hectarea
