INEGI. IX Censo Ejidal 2007,,,,,,,
Ejidos y comunidades con superficie de uso comun segun uso agricola,,,,,,cuadro 4,
por entidad federativa y municipio,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_con_superficie_de_uso_comun,superficie_de_uso_comun_(ha),ejidos_y_comunidades_con_superficie_de_uso_comun_utilizada_para_la_agricultura_total,,ejidos_y_comunidades_con_superficie_de_uso_comun_utilizada_para_la_agricultura_sembrada_en_2007,ejidos_y_comunidades_con_superficie_de_uso_comun_utilizada_para_la_agricultura_para_sembrarse_solo_por_uno_o_dos_años,unidad_de_medida
Estados Unidos Mexicanos,22869,69298786.8000,6624,5794,5794,1797,Hectarea
Aguascalientes,154,129113.6400,26,22,22,3,Hectarea
Aguascalientes,23,14533.9500,2,1,1,0,Hectarea
Asientos,30,18931.1600,5,5,5,1,Hectarea
Calvillo,8,5201.3900,5,4,4,0,Hectarea
Cosio,6,9228.4900,0,0,0,0,Hectarea
Jesus Maria,13,15080.8800,3,3,3,0,Hectarea
Pabellon de Arteaga,8,4840.7200,3,2,2,0,Hectarea
Rincon de Romos,11,19137.4900,1,1,1,1,Hectarea
San Jose de Gracia,10,19033.4500,1,1,1,0,Hectarea
Tepezala ,12,8489.7900,0,0,0,0,Hectarea
El Llano,22,10650.2500,4,3,3,1,Hectarea
San Francisco de los Romo,11,3986.0700,2,2,2,0,Hectarea
Baja California,158,3395375.5800,34,22,22,7,Hectarea
Ensenada,84,2660101.0300,23,14,14,3,Hectarea
Mexicali,52,628767.1400,6,4,4,2,Hectarea
Tecate,11,95992.4400,2,2,2,0,Hectarea
Tijuana,6,5225.2000,1,1,1,1,Hectarea
Playas de Rosarito,5,5289.7700,2,1,1,1,Hectarea
Baja California Sur,99,4747556.8800,6,5,5,2,Hectarea
Comondu,18,1821619.3900,0,0,0,0,Hectarea
Mulege,28,2401933.3600,0,0,0,0,Hectarea
La Paz,32,347192.6300,5,4,4,2,Hectarea
Los Cabos,19,90268.5000,1,1,1,0,Hectarea
Loreto,2,86543.0000,0,0,0,0,Hectarea
Campeche,332,2314224.0900,218,198,198,91,Hectarea
Calkini,17,184953.0000,17,17,17,11,Hectarea
Campeche,33,181976.4200,24,23,23,8,Hectarea
Carmen,23,102122.2500,7,5,5,4,Hectarea
Champoton,54,273432.6700,31,17,17,15,Hectarea
Hecelchakan,15,191261.4900,15,15,15,1,Hectarea
Hopelchen,40,614006.7800,33,32,32,7,Hectarea
Palizada,3,14975.4700,0,0,0,0,Hectarea
Tenabo,10,41312.1700,8,8,8,0,Hectarea
Escarcega,33,209476.7100,15,14,14,10,Hectarea
Calakmul,65,466253.5500,61,60,60,31,Hectarea
Candelaria,39,34453.5700,7,7,7,4,Hectarea
