INEGI. IX Censo Ejidal 2007,,,,
Ejidos y comunidades con superficie de uso comun segun pastos no cultivados,,,,cuadro 6
de agostadero o enmontada por entidad federativa y municipio,,,,
,,,,
,,,,
,,,,
entidad_federativa_y_municipio,total_de_ejidos_y_comunidades_con_superficie_de_uso_comun,ejidos_y_comunidades_con_pastos_no_cultivados_de_agostadero_o_enmontada_total,ejidos_y_comunidades_con_pastos_no_cultivados_de_agostadero_o_enmontada_principalmente_con_pastos_no_cultivados_total,ejidos_y_comunidades_con_pastos_no_cultivados_de_agostadero_o_enmontada_sembrada_alguna_vez en_los_ultimos_5_años
Estados Unidos Mexicanos,22869,17615,12723,2155
Aguascalientes,154,150,143,8
Aguascalientes,23,23,21,1
Asientos,30,30,27,0
Calvillo,8,8,6,3
Cosio,6,6,6,0
Jesus Maria,13,13,13,1
Pabellon de Arteaga,8,8,8,0
Rincon de Romos,11,11,11,1
San Jose de Gracia,10,9,9,0
Tepezala ,12,12,12,0
El Llano,22,20,20,2
San Francisco de los Romo,11,10,10,0
Baja California,158,123,84,16
Ensenada,84,69,53,11
Mexicali,52,32,12,2
Tecate,11,11,10,0
Tijuana,6,6,4,1
Playas de Rosarito,5,5,5,2
Baja California Sur,99,93,76,7
Comondu,18,17,14,0
Mulege,28,27,24,0
La Paz,32,29,22,4
Los Cabos,19,19,15,3
Loreto,2,1,1,0
Campeche,332,267,169,110
Calkini,17,14,12,2
Campeche,33,26,22,6
Carmen,23,20,16,3
Champoton,54,38,34,13
Hecelchakan,15,8,5,2
Hopelchen,40,25,20,2
Palizada,3,3,2,2
Tenabo,10,6,5,2
Escarcega,33,31,10,9
Calakmul,65,64,24,59
Candelaria,39,32,19,10
Coahuila de Zaragoza,775,732,574,76
Abasolo,4,4,4,0
Acuña,4,4,3,0
Allende,4,4,4,0
Arteaga,26,15,15,0
Candela,5,5,5,2
Castaños,22,22,22,12
Cuatro Cienegas,28,26,21,3
Escobedo,5,5,5,1
Francisco I. Madero,35,33,16,3
Frontera,5,5,4,2
General Cepeda,45,44,25,1
Guerrero,4,4,4,0
Hidalgo,2,2,2,0
Jimenez,19,19,17,1
Juarez,3,3,3,0
Lamadrid,1,1,1,0
Matamoros,47,35,14,3
Monclova,4,4,3,2
Morelos,2,2,2,0
Muzquiz,13,13,13,0
Nadadores,9,8,8,0
Nava,3,2,1,0
Ocampo,40,40,38,2
Parras,72,72,72,7
Piedras Negras,4,4,2,0
Progreso,8,8,8,0
Ramos Arizpe,53,53,49,8
Sabinas,7,7,7,1
Sacramento,1,1,1,0
Saltillo,84,76,57,4
San Buenaventura,13,13,13,3
San Juan de Sabinas,6,6,4,1
San Pedro,98,96,47,4
Sierra Mojada,22,22,22,3
Torreon,18,16,8,4
Viesca,41,40,38,9
Villa Union,10,10,10,0
Zaragoza,8,8,6,0
Colima,105,75,50,13
Armeria,7,5,3,0
Colima,9,6,3,0
Comala,9,7,6,3
Coquimatlan,12,12,5,1
Cuauhtemoc,5,3,2,1
Ixtlahuacan,6,2,0,1
Manzanillo,28,23,18,2
