INEGI. IX Censo Ejidal 2007,,,
Ejidos y comunidades con superficie de uso comun desmontada para uso agricola,,,cuadro 8
y ganadero por entidad federativa y municipio,,,
,,,
,,,
entidad_federativa_y_municipio,total,ejidos_y_comunidqdes_con_superficie_de_uso_comun_desmontada_ con_uso_agricola,ejidos_y_comunidqdes_con_superficie_de_uso_comun_desmontada_con_uso_ganadero
Estados Unidos Mexicanos,1612,1188,788
Aguascalientes,3,3,2
Jesus Maria,1,1,1
El Llano,2,2,1
Baja California,4,3,2
Ensenada,2,1,2
Mexicali,2,2,0
Baja California Sur,3,1,2
La Paz,3,1,2
Campeche,86,68,38
Calkini,6,6,1
Campeche,6,4,4
Carmen,5,1,5
Champoton,6,4,5
Hopelchen,10,5,5
Palizada,2,0,2
Tenabo,5,4,1
Escarcega,9,8,5
Calakmul,31,31,7
Candelaria,6,5,3
Coahuila de Zaragoza,16,13,3
Arteaga,1,1,0
Cuatro Cienegas,1,0,1
Francisco I. Madero,1,1,0
Matamoros,2,2,0
Monclova,1,1,0
Muzquiz,2,1,1
Ocampo,1,1,0
Parras,4,3,1
Saltillo,2,2,0
Viesca,1,1,0
Colima,18,9,10
Armeria,1,1,0
Colima,2,1,1
Comala,1,0,1
Coquimatlan,3,2,1
Cuauhtemoc,3,2,2
Ixtlahuacan,2,1,1
Manzanillo,2,0,2
Minatitlan,1,1,0
Tecoman,3,1,2
Chiapas,159,119,69
Altamirano,2,2,0
Amatan,2,2,0
Angel Albino Corzo,1,1,0
Arriaga,1,0,1
Bochil,5,5,2
El Bosque,2,2,1
Catazaja,1,0,1
Cintalapa,2,1,1
Coapilla,2,2,1
Comitan de Dominguez,4,2,3
La Concordia,1,0,1
Copainala,2,2,1
Chanal,1,1,0
Chapultenango,1,1,0
Chenalho,2,2,0
Chiapa de Corzo,2,1,2
Chilon,2,2,1
Francisco Leon,2,1,2
Huixtan,1,0,1
Huitiupan,4,3,3
Huixtla,2,2,0
La Independencia,1,1,0
Ixtapa,3,2,2
Jiquipilas,3,2,3
Juarez,3,1,2
Mapastepec,2,2,1
Las Margaritas,20,18,5
Ocosingo,11,8,4
Ocotepec,1,1,0
Ocozocoautla de Espinosa,4,4,0
Oxchuc,2,2,1
Palenque,7,7,0
Villa Comaltitlan,3,2,1
Las Rosas,1,1,0
Sabanilla,1,1,1
Salto de Agua,4,4,1
San Cristobal de las Casas,1,0,1
San Fernando,1,1,1
Simojovel,1,1,0
Suchiate,2,0,2
Tapachula,2,2,1
Tapilula,1,1,0
Tecpatan,5,4,1
Tila,7,6,2
Tonala,2,0,2
La Trinitaria,8,4,5
Tumbala,1,0,1
