INEGI. IX Censo Ejidal 2007,,,,,,,
Ejidos y comunidades con superficie de uso comun sin vegetacion,,,,,,cuadro 10,
por entidad federativa y municipio,,,,,,,
,,,,,,,
entidad_federativa_y_municipio,total,con_arenales_o_pedregales,ensalitradas,erosionadas,cubiertas_con_agua,otras,erosionadas
Estados Unidos Mexicanos,8066,5565,1322,1827,1298,3608,1827
Aguascalientes,64,43,6,29,16,21,29
Aguascalientes,8,2,0,5,1,2,5
Asientos,15,13,3,8,2,5,8
Calvillo,3,2,0,0,1,0,0
Jesus Maria,5,4,1,2,1,0,2
Pabellon de Arteaga,6,3,1,1,1,4,1
Rincon de Romos,4,4,0,1,1,1,1
San Jose de Gracia,5,2,0,3,3,2,3
Tepezala ,7,6,0,2,4,5,2
El Llano,6,3,1,5,2,1,5
San Francisco de los Romo,5,4,0,2,0,1,2
Baja California,96,76,23,10,4,39,10
Ensenada,56,47,15,7,3,25,7
Mexicali,34,23,8,2,1,12,2
Tecate,2,2,0,0,0,0,0
Tijuana,3,3,0,0,0,1,0
Playas de Rosarito,1,1,0,1,0,1,1
Baja California Sur,52,39,19,7,3,27,7
Comondu,3,1,1,0,0,2,0
Mulege,22,19,13,2,1,5,2
La Paz,20,13,3,3,2,16,3
Los Cabos,6,6,1,2,0,3,2
Loreto,1,0,1,0,0,1,0
Campeche,91,42,19,5,43,56,5
Calkini,8,8,4,0,0,7,0
Campeche,4,3,0,0,0,3,0
Carmen,14,6,7,2,6,9,2
Champoton,10,5,5,0,6,7,0
Hecelchakan,1,1,1,1,1,1,1
Hopelchen,20,17,1,2,5,15,2
Palizada,3,0,0,0,2,2,0
Escarcega,1,0,0,0,1,1,0
Calakmul,18,0,1,0,13,7,0
Candelaria,12,2,0,0,9,4,0
Coahuila de Zaragoza,326,214,116,107,10,110,107
Abasolo,4,0,4,0,0,0,0
Allende,2,2,0,1,1,0,1
Arteaga,5,5,0,0,0,1,0
Candela,2,2,0,0,0,0,0
Castaños,8,5,1,2,0,2,2
Cuatro Cienegas,12,6,5,0,1,8,0
Escobedo,3,0,3,0,0,0,0
Francisco I. Madero,15,13,1,4,0,6,4
Frontera,1,1,0,0,0,0,0
General Cepeda,5,5,1,2,0,0,2
Jimenez,2,0,0,1,1,0,1
Lamadrid,1,1,1,0,0,0,0
Matamoros,27,17,3,4,2,14,4
Muzquiz,5,4,1,2,0,2,2
Nadadores,6,5,2,0,0,1,0
Nava,1,0,0,0,0,1,0
Ocampo,22,18,8,19,0,10,19
Parras,49,31,24,17,1,12,17
Piedras Negras,1,0,0,0,0,1,0
Ramos Arizpe,16,4,2,8,1,6,8
Sabinas,2,1,0,1,0,1,1
Sacramento,1,1,0,0,0,0,0
Saltillo,34,23,13,16,0,11,16
San Buenaventura,10,7,4,2,0,3,2
San Juan de Sabinas,1,0,0,0,0,1,0
San Pedro,53,40,24,16,0,20,16
Sierra Mojada,12,8,6,5,3,4,5
Torreon,11,8,5,4,0,3,4
Viesca,15,7,8,3,0,3,3
Colima,45,22,4,12,6,23,12
Armeria,4,3,0,1,0,4,1
Colima,7,6,0,5,0,1,5
Comala,4,2,0,0,1,2,0
Coquimatlan,4,3,0,2,0,0,2
Cuauhtemoc,1,0,0,0,0,1,0
Ixtlahuacan,1,0,0,1,0,1,1
Manzanillo,7,3,1,0,0,5,0
Minatitlan,3,0,0,2,0,2,2
Tecoman,12,4,3,0,5,7,0
Villa de alvarez,2,1,0,1,0,0,1
Chiapas,571,440,37,89,102,260,89
Acacoyagua,5,5,0,2,0,2,2
Acala,1,0,0,0,0,1,0
Altamirano,8,8,0,0,0,1,0
Amatan,3,2,0,1,0,2,1
Amatenango de la Frontera,2,2,0,0,0,0,0
Amatenango del Valle,1,1,0,0,0,0,0
Angel Albino Corzo,1,0,0,0,0,1,0
Arriaga,2,2,0,0,0,1,0
Bella Vista,2,2,0,0,0,0,0
Berriozabal,2,2,0,1,0,0,1
Bochil,8,4,1,0,1,5,0
El Bosque,5,5,0,0,0,1,0
Catazaja,6,4,0,0,5,1,0
Cintalapa,35,30,3,11,6,17,11
Coapilla,2,1,0,0,0,1,0
Comitan de Dominguez,6,4,1,2,0,0,2
La Concordia,19,10,3,5,5,14,5
Copainala,4,3,0,0,0,4,0
Chamula,1,0,0,0,1,0,0
Chanal,1,1,0,1,0,1,1
Chapultenango,2,0,0,2,0,0,2
Chiapa de Corzo,5,5,0,1,0,4,1
Chicoasen,1,1,0,0,0,1,0
Chicomuselo,15,14,0,0,0,1,0
Chilon,4,4,0,1,2,3,1
Escuintla,2,1,0,2,1,0,2
Francisco Leon,2,2,0,1,0,0,1
Frontera Comalapa,15,15,0,1,1,1,1
Huehuetan,2,0,0,0,2,0,0
Huixtan,9,8,0,1,0,8,1
Huitiupan,6,4,0,1,1,4,1
Huixtla,3,1,2,0,2,1,0
La Independencia,7,7,0,1,0,1,1
Ixtapa,6,5,0,1,1,3,1
Jiquipilas,9,8,0,2,0,3,2
Jitotol,1,1,0,0,0,0,0
Juarez,2,0,0,1,2,1,1
Larrainzar,1,1,0,1,0,0,1
La Libertad,1,1,0,0,0,0,0
Mapastepec,21,16,3,0,1,11,0
Las Margaritas,38,31,0,0,8,22,0
Mazapa de Madero,1,1,0,0,0,1,0
Mazatan,5,0,0,0,5,0,0
Mitontic,1,0,0,1,0,1,1
Motozintla,20,19,0,8,8,12,8
Ocosingo,31,21,6,6,8,11,6
Ocozocoautla de Espinosa,16,12,0,2,1,9,2
Ostuacan,2,2,0,0,1,1,0
Osumacinta,3,3,0,0,0,3,0
Oxchuc,3,3,0,0,0,3,0
Palenque,8,5,0,0,2,2,0
Pantelho,3,2,0,2,1,2,2
Pijijiapan,10,5,2,0,1,7,0
El Porvenir,1,0,0,1,0,0,1
Villa Comaltitlan,1,0,0,0,0,1,0
Pueblo Nuevo Solistahuacan,3,3,0,0,0,0,0
Las Rosas,3,3,0,0,0,0,0
Sabanilla,5,5,1,2,0,4,2
Salto de Agua,3,2,0,0,1,1,0
San Cristobal de las Casas,5,4,1,2,1,4,2
San Fernando,8,8,1,0,2,5,0
Siltepec,5,5,1,3,4,2,3
Simojovel,18,17,0,0,0,3,0
Socoltenango,4,2,0,0,0,2,0
Solosuchiapa,1,1,0,0,1,0,0
Soyalo,2,2,0,1,0,1,1
Suchiate,5,1,5,0,4,4,0
Tapachula,3,3,1,0,1,1,0
