INEGI. IX Censo Ejidal 2007,,,,,,,,,
Superficie de uso comun sin vegetacion,,,,,,,cuadro 11,,
por entidad federativa y municipio,,,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_con_superficie_de_uso_comun_sin_vegetacion,superficie_sin_vegetacion_(ha),superficies_sin_vegetacion_(ha)_arenales_o_pedregales,superficies_sin_vegetacion_(ha)_ensalitradas,superficies_sin_vegetacion_(ha)_erosionadas,superficies_sin_vegetacion_(ha)_cubiertas_por_agua,superficies_sin_vegetacion_(ha)_otras_superficies,ensalitradas,unidad_de_medida
Estados Unidos Mexicanos,8066,5241035.5100,2113286.7100,297216.8300,315250.8300,153348.7100,2361932.4400,297216.8300,Hectarea
Aguascalientes,64,13132.5900,7081.8600,575.6300,2747.0900,1737.3900,990.6300,575.6300,Hectarea
Aguascalientes,8,540.4400,362.6000,0.0000,169.2800,2.5600,6.0000,0.0000,Hectarea
Asientos,15,2013.2000,1431.6100,48.7500,269.6500,31.8200,231.3700,48.7500,Hectarea
Calvillo,3,109.8300,105.0000,0.0000,0.0000,4.8300,0.0000,0.0000,Hectarea
Jesus Maria,5,318.7000,231.0000,3.0000,4.7000,80.0000,0.0000,3.0000,Hectarea
Pabellon de Arteaga,6,572.2400,358.2800,28.8700,96.2300,41.9600,46.9000,28.8700,Hectarea
Rincon de Romos,4,1254.3500,635.6200,0.0000,568.7300,20.0000,30.0000,0.0000,Hectarea
San Jose de Gracia,5,1955.1100,300.0000,0.0000,16.9900,1510.4600,127.6600,0.0000,Hectarea
Tepezala ,7,1579.0700,1181.4900,0.0000,45.0000,31.8600,320.7200,0.0000,Hectarea
El Llano,6,4287.3800,1985.9800,495.0100,1572.5000,13.9000,220.0000,495.0100,Hectarea
San Francisco de los Romo,5,502.2700,490.2800,0.0000,4.0000,0.0000,7.9900,0.0000,Hectarea
Baja California,96,1121055.7300,716610.6700,1841.0800,65885.8000,73.4500,336644.7300,1841.0800,Hectarea
Ensenada,56,643379.2500,288945.1200,811.2600,60186.0000,13.4500,293423.4200,811.2600,Hectarea
Mexicali,34,462415.1100,412725.8400,1029.8200,5519.8000,60.0000,43079.6600,1029.8200,Hectarea
Tecate,2,14294.6800,14294.6800,0.0000,0.0000,0.0000,0.0000,0.0000,Hectarea
Tijuana,3,436.9100,388.0000,0.0000,0.0000,0.0000,48.9100,0.0000,Hectarea
Playas de Rosarito,1,529.7700,257.0300,0.0000,180.0000,0.0000,92.7400,0.0000,Hectarea
Baja California Sur,52,364399.0000,92767.3100,69284.2800,3562.3500,724.4300,198060.6300,69284.2800,Hectarea
Comondu,3,57317.6700,5.0000,100.0000,0.0000,0.0000,57212.6700,100.0000,Hectarea
Mulege,22,188443.2800,62243.9600,62869.7400,34.4300,700.0000,62595.1500,62869.7400,Hectarea
La Paz,20,78308.4200,29433.1600,6009.5400,2902.0000,24.4300,39939.2900,6009.5400,Hectarea
Los Cabos,6,2358.6400,1085.1900,300.0000,625.9200,0.0000,347.5200,300.0000,Hectarea
Loreto,1,37971.0000,0.0000,5.0000,0.0000,0.0000,37966.0000,5.0000,Hectarea
Campeche,91,112240.0200,62412.2600,3428.1200,562.7700,8934.6100,36902.2600,3428.1200,Hectarea
Calkini,8,10212.1600,4276.7500,906.8900,0.0000,0.0000,5028.5200,906.8900,Hectarea
Campeche,4,1397.1600,575.0000,0.0000,0.0000,0.0000,822.1600,0.0000,Hectarea
Carmen,14,29378.9400,2599.2700,2292.9500,216.8100,4712.5300,19557.3600,2292.9500,Hectarea
Champoton,10,1533.7100,1134.0000,21.2700,0.0000,152.4300,226.0100,21.2700,Hectarea
Hecelchakan,1,2345.3100,2000.0000,2.0000,2.0000,20.0000,321.3100,2.0000,Hectarea
Hopelchen,20,60013.6400,51667.2400,200.0000,343.9500,107.0000,7695.4400,200.0000,Hectarea
Palizada,3,851.8400,0.0000,0.0000,0.0000,390.4800,461.3600,0.0000,Hectarea
Escarcega,1,102.9300,0.0000,0.0000,0.0000,50.0000,52.9300,0.0000,Hectarea
Calakmul,18,170.8300,0.0000,5.0000,0.0000,99.8100,66.0200,5.0000,Hectarea
Candelaria,12,6233.5100,160.0000,0.0000,0.0000,3402.3700,2671.1400,0.0000,Hectarea
Coahuila de Zaragoza,326,312800.6000,80688.1900,50896.0600,44621.4600,1362.9100,135231.9800,50896.0600,Hectarea
Abasolo,4,2452.2800,0.0000,2452.2800,0.0000,0.0000,0.0000,2452.2800,Hectarea
Allende,2,23.8200,11.8200,0.0000,4.0000,8.0000,0.0000,0.0000,Hectarea
Arteaga,5,2413.8000,578.1700,0.0000,0.0000,0.0000,1835.6300,0.0000,Hectarea
Candela,2,199.8300,199.8300,0.0000,0.0000,0.0000,0.0000,0.0000,Hectarea
Castaños,8,5103.5100,2166.6800,1000.0000,504.8200,0.0000,1432.0000,1000.0000,Hectarea
Cuatro Cienegas,12,19229.7900,407.2500,1883.6300,0.0000,200.0000,16738.9100,1883.6300,Hectarea
Escobedo,3,766.8800,0.0000,766.8800,0.0000,0.0000,0.0000,766.8800,Hectarea
Francisco I. Madero,15,33313.2800,2055.7300,8.9600,232.5100,0.0000,31016.0900,8.9600,Hectarea
Frontera,1,236.0000,236.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Hectarea
General Cepeda,5,734.0000,677.0000,5.0000,52.0000,0.0000,0.0000,5.0000,Hectarea
Jimenez,2,8.7200,0.0000,0.0000,2.0000,6.7200,0.0000,0.0000,Hectarea
Lamadrid,1,160.6700,80.6700,80.0000,0.0000,0.0000,0.0000,80.0000,Hectarea
Matamoros,27,4191.0900,1600.5700,82.6000,262.3100,14.7000,2230.9100,82.6000,Hectarea
Muzquiz,5,326.4700,242.0900,41.4100,35.8200,0.0000,7.1600,41.4100,Hectarea
Nadadores,6,6550.3300,6020.0000,510.0000,0.0000,0.0000,20.3300,510.0000,Hectarea
Nava,1,3.5800,0.0000,0.0000,0.0000,0.0000,3.5800,0.0000,Hectarea
Ocampo,22,46456.2700,15563.8200,8523.9800,18749.6600,0.0000,3618.8100,8523.9800,Hectarea
Parras,49,63008.5800,13607.0000,6917.4200,11097.3900,5.0000,31381.7800,6917.4200,Hectarea
Piedras Negras,1,63.4800,0.0000,0.0000,0.0000,0.0000,63.4800,0.0000,Hectarea
Ramos Arizpe,16,29540.5600,362.0000,20.8300,6144.9100,22.8700,22989.9500,20.8300,Hectarea
Sabinas,2,1009.3000,100.0000,0.0000,908.5400,0.0000,0.7600,0.0000,Hectarea
Sacramento,1,190.0000,190.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Hectarea
Saltillo,34,16573.2700,3945.8900,2367.8600,1267.7400,0.0000,8991.7800,2367.8600,Hectarea
San Buenaventura,10,3201.1200,1822.0000,839.0000,250.0000,0.0000,290.1200,839.0000,Hectarea
San Juan de Sabinas,1,6228.0000,0.0000,0.0000,0.0000,0.0000,6228.0000,0.0000,Hectarea
San Pedro,53,11795.8300,5763.0800,2041.7200,1559.8900,0.0000,2431.1500,2041.7200,Hectarea
Sierra Mojada,12,9802.2200,5171.9900,469.8800,866.4600,1105.6100,2188.2800,469.8800,Hectarea
Torreon,11,12941.2700,10169.4700,1341.9400,724.5400,0.0000,705.3200,1341.9400,Hectarea
Viesca,15,36276.6600,9717.1300,21542.6600,1958.8900,0.0000,3057.9700,21542.6600,Hectarea
Colima,45,2453.2000,720.5300,23.9000,543.6500,386.6500,778.4700,23.9000,Hectarea
Armeria,4,131.1900,78.0000,0.0000,15.0000,0.0000,38.1900,0.0000,Hectarea
Colima,7,865.8300,569.6700,0.0000,296.1600,0.0000,0.0000,0.0000,Hectarea
Comala,4,37.7900,3.9700,0.0000,0.0000,9.1300,24.6900,0.0000,Hectarea
Coquimatlan,4,103.0000,39.0000,0.0000,64.0000,0.0000,0.0000,0.0000,Hectarea
Cuauhtemoc,1,48.3800,0.0000,0.0000,0.0000,0.0000,48.3800,0.0000,Hectarea
Ixtlahuacan,1,1.0000,0.0000,0.0000,0.5000,0.0000,0.5000,0.0000,Hectarea
Manzanillo,7,42.1000,3.3700,0.2400,0.0000,0.0000,38.4800,0.2400,Hectarea
Minatitlan,3,26.8800,0.0000,0.0000,18.4000,0.0000,8.4800,0.0000,Hectarea
Tecoman,12,1046.3300,25.4100,23.6600,0.0000,377.5200,619.7400,23.6600,Hectarea
Villa de alvarez,2,150.7000,1.1200,0.0000,149.5800,0.0000,0.0000,0.0000,Hectarea
