INEGI. IX Censo Ejidal 2007,,,
"Total de ejidatarios, comuneros y posesionarios",,,cuadro 12
por entidad federativa y municipio,,,
,,,
entidad_federativa_y_municipio,total,ejidatarios_y_comuneros,posesionarios
Estados Unidos Mexicanos,5653637,4210830,1442807
Aguascalientes,19895,16195,3700
Aguascalientes,2960,2719,241
Asientos,3476,3187,289
Calvillo,984,639,345
Cosio,1086,893,193
Jesus Maria,2436,1319,1117
Pabellon de Arteaga,858,576,282
Rincon de Romos,2060,1518,542
San Jose de Gracia,1426,1160,266
Tepezala ,1594,1524,70
El Llano,2027,1870,157
San Francisco de los Romo,988,790,198
Baja California,22584,17111,5473
Ensenada,7365,6566,799
Mexicali,9873,8881,992
Tecate,1063,931,132
Tijuana,3802,302,3500
Playas de Rosarito,481,431,50
Baja California Sur,9289,7084,2205
Comondu,2632,1828,804
Mulege,2254,1881,373
La Paz,2233,1842,391
Los Cabos,1693,1301,392
Loreto,477,232,245
Campeche,54134,46567,7567
Calkini,6660,6082,578
Campeche,4783,3776,1007
Carmen,8046,6195,1851
Champoton,8677,7972,705
Hecelchakan,3203,3202,1
Hopelchen,5238,4185,1053
Palizada,883,484,399
Tenabo,2234,1452,782
Escarcega,5509,4686,823
Calakmul,3806,3690,116
Candelaria,5095,4843,252
Coahuila de Zaragoza,61615,57714,3901
Abasolo,207,206,1
Acuña,461,419,42
Allende,253,185,68
Arteaga,1915,1843,72
Candela,383,383,0
Castaños,1821,1736,85
Cuatro Cienegas,1467,1407,60
Escobedo,447,447,0
Francisco I. Madero,5039,4497,542
Frontera,536,520,16
General Cepeda,2469,2426,43
Guerrero,389,382,7
Hidalgo,192,164,28
Jimenez,1195,1147,48
Juarez,143,139,4
Lamadrid,126,126,0
Matamoros,6622,5623,999
Monclova,384,374,10
Morelos,220,220,0
Muzquiz,1270,1206,64
Nadadores,525,517,8
Nava,295,228,67
Ocampo,1858,1818,40
Parras,3692,3532,160
Piedras Negras,750,450,300
Progreso,351,350,1
Ramos Arizpe,1873,1847,26
Sabinas,579,579,0
Sacramento,219,218,1
Saltillo,5339,5042,297
San Buenaventura,879,837,42
San Juan de Sabinas,599,588,11
San Pedro,10777,10202,575
Sierra Mojada,809,765,44
Torreon,2669,2528,141
Viesca,3926,3829,97
Villa Union,417,417,0
Zaragoza,519,517,2
Colima,15505,13349,2156
Armeria,2145,1677,468
Colima,1838,1668,170
Comala,1024,982,42
Coquimatlan,1449,1251,198
Cuauhtemoc,1728,1669,59
Ixtlahuacan,699,664,35
Manzanillo,3814,3002,812
Minatitlan,580,542,38
Tecoman,1867,1571,296
Villa de alvarez,361,323,38
Chiapas,500701,351933,148768
Acacoyagua,1426,1351,75
Acala,4323,3841,482
Acapetahua,1925,1614,311
Altamirano,2372,1557,815
Amatan,5460,2804,2656
Amatenango de la Frontera,3153,1606,1547
Amatenango del Valle,325,325,0
Angel Albino Corzo,3400,2887,513
Arriaga,2061,1623,438
Bejucal de Ocampo,585,585,0
Bella Vista,2514,1303,1211
Berriozabal,1294,997,297
Bochil,3191,1920,1271
El Bosque,3756,1673,2083
Cacahoatan,3640,1782,1858
Catazaja,2057,1768,289
Cintalapa,5942,5309,633
Coapilla,1630,661,969
Comitan de Dominguez,7217,5332,1885
La Concordia,6276,4611,1665
Copainala,2940,2407,533
Chalchihuitan,3552,3552,0
Chamula,22960,22911,49
Chanal,5500,5500,0
