INEGI. IX Censo Ejidal 2007,,,,,,,
"Total de ejidatarios, comuneros y posesionarios",,,,,,,cuadro 13
por entidad federativa y municipio,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
entidad_federativa_y_municipio,total,ejidatarios_y_comuneros_total,ejidatarios_y_comuneros_hombres,ejidatarios_y_comuneros_mujeres,con_parcela_individual_total,con_parcela_individual_hombres,con_parcela_individual_mujeres
Estados Unidos Mexicanos,31514,4210830,3377035,833795,3392126,2780931,611195
Aguascalientes,187,16195,13807,2388,15346,13126,2220
Aguascalientes,41,2719,2403,316,2603,2335,268
Asientos,34,3187,2810,377,3081,2710,371
Calvillo,8,639,549,90,594,513,81
Cosio,8,893,816,77,893,816,77
Jesus Maria,14,1319,1181,138,894,821,73
Pabellon de Arteaga,9,576,466,110,557,464,93
Rincon de Romos,13,1518,1110,408,1505,1108,397
San Jose de Gracia,10,1160,851,309,1051,748,303
Tepezala ,15,1524,1254,270,1509,1244,265
El Llano,24,1870,1703,167,1869,1703,166
San Francisco de Los Romo,11,790,664,126,790,664,126
Baja California,240,17111,13142,3969,14213,11239,2974
Ensenada,97,6566,5291,1275,5174,4389,785
Mexicali,119,8881,6626,2255,7828,5933,1895
Tecate,13,931,718,213,702,556,146
Tijuana,6,302,219,83,106,94,12
Playas de Rosarito,5,431,288,143,403,267,136
Baja California Sur,99,7084,5905,1179,5403,4577,826
Comondu,C,1828,1588,240,1417,1232,185
Mulege,28,1881,1482,399,1518,1317,201
La Paz,32,1842,1567,275,1161,973,188
Los Cabos,19,1301,1073,228,1157,938,219
Loreto,C,232,195,37,150,117,33
Campeche,385,46567,41951,4616,31283,28254,3029
Calkini,17,6082,5713,369,614,609,5
Campeche,35,3776,3513,263,2707,2551,156
Carmen,47,6195,5233,962,5378,4569,809
Champoton,57,7972,7197,775,6289,5828,461
Hecelchakan,15,3202,3046,156,1088,1084,4
Hopelchen,40,4185,3992,193,1918,1861,57
Palizada,4,484,402,82,484,402,82
Tenabo,10,1452,1413,39,550,537,13
Escarcega,38,4686,3926,760,4277,3565,712
Calakmul,65,3690,3327,363,3242,3150,92
Candelaria,57,4843,4189,654,4736,4098,638
Coahuila de Zaragoza,875,57714,48303,9411,52531,44657,7874
Abasolo,C,206,190,16,205,190,15
Acuña,13,419,358,61,387,358,29
Allende,4,185,158,27,170,143,27
Arteaga,26,1843,1635,208,1836,1635,201
Candela,6,383,358,25,357,339,18
Castaños,23,1736,1577,159,1703,1577,126
Cuatro Cienegas,29,1407,1308,99,1108,1028,80
Escobedo,5,447,393,54,231,198,33
Francisco I. Madero,51,4497,3355,1142,4091,3091,1000
Frontera,6,520,404,116,520,404,116
General Cepeda,45,2426,2271,155,2138,1983,155
Guerrero,4,382,329,53,382,329,53
Hidalgo,C,164,151,13,164,151,13
Jimenez,19,1147,1021,126,1120,1021,99
Juarez,4,139,126,13,139,126,13
Lamadrid,C,126,100,26,126,100,26
Matamoros,64,5623,4172,1451,5392,4061,1331
Monclova,8,374,311,63,337,311,26
Morelos,C,220,192,28,220,192,28
Muzquiz,15,1206,1048,158,1078,936,142
Nadadores,9,517,495,22,507,486,21
Nava,5,228,191,37,223,191,32
Ocampo,44,1818,1632,186,1407,1315,92
Parras,75,3532,3269,263,3444,3186,258
Piedras Negras,5,450,373,77,431,369,62
Progreso,8,350,319,31,302,272,30
