INEGI. IX Censo Ejidal 2007,,,,,,,,
Ejidos y comunidades con posesionarios segun sexo y disposicion de parcela individual,,,,,,,,cuadro 14
por entidad federativa y municipio,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_con_posesionarios,posesionarios_total,posesionarios_total_hombres,posesionarios_total_mujeres,con_parcela_individual_total,con_parcela_individual_hombres,con_parcela_individual_mujeres,propiedades_sociales_sin_posesionarios
Estados Unidos Mexicanos,17711,1442807,1111237,331570,1109679,866311,243368,13803
Aguascalientes,124,3700,3374,326,2739,2556,183,63
Aguascalientes,23,241,203,38,195,167,28,18
Asientos,25,289,272,17,273,258,15,9
Calvillo,8,345,340,5,339,334,5,0
Cosio,8,193,163,30,193,163,30,0
Jesus Maria,12,1117,1049,68,903,901,2,2
Pabellon de Arteaga,6,282,221,61,102,82,20,3
Rincon de Romos,9,542,511,31,65,57,8,4
San Jose de Gracia,3,266,230,36,266,230,36,7
Tepezala ,8,70,69,1,60,59,1,7
El Llano,13,157,150,7,156,150,6,11
San Francisco de los Romo,9,198,166,32,187,155,32,2
Baja California,114,5473,3137,2336,1692,1410,282,126
Ensenada,47,799,681,118,726,617,109,50
Mexicali,55,992,804,188,853,690,163,64
Tecate,8,132,120,12,103,96,7,5
Tijuana,1,3500,1500,2000,0,0,0,5
Playas de Rosarito,3,50,32,18,10,7,3,2
Baja California Sur,58,2205,1856,349,1588,1407,181,41
Comondu,15,804,704,100,531,481,50,3
Mulege,13,373,349,24,355,335,20,15
La Paz,19,391,318,73,326,266,60,13
Los Cabos,10,392,335,57,376,325,51,9
Loreto,1,245,150,95,0,0,0,1
Campeche,150,7567,5917,1650,4249,2847,1402,235
Calkini,8,578,517,61,0,0,0,9
Campeche,19,1007,677,330,736,460,276,16
Carmen,23,1851,1070,781,1804,1028,776,24
Champoton,29,705,619,86,564,492,72,28
Hecelchakan,1,1,1,0,0,0,0,14
Hopelchen,19,1053,1038,15,152,137,15,21
Palizada,2,399,216,183,314,174,140,2
Tenabo,7,782,760,22,56,54,2,3
Escarcega,23,823,701,122,524,424,100,15
Calakmul,9,116,106,10,37,33,4,56
Candelaria,10,252,212,40,62,45,17,47
Coahuila de Zaragoza,266,3901,3089,812,2726,2157,569,609
Abasolo,1,1,1,0,1,1,0,3
Acuña,6,42,37,5,34,29,5,7
Allende,3,68,51,17,61,45,16,1
Arteaga,6,72,63,9,72,63,9,20
Candela,0,0,0,0,0,0,0,6
Castaños,11,85,83,2,53,51,2,12
Cuatro Cienegas,4,60,57,3,58,55,3,25
Escobedo,0,0,0,0,0,0,0,5
Francisco I. Madero,17,542,396,146,456,311,145,34
Frontera,1,16,13,3,16,13,3,5
General Cepeda,9,43,43,0,31,31,0,36
Guerrero,2,7,6,1,6,6,0,2
Hidalgo,2,28,27,1,28,27,1,0
Jimenez,5,48,38,10,8,8,0,14
Juarez,1,4,4,0,4,4,0,3
Lamadrid,0,0,0,0,0,0,0,1
Matamoros,35,999,740,259,752,545,207,29
Monclova,1,10,10,0,10,10,0,7
Morelos,0,0,0,0,0,0,0,2
Muzquiz,6,64,49,15,40,28,12,9
Nadadores,1,8,8,0,8,8,0,8
Nava,3,67,54,13,67,54,13,2
Ocampo,8,40,39,1,15,14,1,36
Parras,16,160,150,10,133,124,9,59
Piedras Negras,2,300,199,101,0,0,0,3
Progreso,1,1,0,1,1,0,1,7
Ramos Arizpe,8,26,23,3,18,18,0,45
Sabinas,0,0,0,0,0,0,0,7
Sacramento,1,1,1,0,1,1,0,0
Saltillo,17,297,249,48,108,104,4,67
San Buenaventura,5,42,40,2,41,39,2,9
San Juan de Sabinas,2,11,9,2,11,9,2,6
