INEGI. IX Censo Ejidal 2007,,,,,
Ejidos y comunidades con avecindados segun sexo de los avencindados,,,,,cuadro 15
por entidad federativa y municipio,,,,,
,,,,,
,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_con_avecindados, avecindados_total, avecindados_hombres, avecindados_mujeres,ejidos_y_comunidades_sin_avecindados
Estados Unidos Mexicanos,17378,2447226,1423298,1023928,14136
Aguascalientes,152,20600,11637,8963,35
Aguascalientes,32,4366,2624,1742,9
Asientos,34,5815,2600,3215,0
Calvillo,4,408,228,180,4
Cosio,7,2466,1891,575,1
Jesus Maria,12,1028,843,185,2
Pabellon de Arteaga,8,1037,426,611,1
Rincon de Romos,10,460,355,105,3
San Jose de Gracia,3,2951,1401,1550,7
Tepezala ,10,183,159,24,5
El Llano,22,1291,720,571,2
San Francisco de los Romo,10,595,390,205,1
Baja California,96,88649,49504,39145,144
Ensenada,41,6678,3398,3280,56
Mexicali,40,54958,30152,24806,79
Tecate,10,3953,3422,531,3
Tijuana,2,11000,6500,4500,4
Playas de Rosarito,3,12060,6032,6028,2
Baja California Sur,76,12380,7352,5028,23
Comondu,16,1825,1090,735,2
Mulege,15,1928,1283,645,13
La Paz,30,3288,2221,1067,2
Los Cabos,13,5211,2675,2536,6
Loreto,2,128,83,45,0
Campeche,274,16167,9706,6461,111
Calkini,7,64,64,0,10
Campeche,26,414,320,94,9
Carmen,30,8510,4197,4313,17
Champoton,53,1640,1177,463,4
Hecelchakan,9,198,198,0,6
Hopelchen,17,442,376,66,23
Palizada,1,20,16,4,3
Tenabo,2,52,30,22,8
Escarcega,29,1382,827,555,9
Calakmul,59,1387,1179,208,6
Candelaria,41,2058,1322,736,16
Coahuila de Zaragoza,494,42637,24360,18277,381
Abasolo,1,2,0,2,3
Acuña,3,13,10,3,10
Allende,2,80,63,17,2
Arteaga,16,901,743,158,10
Candela,1,1,1,0,5
Castaños,16,143,132,11,7
Cuatro Cienegas,15,133,111,22,14
Escobedo,2,50,43,7,3
Francisco I. Madero,29,1777,1061,716,22
Frontera,3,113,80,33,3
General Cepeda,26,303,280,23,19
Guerrero,2,89,44,45,2
Hidalgo,1,100,50,50,1
Jimenez,16,1026,694,332,3
Juarez,0,0,0,0,4
Lamadrid,1,22,20,2,0
Matamoros,39,5655,2617,3038,25
Monclova,4,24,16,8,4
Morelos,1,81,46,35,1
Muzquiz,1,57,48,9,14
Nadadores,7,281,136,145,2
Nava,4,75,70,5,1
Ocampo,19,475,469,6,25
Parras,48,659,509,150,27
Piedras Negras,4,534,282,252,1
Progreso,6,68,50,18,2
Ramos Arizpe,28,307,270,37,25
Sabinas,6,374,373,1,1
Sacramento,0,0,0,0,1
Saltillo,57,1112,1007,105,27
San Buenaventura,9,140,127,13,5
San Juan de Sabinas,2,24,13,11,6
San Pedro,63,14976,7968,7008,48
Sierra Mojada,8,42,41,1,17
Torreon,18,8952,4608,4344,12
Viesca,22,3875,2257,1618,19
Villa Union,8,86,72,14,3
Zaragoza,6,87,49,38,7
Colima,117,72632,37397,35235,48
Armeria,9,4033,2142,1891,0
Colima,13,584,299,285,8
Comala,7,61,49,12,6
Coquimatlan,10,290,201,89,4
Cuauhtemoc,8,107,73,34,3
Ixtlahuacan,9,183,163,20,3
Manzanillo,38,63824,31549,32275,4
Minatitlan,5,215,185,30,6
Tecoman,12,3132,2640,492,13
