INEGI. IX Censo Ejidal 2007,,,,,,
Ejidos y comunidades con permanencia de la mayoria de los jovenes segun,,,,,,cuadro 16
actividad a la que se integran por entidad federativa y municipio,,,,,,
,,,,,,
,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_con_permanencia_de_la mayoria_de_los_jovenes,ejidos_y_comunidades_segun_actividad_a_la_que_se_integran_agropecuarias_o_forestales,ejidos_y_comunidades_segun_actividad_a_la_que_se_integran_comerciales,ejidos_y_comunidades_segun_actividad_a_la_que_se_integran_artesanales,ejidos_y_comunidades_segun_actividad_a_la_que_se_integran_otras,no_se_integran_a_las_actividades
Estados Unidos Mexicanos,18517,10386,105,66,261,7699
Aguascalientes,118,22,0,0,4,92
Aguascalientes,31,5,0,0,2,24
Asientos,22,6,0,0,0,16
Calvillo,2,1,0,0,0,1
Cosio,6,1,0,0,1,4
Jesus Maria,10,1,0,0,0,9
Pabellon de Arteaga,7,1,0,0,0,6
Rincon de Romos,9,1,0,0,0,8
San Jose de Gracia,4,1,0,0,0,3
Tepezala ,9,2,0,0,0,7
El Llano,11,0,0,0,1,10
San Francisco de los Romo,7,3,0,0,0,4
Baja California,173,33,2,1,4,133
Ensenada,67,21,1,0,3,42
Mexicali,87,10,0,0,1,76
Tecate,9,1,1,1,0,6
Tijuana,5,0,0,0,0,5
Playas de Rosarito,5,1,0,0,0,4
Baja California Sur,79,15,0,1,5,58
Comondu,8,3,0,0,1,4
Mulege,24,0,0,0,1,23
La Paz,28,9,0,0,2,17
Los Cabos,18,3,0,1,0,14
Loreto,1,0,0,0,1,0
Campeche,288,203,1,5,2,77
Calkini,12,5,0,1,0,6
Campeche,32,22,0,0,0,10
Carmen,33,23,0,0,0,10
Champoton,43,28,0,1,0,14
Hecelchakan,15,6,0,3,0,6
Hopelchen,37,27,1,0,1,8
Palizada,4,2,0,0,0,2
Tenabo,8,4,0,0,0,4
Escarcega,16,11,0,0,0,5
Calakmul,62,57,0,0,1,4
Candelaria,26,18,0,0,0,8
Coahuila de Zaragoza,709,281,0,0,7,421
Abasolo,4,0,0,0,0,4
Acuña,7,1,0,0,0,6
Allende,3,1,0,0,0,2
Arteaga,22,8,0,0,1,13
Candela,5,3,0,0,0,2
Castaños,19,10,0,0,0,9
Cuatro Cienegas,15,12,0,0,0,3
Escobedo,3,1,0,0,0,2
Francisco I. Madero,46,16,0,0,1,29
Frontera,5,1,0,0,0,4
General Cepeda,34,20,0,0,0,14
Guerrero,4,3,0,0,0,1
Hidalgo,2,1,0,0,0,1
Jimenez,17,0,0,0,0,17
Juarez,1,0,0,0,0,1
Lamadrid,1,1,0,0,0,0
Matamoros,64,21,0,0,1,42
Monclova,6,2,0,0,0,4
Morelos,2,0,0,0,0,2
Muzquiz,10,2,0,0,0,8
Nadadores,8,4,0,0,1,3
Nava,4,0,0,0,0,4
Ocampo,33,23,0,0,0,10
Parras,59,36,0,0,0,23
Piedras Negras,5,0,0,0,0,5
Progreso,5,3,0,0,0,2
Ramos Arizpe,38,18,0,0,1,19
Sabinas,7,2,0,0,0,5
Sacramento,1,0,0,0,0,1
Saltillo,66,36,0,0,1,29
San Buenaventura,8,3,0,0,0,5
San Juan de Sabinas,8,1,0,0,0,7
San Pedro,103,28,0,0,0,75
Sierra Mojada,13,5,0,0,0,8
Torreon,28,3,0,0,1,24
Viesca,34,13,0,0,0,21
Villa Union,9,2,0,0,0,7
Zaragoza,10,1,0,0,0,9
Colima,68,23,0,0,1,44
Armeria,6,1,0,0,0,5
Colima,1,1,0,0,0,0
Comala,9,4,0,0,0,5
Coquimatlan,3,1,0,0,0,2
Cuauhtemoc,10,6,0,0,0,4
Ixtlahuacan,1,1,0,0,0,0
Manzanillo,24,2,0,0,1,21
Minatitlan,2,2,0,0,0,0
Tecoman,10,4,0,0,0,6
Villa de alvarez,2,1,0,0,0,1
Chiapas,2323,1844,4,3,13,459
Acacoyagua,13,11,0,0,0,2
Acala,26,17,0,0,0,9
Acapetahua,7,5,0,0,0,2
Altamirano,26,23,0,0,1,2
Amatan,20,17,0,0,0,3
Amatenango de la Frontera,11,10,0,0,0,1
Amatenango del Valle,2,2,0,0,0,0
Angel Albino Corzo,11,8,0,0,0,3
Arriaga,16,15,0,0,0,1
Bejucal de Ocampo,1,1,0,0,0,0
Bella Vista,4,4,0,0,0,0
Berriozabal,16,12,0,0,0,4
Bochil,37,29,0,0,0,8
El Bosque,13,13,0,0,0,0
Cacahoatan,11,3,0,0,0,8
Catazaja,25,17,0,0,1,7
Cintalapa,60,44,0,0,0,16
Coapilla,8,7,0,0,0,1
Comitan de Dominguez,33,24,0,0,0,9
La Concordia,37,19,0,0,2,16
Copainala,14,10,0,0,0,4
Chalchihuitan,1,1,0,0,0,0
Chamula,3,2,0,0,0,1
Chanal,1,1,0,0,0,0
Chapultenango,5,2,0,0,0,3
Chenalho,10,9,0,0,0,1
Chiapa de Corzo,42,27,0,0,0,15
Chiapilla,1,1,0,0,0,0
Chicoasen,1,1,0,0,0,0
Chicomuselo,2,2,0,0,0,0
Chilon,21,19,0,0,0,2
Escuintla,26,21,0,0,0,5
Francisco Leon,2,1,0,0,0,1
Frontera Comalapa,26,25,0,0,0,1
Frontera Hidalgo,0,0,0,0,0,0
La Grandeza,1,1,0,0,0,0
Huehuetan,15,11,0,0,0,4
Huixtan,18,13,0,0,0,5
Huitiupan,42,38,0,0,0,4
Huixtla,15,12,0,0,0,3
La Independencia,27,24,0,0,0,3
Ixhuatan,6,5,0,0,0,1
Ixtacomitan,11,9,0,0,0,2
Ixtapa,31,28,1,0,0,2
Ixtapangajoya,4,3,0,0,0,1
Jiquipilas,57,50,0,0,0,7
Jitotol,22,19,0,0,0,3
Juarez,5,1,0,0,1,3
Larrainzar,3,3,0,0,0,0
La Libertad,3,1,0,0,0,2
