INEGI. IX Censo Ejidal 2007,,,,,
Ejidos y comunidades sin permanencia de la mayoria de los jovenes,,,,,cuadro 17
segun lugar de destino por entidad federativa y municipio,,,,,
,,,,,
,,,,,
,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_sin_permanencia_de_la_mayoria_de_los_jovenes,lugar_de_destino_dentro_del_pais_areas_urbanas,lugar_de_destino_dentro_del_pais_areas rurales,lugar_de_destino_fuera_del_pais_a_estados_unidos,lugar_de_destino_fuera_del_pais_a_otro_pais
Estados Unidos Mexicanos,12997,3369,806,8805,17
Aguascalientes,69,5,3,61,0
Aguascalientes,10,0,1,9,0
Asientos,12,2,0,10,0
Calvillo,6,0,1,5,0
Cosio,2,0,0,2,0
Jesus Maria,4,1,0,3,0
Pabellon de Arteaga,2,0,0,2,0
Rincon de Romos,4,0,1,3,0
San Jose de Gracia,6,1,0,5,0
Tepezala ,6,0,0,6,0
El Llano,13,1,0,12,0
San Francisco de los Romo,4,0,0,4,0
Baja California,67,43,2,22,0
Ensenada,30,16,2,12,0
Mexicali,32,24,0,8,0
Tecate,4,3,0,1,0
Tijuana,1,0,0,1,0
Playas de Rosarito,0,0,0,0,0
Baja California Sur,20,20,0,0,0
Comondu,10,10,0,0,0
Mulege,4,4,0,0,0
La Paz,4,4,0,0,0
Los Cabos,1,1,0,0,0
Loreto,1,1,0,0,0
Campeche,97,29,5,63,0
Calkini,5,5,0,0,0
Campeche,3,1,0,2,0
Carmen,14,2,2,10,0
Champoton,14,2,0,12,0
Hecelchakan,0,0,0,0,0
Hopelchen,3,2,1,0,0
Palizada,0,0,0,0,0
Tenabo,2,0,2,0,0
Escarcega,22,4,0,18,0
Calakmul,3,2,0,1,0
Candelaria,31,11,0,20,0
Coahuila de Zaragoza,166,123,9,33,1
Abasolo,0,0,0,0,0
Acuña,6,5,0,1,0
Allende,1,0,0,1,0
Arteaga,4,4,0,0,0
Candela,1,1,0,0,0
Castaños,4,3,0,1,0
Cuatro Cienegas,14,12,1,1,0
Escobedo,2,0,0,2,0
Francisco I. Madero,5,4,0,1,0
Frontera,1,1,0,0,0
General Cepeda,11,7,4,0,0
Guerrero,0,0,0,0,0
Hidalgo,0,0,0,0,0
Jimenez,2,1,0,1,0
Juarez,3,0,0,3,0
Lamadrid,0,0,0,0,0
Matamoros,0,0,0,0,0
Monclova,2,2,0,0,0
Morelos,0,0,0,0,0
Muzquiz,5,3,0,2,0
Nadadores,1,0,0,1,0
Nava,1,0,0,1,0
Ocampo,11,9,1,1,0
Parras,16,14,0,2,0
Piedras Negras,0,0,0,0,0
Progreso,3,0,0,3,0
Ramos Arizpe,15,15,0,0,0
Sabinas,0,0,0,0,0
Sacramento,0,0,0,0,0
Saltillo,18,17,0,1,0
San Buenaventura,6,2,0,4,0
San Juan de Sabinas,0,0,0,0,0
San Pedro,8,6,1,1,0
Sierra Mojada,12,11,0,1,0
Torreon,2,2,0,0,0
Viesca,7,4,2,1,0
Villa Union,2,0,0,2,0
Zaragoza,3,0,0,2,1
Colima,97,13,2,82,0
Armeria,3,0,0,3,0
Colima,20,4,0,16,0
Comala,4,0,1,3,0
Coquimatlan,11,1,0,10,0
Cuauhtemoc,1,1,0,0,0
Ixtlahuacan,11,0,0,11,0
Manzanillo,18,2,0,16,0
Minatitlan,9,1,0,8,0
Tecoman,15,4,1,10,0
Villa de alvarez,5,0,0,5,0
Chiapas,500,141,77,282,0
Acacoyagua,5,2,1,2,0
Acala,2,1,0,1,0
Acapetahua,15,2,8,5,0
Altamirano,0,0,0,0,0
Amatan,2,1,0,1,0
Amatenango de la Frontera,2,0,0,2,0
Amatenango del Valle,0,0,0,0,0
Angel Albino Corzo,4,2,0,2,0
Arriaga,8,5,1,2,0
Bejucal de Ocampo,2,0,0,2,0
Bella Vista,5,1,0,4,0
Berriozabal,0,0,0,0,0
Bochil,1,1,0,0,0
El Bosque,0,0,0,0,0
Cacahoatan,10,1,1,8,0
Catazaja,3,1,1,1,0
Cintalapa,21,6,6,9,0
Coapilla,1,0,0,1,0
Comitan de Dominguez,1,0,0,1,0
La Concordia,6,0,0,6,0
Copainala,1,0,0,1,0
Chalchihuitan,0,0,0,0,0
Chamula,2,0,0,2,0
Chanal,0,0,0,0,0
Chapultenango,4,0,3,1,0
Chenalho,0,0,0,0,0
Chiapa de Corzo,2,0,0,2,0
Chiapilla,1,1,0,0,0
Chicoasen,0,0,0,0,0
Chicomuselo,30,0,0,30,0
Chilon,4,4,0,0,0
Escuintla,9,1,2,6,0
Francisco Leon,4,1,0,3,0
Frontera Comalapa,12,0,0,12,0
Frontera Hidalgo,2,2,0,0,0
La Grandeza,2,0,0,2,0
Huehuetan,4,2,0,2,0
Huixtan,1,1,0,0,0
Huitiupan,8,2,3,3,0
Huixtla,5,0,3,2,0
La Independencia,5,2,0,3,0
Ixhuatan,0,0,0,0,0
Ixtacomitan,1,0,1,0,0
Ixtapa,1,1,0,0,0
Ixtapangajoya,0,0,0,0,0
Jiquipilas,7,3,1,3,0
Jitotol,0,0,0,0,0
Juarez,1,1,0,0,0
Larrainzar,0,0,0,0,0
La Libertad,1,1,0,0,0
Mapastepec,15,0,5,10,0
Las Margaritas,10,2,2,6,0
Mazapa de Madero,1,0,0,1,0
Mazatan,9,7,1,1,0
Metapa,0,0,0,0,0
Mitontic,0,0,0,0,0
Motozintla,8,2,0,6,0
Ocosingo,26,10,1,15,0
Ocotepec,1,0,1,0,0
Ocozocoautla de Espinosa,4,1,1,2,0
Ostuacan,13,4,4,5,0
Osumacinta,0,0,0,0,0
Oxchuc,0,0,0,0,0
Palenque,23,10,7,6,0
Pantelho,0,0,0,0,0
Pantepec,0,0,0,0,0
Pichucalco,5,1,3,1,0
Pijijiapan,24,2,4,18,0
El Porvenir,0,0,0,0,0
Villa Comaltitlan,16,2,0,14,0
Pueblo Nuevo Solistahuacan,1,1,0,0,0
Rayon,0,0,0,0,0
Reforma,3,1,1,1,0
Las Rosas,0,0,0,0,0
Sabanilla,3,0,2,1,0
Salto de Agua,13,13,0,0,0
San Cristobal de las Casas,2,0,0,2,0
San Fernando,2,1,0,1,0
Siltepec,2,0,0,2,0
Simojovel,0,0,0,0,0
Sitala,3,3,0,0,0
Socoltenango,10,2,1,7,0
Solosuchiapa,2,2,0,0,0
Soyalo,0,0,0,0,0
Suchiapa,0,0,0,0,0
Suchiate,3,0,0,3,0
Sunuapa,0,0,0,0,0
Tapachula,18,7,3,8,0
Tapalapa,1,0,1,0,0
Tapilula,0,0,0,0,0
