INEGI. IX Censo Ejidal 2007,,,,,,,,,,,,,,,
Total de ejidos y comunidades segun tipo de actividad agropecuaria o forestal,,,,,,,,,,,,,,,CUADRO 18
y forma de explotacion por entidad federativa y municipio,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
entidada_federativa_y _municipio,ejidos_y_comunidades,actividad_agropecuaria_o_forestal_a_total_de_ejidos_y_comunidades_con_actividad_agropecuaria_o_forestal,actividad_agropecuaria_o_forestal_a_agricola_total,actividad_agropecuaria_o_forestal_a_agricola_realizada_por_la_mayoria,actividad_agropecuaria_o_forestal_a_agricola_en_forma_colectiva,actividad_agropecuaria_o_forestal_a_ganadera_total,actividad_agropecuaria_o_forestal_a_ganadera_realizada_por_la_mayoria,actividad_agropecuaria_o_forestal_a_ganadera_en_forma_colectiva,actividad_agropecuaria_o_forestal_a_forestal_total,actividad_agropecuaria_o_forestal_a_forestal_realizada_por_la_mayoria,actividad_agropecuaria_o_forestal_a_forestal_en_forma_colectiva,actividad_agropecuaria_o_forestal_a_recoleccion_total,actividad_agropecuaria_o_forestal_a_realizada_por_la_mayoria,actividad_agropecuaria_o_forestal_a_en_forma_colectiva,sin actividades_de_este_tipo
Estados Unidos Mexicanos,31514,31283,29332,24404,1734,25761,12288,980,3014,2207,1501,6782,4405,792,231
Aguascalientes,187,186,182,173,10,181,112,6,2,1,1,17,12,1,1
Aguascalientes,41,40,40,38,2,39,22,1,0,0,0,1,1,1,1
Asientos,34,34,34,34,1,33,17,3,0,0,0,2,0,0,0
Calvillo,8,8,8,7,0,8,6,0,0,0,0,4,3,0,0
Cosio,8,8,8,8,0,8,6,0,0,0,0,0,0,0,0
Jesus Maria,14,14,12,9,1,11,7,0,1,1,1,3,2,0,0
Pabellon de Arteaga,9,9,9,9,1,9,5,0,0,0,0,5,4,0,0
Rincon de Romos,13,13,13,12,0,13,5,0,1,0,0,0,0,0,0
San Jose de Gracia,10,10,8,6,0,10,9,0,0,0,0,1,1,0,0
Tepezala ,15,15,15,15,2,15,7,1,0,0,0,0,0,0,0
El Llano,24,24,24,24,2,24,21,0,0,0,0,0,0,0,0
San Francisco de los Romo,11,11,11,11,1,11,7,1,0,0,0,1,1,0,0
Baja California,240,217,170,81,18,176,29,7,8,3,3,34,12,6,23
Ensenada,97,96,67,33,10,92,22,5,6,3,2,21,8,5,1
Mexicali,119,101,93,44,7,65,5,2,1,0,0,12,4,1,18
Tecate,13,11,4,0,0,11,2,0,1,0,1,1,0,0,2
Tijuana,6,4,2,1,0,3,0,0,0,0,0,0,0,0,2
Playas de Rosarito,5,5,4,3,1,5,0,0,0,0,0,0,0,0,0
Baja California Sur,99,98,59,29,7,96,53,6,1,0,0,12,6,0,1
Comondu,C,C,13,9,2,18,11,2,0,0,0,0,0,0,C
Mulege,28,28,10,5,1,28,13,1,0,0,0,0,0,0,0
La Paz,32,31,21,9,3,29,16,3,0,0,0,8,6,0,1
Los Cabos,19,19,14,6,1,19,13,0,1,0,0,4,0,0,0
Loreto,C,C,1,0,0,2,0,0,0,0,0,0,0,0,C
Campeche,385,384,368,277,21,359,161,23,93,39,27,122,66,13,1
Calkini,17,17,17,17,2,14,8,3,3,3,1,5,3,2,0
Campeche,35,35,35,29,3,33,12,2,15,8,1,23,14,2,0
Carmen,47,46,34,23,2,46,40,5,0,0,0,9,7,2,1
Champoton,57,57,57,41,2,56,30,2,16,8,3,38,28,2,0
Hecelchakan,15,15,15,15,0,13,4,1,1,1,1,0,0,0,0
Hopelchen,40,40,39,35,8,33,14,5,12,11,8,7,4,2,0
Palizada,4,4,3,2,0,4,4,2,0,0,0,0,0,0,0
Tenabo,10,10,10,8,0,8,1,0,5,3,0,6,5,0,0
Escarcega,38,38,38,19,0,38,16,0,8,0,2,9,0,1,0
Calakmul,65,65,64,54,1,60,7,0,26,2,10,17,0,2,0
Candelaria,57,57,56,34,3,54,25,3,7,3,1,8,5,0,0
Coahuila de Zaragoza,875,864,796,618,60,776,382,39,17,10,8,317,181,48,11
Abasolo,C,C,4,3,0,3,2,0,0,0,0,1,1,0,C
Acuña,13,13,5,3,0,12,9,2,0,0,0,0,0,0,0
Allende,4,4,4,4,0,4,2,0,0,0,0,0,0,0,0
Arteaga,26,26,26,25,4,21,15,0,4,2,2,7,4,3,0
Candela,6,6,5,5,0,6,4,1,0,0,0,0,0,0,0
Castaños,23,23,22,19,2,23,19,1,0,0,0,10,6,1,0
Cuatro Cienegas,29,28,25,17,1,27,11,1,1,1,1,20,12,2,1
Escobedo,5,5,5,3,0,5,4,0,0,0,0,1,0,0,0
Francisco I. Madero,51,48,41,18,4,41,9,3,0,0,0,18,9,2,3
Frontera,6,6,6,5,0,6,1,0,1,0,0,1,1,0,0
General Cepeda,45,45,45,43,5,43,25,1,2,1,1,14,7,1,0
Guerrero,4,4,4,3,1,4,3,0,0,0,0,0,0,0,0
Hidalgo,C,C,2,1,0,2,1,0,0,0,0,0,0,0,C
Jimenez,19,19,19,17,1,19,19,0,0,0,0,2,2,1,0
Juarez,4,4,3,3,0,4,4,0,0,0,0,0,0,0,0
Lamadrid,C,C,1,1,0,1,0,0,0,0,0,0,0,0,C
Matamoros,64,64,62,44,6,43,6,3,0,0,0,18,14,1,0
Monclova,8,7,6,3,1,7,3,2,0,0,0,1,0,0,1
Morelos,C,C,2,2,0,2,1,0,0,0,0,0,0,0,C
Muzquiz,15,15,12,9,1,15,10,3,0,0,0,0,0,0,0
Nadadores,9,9,8,8,0,9,8,0,0,0,0,1,1,0,0
Nava,5,5,5,5,0,5,4,0,0,0,0,1,1,0,0
Ocampo,44,44,37,18,0,43,34,2,0,0,0,34,22,2,0
Parras,75,75,72,60,1,72,14,1,4,2,2,52,29,6,0
Piedras Negras,5,5,5,3,0,5,2,0,0,0,0,0,0,0,0
Progreso,8,8,8,8,0,8,6,0,0,0,0,6,6,0,0
Ramos Arizpe,53,53,53,49,0,52,31,1,0,0,0,20,17,9,0
Sabinas,7,7,7,7,0,7,6,0,0,0,0,0,0,0,0
Sacramento,C,C,1,0,0,1,1,0,0,0,0,0,0,0,C
Saltillo,84,84,82,77,6,84,56,3,4,3,2,39,24,4,0
San Buenaventura,14,14,13,12,0,14,13,0,0,0,0,2,1,0,0
San Juan de Sabinas,8,8,8,7,0,7,2,0,0,0,0,0,0,0,0
San Pedro,111,110,100,68,8,81,10,2,0,0,0,44,9,3,1
Sierra Mojada,25,24,18,11,2,22,13,4,0,0,0,4,2,3,1
Torreon,30,26,21,11,5,22,5,3,1,1,0,8,3,4,4
Viesca,41,41,37,28,12,32,9,5,0,0,0,12,10,6,0
Villa Union,11,11,11,9,0,11,9,0,0,0,0,1,0,0,0
Zaragoza,13,13,11,9,0,13,11,1,0,0,0,0,0,0,0
Colima,165,164,160,133,2,162,91,0,16,9,1,38,22,1,1
Armeria,9,9,9,9,0,9,2,0,2,0,0,6,3,0,0
Colima,21,21,21,17,0,21,15,0,0,0,0,4,2,0,0
Comala,13,13,13,12,0,13,9,0,3,3,0,3,2,0,0
Coquimatlan,14,14,14,12,0,14,10,0,0,0,0,0,0,0,0
Cuauhtemoc,11,11,11,9,0,11,5,0,1,0,0,0,0,0,0
Ixtlahuacan,12,12,11,6,0,12,6,0,0,0,0,0,0,0,0
Manzanillo,42,41,39,33,0,41,23,0,4,4,0,7,6,1,1
Minatitlan,11,11,11,11,0,10,10,0,1,1,1,7,7,0,0
Tecoman,25,25,24,17,2,24,6,0,4,1,0,8,1,0,0
Villa de alvarez,7,7,7,7,0,7,5,0,1,0,0,3,1,0,0
Chiapas,2823,2822,2730,2401,93,2054,984,78,267,207,120,612,483,61,1
Acacoyagua,18,18,18,18,0,12,5,0,2,1,0,7,6,1,0
Acala,28,28,28,26,3,18,2,1,0,0,0,14,4,0,0
Acapetahua,22,22,21,21,0,20,9,0,0,0,0,0,0,0,0
Altamirano,26,26,25,24,0,23,21,0,11,10,5,2,1,0,0
Amatan,22,22,22,22,0,18,6,0,2,2,0,1,1,0,0
Amatenango de la Frontera,13,13,13,12,0,9,4,0,5,5,3,4,3,1,0
Amatenango del Valle,C,C,2,2,1,0,0,0,0,0,0,2,1,0,C
Angel Albino Corzo,15,15,15,15,0,7,3,0,1,1,0,6,4,1,0
Arriaga,24,24,21,15,2,23,21,3,0,0,0,6,0,0,0
Bejucal de Ocampo,C,C,3,3,0,0,0,0,0,0,0,3,3,0,C
Bella Vista,9,9,9,9,0,3,0,0,0,0,0,0,0,0,0
Berriozabal,16,16,16,16,1,15,9,1,2,1,0,2,0,0,0
Bochil,38,38,38,34,1,35,13,0,3,3,1,2,2,1,0
El Bosque,13,13,13,13,1,9,1,0,0,0,0,10,10,0,0
Cacahoatan,21,21,21,21,2,5,0,0,1,1,0,11,9,0,0
Catazaja,28,28,27,25,0,24,12,1,0,0,0,3,3,1,0
Cintalapa,81,81,77,62,5,68,48,7,14,12,9,10,8,5,0
Coapilla,9,9,9,9,0,9,4,0,1,0,0,1,0,0,0
Comitan de Dominguez,34,34,34,33,1,23,8,0,10,7,3,2,2,0,0
La Concordia,43,43,42,37,2,28,17,4,4,3,2,1,1,1,0
Copainala,15,15,15,15,1,13,11,1,1,0,0,2,2,0,0
Chalchihuitan,C,C,1,1,0,1,0,0,0,0,0,0,0,0,C
Chamula,5,5,5,5,0,4,2,0,1,1,0,1,1,0,0
Chanal,C,C,1,1,0,1,0,0,0,0,0,0,0,0,C
Chapultenango,9,9,8,6,0,9,8,0,0,0,0,2,2,0,0
Chenalho,10,10,10,9,0,7,0,0,2,0,0,5,2,0,0
Chiapa de Corzo,44,44,44,41,5,22,10,4,8,6,3,15,13,2,0
Chiapilla,C,C,2,1,0,1,0,0,0,0,0,0,0,0,C
Chicoasen,C,C,1,1,0,1,1,0,0,0,0,0,0,0,C
Chicomuselo,32,32,31,27,0,9,4,0,0,0,0,3,3,3,0
Chilon,25,25,25,24,0,14,1,0,0,0,0,5,5,0,0
Escuintla,35,35,35,35,4,29,17,1,2,1,0,15,14,0,0
Francisco Leon,6,6,6,0,0,6,6,0,0,0,0,1,1,1,0
Frontera Comalapa,38,38,37,36,0,37,27,1,5,5,5,3,2,1,0
Frontera Hidalgo,C,C,1,1,0,2,0,0,0,0,0,0,0,0,C
La Grandeza,3,3,3,3,0,1,0,0,0,0,0,1,1,0,0
Huehuetan,19,19,19,18,1,12,3,0,0,0,0,1,0,0,0
Huixtan,19,19,19,17,1,10,4,0,8,7,5,9,6,4,0
Huitiupan,50,50,50,47,0,39,31,1,0,0,0,2,2,0,0
Huixtla,20,20,20,17,1,15,3,2,0,0,0,13,12,4,0
La Independencia,32,32,31,30,1,24,0,1,1,1,1,1,0,0,0
Ixhuatan,6,6,6,6,0,6,4,0,0,0,0,6,5,1,0
Ixtacomitan,12,12,12,11,0,11,6,1,0,0,0,9,8,0,0
Ixtapa,32,32,32,30,0,27,17,2,6,5,5,3,2,1,0
Ixtapangajoya,4,4,4,4,0,3,1,0,0,0,0,4,4,0,0
Jiquipilas,64,64,61,59,1,48,37,1,4,1,1,13,13,0,0
Jitotol,22,22,22,19,0,13,0,0,1,1,0,7,3,0,0
Juarez,6,6,6,0,0,6,4,0,0,0,0,1,0,0,0
Larrainzar,3,3,3,3,0,3,0,0,0,0,0,0,0,0,0
La Libertad,4,4,4,3,0,4,1,0,0,0,0,0,0,0,0
Mapastepec,56,56,47,34,1,44,29,1,1,1,1,1,1,1,0
Las Margaritas,145,145,141,126,4,118,39,4,50,36,25,41,26,5,0
Mazapa de Madero,4,4,4,1,0,1,0,0,1,1,1,2,0,0,0
Mazatan,18,18,17,15,1,17,3,0,0,0,0,6,4,0,0
Metapa,C,C,1,1,1,1,0,0,0,0,0,0,0,0,C
Mitontic,C,C,1,1,0,1,0,0,1,0,0,0,0,0,C
Motozintla,43,43,42,25,0,12,1,0,9,8,7,22,22,5,0
Ocosingo,159,159,148,130,8,109,43,3,17,16,9,13,9,0,0
Ocotepec,C,C,1,1,0,1,0,0,0,0,0,0,0,0,C
Ocozocoautla de Espinosa,74,74,72,58,3,60,36,0,4,4,0,8,7,1,0
Ostuacan,29,29,25,11,2,28,24,2,0,0,0,0,0,0,0
Osumacinta,3,3,3,3,0,3,0,0,2,2,0,1,0,0,0
Oxchuc,3,3,3,3,0,3,3,0,1,1,1,3,3,3,0
Palenque,163,163,156,133,2,109,47,3,2,2,0,6,1,0,0
Pantelho,9,9,9,8,1,5,0,0,0,0,0,1,0,0,0
Pantepec,6,6,6,6,0,6,4,0,2,1,0,0,0,0,0
Pichucalco,9,9,9,6,1,7,6,0,0,0,0,2,2,0,0
