INEGI. IX Censo Ejidal 2007,,,,,,,,,,,
Total de ejidos y comunidades segun tipo de actividad no agropecuaria ni forestal,,,,,,,,,,,cuadro 19
por entidad federativa y municipio,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades,ejidos_y_comunidades_con_actividades_no_agropecuarias_ni_forestales_a_total,ejidos_y_comunidades_con_actividades_no_agropecuarias_ni_forestales_a_extraccion_de_materiales_de_construccion,ejidos_y_comunidades_con_actividades_no_agropecuarias_ni_forestales_a_extraccion_de_otros_minerales,ejidos_y_comunidades_con_actividades_no_agropecuarias_ni_forestales_a_pesquera,ejidos_y_comunidades_con_actividades_no_agropecuarias_ni_forestales_a_artesanal,ejidos_y_comunidades_con_actividades_no_agropecuarias_ni_forestales_a_industrial,ejidos_y_comunidades_con_actividades_no_agropecuarias_ni_forestales_a_turistica,ejidos_y_comunidades_con_actividades_no_agropecuarias_ni_forestales_a_acuicola,ejidos_y_comunidades_con_actividades_no_agropecuarias_ni_forestales_a_otras_actividades,sin_actividades_de_este_tipo
Estados Unidos Mexicanos,31514,6995,2668,305,1741,1708,811,869,1189,212,24519
Aguascalientes,187,52,29,2,8,0,8,9,3,5,135
Aguascalientes,41,17,4,0,4,0,4,3,0,5,24
Asientos,34,13,11,2,0,0,1,1,0,0,21
Calvillo,8,0,0,0,0,0,0,0,0,0,8
Cosio,8,1,1,0,0,0,0,0,0,0,7
Jesus Maria,14,5,3,0,1,0,1,0,1,0,9
Pabellon De Arteaga,9,3,2,0,1,0,0,1,0,0,6
Rincon De Romos,13,4,3,0,0,0,0,1,0,0,9
San Jose De Gracia,10,3,0,0,2,0,1,3,2,0,7
Tepezala ,15,1,1,0,0,0,0,0,0,0,14
El Llano,24,1,0,0,0,0,1,0,0,0,23
San Francisco De los Romo,11,4,4,0,0,0,0,0,0,0,7
Baja California,240,74,38,5,17,10,15,29,6,7,166
Ensenada,97,42,21,2,15,6,5,21,2,4,55
Mexicali,119,22,12,2,2,1,6,2,4,2,97
Tecate,13,6,4,1,0,3,3,3,0,1,7
Tijuana,6,1,0,0,0,0,1,0,0,0,5
Playas De Rosarito,5,3,1,0,0,0,0,3,0,0,2
Baja California Sur,99,54,10,1,30,9,4,21,3,6,45
Comondu,C,C,1,0,5,1,1,1,1,2,C
Mulege,28,21,3,1,16,0,1,6,2,1,7
La Paz,32,17,1,0,7,6,1,8,0,3,15
Los Cabos,19,7,4,0,1,2,1,4,0,0,12
Loreto,C,C,1,0,1,0,0,2,0,0,C
Campeche,385,115,25,3,41,43,13,14,22,1,270
Calkini,17,11,2,0,2,11,0,1,0,0,6
Campeche,35,12,4,0,2,4,2,2,1,0,23
Carmen,47,24,4,0,14,5,1,0,11,1,23
Champoton,57,20,4,0,12,6,6,1,6,0,37
Hecelchakan,15,1,0,0,0,1,0,0,0,0,14
Hopelchen,40,16,2,2,1,10,0,4,0,0,24
Palizada,4,3,0,0,3,0,0,1,2,0,1
Tenabo,10,2,1,0,0,2,0,0,0,0,8
Escarcega,38,8,2,0,4,0,1,0,1,0,30
Calakmul,65,12,4,1,0,4,2,5,0,0,53
Candelaria,57,6,2,0,3,0,1,0,1,0,51
Coahuila De Zaragoza,875,145,68,21,9,8,26,20,22,4,730
Abasolo,C,C,0,0,0,0,0,0,0,0,C
Acuña,13,6,5,1,1,0,1,1,1,0,7
Allende,4,2,2,0,0,0,0,0,0,0,2
Arteaga,26,6,2,0,0,1,1,6,0,0,20
Candela,6,1,0,1,0,0,0,0,0,0,5
Castaños,23,3,2,2,0,0,0,1,0,0,20
Cuatro Cienegas,29,10,4,1,0,2,0,6,3,0,19
Escobedo,5,1,1,0,0,0,0,0,0,0,4
Francisco I. Madero,51,6,0,0,0,0,4,1,0,1,45
Frontera,6,4,2,0,0,0,1,0,2,0,2
General Cepeda,45,0,0,0,0,0,0,0,0,0,45
Guerrero,4,4,1,0,0,0,0,0,3,0,0
Hidalgo,C,C,0,0,0,0,0,0,0,0,C
Jimenez,19,3,3,0,0,0,0,0,0,0,16
Juarez,4,4,0,0,0,0,0,0,4,0,0
Lamadrid,C,C,1,0,0,0,0,0,0,0,C
Matamoros,64,7,3,1,0,2,3,0,0,0,57
Monclova,8,4,2,1,0,0,1,0,1,0,4
Morelos,C,C,0,0,0,0,0,0,0,0,C
Muzquiz,15,4,0,2,0,2,0,0,0,1,11
Nadadores,9,0,0,0,0,0,0,0,0,0,9
Nava,5,1,1,0,0,0,0,0,0,0,4
Ocampo,44,2,2,0,0,0,0,0,0,0,42
Parras,75,14,12,1,1,0,1,1,1,0,61
Piedras Negras,5,1,1,0,0,0,0,0,0,0,4
Progreso,8,3,1,0,1,0,0,0,0,1,5
Ramos Arizpe,53,4,1,0,3,0,0,0,1,0,49
Sabinas,7,3,2,3,0,0,1,1,2,0,4
Sacramento,C,C,0,0,0,0,0,0,0,0,C
Saltillo,84,13,7,1,2,0,1,1,2,0,71
San Buenaventura,14,5,1,3,0,0,1,0,0,0,9
San Juan De Sabinas,8,2,0,1,0,0,1,0,0,0,6
San Pedro,111,13,4,0,0,0,8,0,1,0,98
Sierra Mojada,25,2,1,2,0,0,0,0,0,0,23
Torreon,30,5,3,1,0,0,1,0,0,0,25
Viesca,41,7,2,0,1,1,0,1,1,1,34
Villa Union,11,0,0,0,0,0,0,0,0,0,11
Zaragoza,13,4,2,0,0,0,1,1,0,0,9
Colima,165,52,20,1,13,10,5,11,10,0,113
Armeria,9,2,1,0,0,1,0,0,0,0,7
