INEGI. IX Censo Ejidal 2007,,,,,,,,
Ejidos y comunidades que realizan actividades no agropecuarias ni forestales en forma colectiva,,,,,,,,cuadro 20
segun tipo de actividad por entidad federativa y municipio,,,,,,,,
,,,,,,,,
,,,,,,,,
entidad_federativa_y_municipio,actividades_no_agropecuarias_ni_forestales_ industriales,actividades_no_agropecuarias_ni_forestales_artesanales,actividades_no_agropecuarias_ni_forestales_extraccion_de_materiales _para _la_construccion,actividades_no_agropecuarias_ni_forestales_extraccion_de _otros _minerales,actividades_no_agropecuarias_ni_forestales_pesqueras,actividades_no_agropecuarias_ni_forestales_acuicultura,actividades_no_agropecuarias_ni_forestales_turisticas,actividades_no_agropecuarias_ni_forestales_otras
Estados Unidos Mexicanos,374,741,1381,162,860,617,509,125
Aguascalientes,1,0,16,1,5,3,9,1
Aguascalientes,0,0,0,0,3,0,3,1
Asientos,0,0,8,1,0,0,1,0
Jesus Maria,0,0,3,0,1,1,0,0
Pabellon de Arteaga,0,0,1,0,0,0,1,0
Rincon de Romos,0,0,1,0,0,0,1,0
San Jose de Gracia,1,0,0,0,1,2,3,0
Tepezala ,0,0,1,0,0,0,0,0
San Francisco de los Romo,0,0,2,0,0,0,0,0
Baja California,8,6,19,3,6,2,9,4
Ensenada,2,4,8,1,5,1,5,2
Mexicali,4,1,10,1,1,1,2,2
Tecate,2,1,1,1,0,0,1,0
Playas de Rosarito,0,0,0,0,0,0,1,0
Baja California Sur,3,5,7,0,11,2,12,6
Comondu,0,0,1,0,2,1,0,2
Mulege,1,0,2,0,5,1,3,1
La Paz,1,4,0,0,4,0,5,3
Los Cabos,1,1,4,0,0,0,4,0
Campeche,5,13,8,0,22,17,6,1
Campeche,1,1,0,0,1,0,1,0
Carmen,0,4,2,0,8,10,0,1
Champoton,1,1,0,0,4,4,1,0
Hecelchakan,0,1,0,0,0,0,0,0
Hopelchen,0,4,1,0,0,0,2,0
Palizada,0,0,0,0,3,2,1,0
Escarcega,1,0,1,0,4,1,0,0
Calakmul,2,2,4,0,0,0,1,0
Candelaria,0,0,0,0,2,0,0,0
Coahuila de Zaragoza,19,4,36,11,4,15,16,4
Acuña,1,0,4,0,1,1,1,0
Allende,0,0,1,0,0,0,0,0
Arteaga,1,0,0,0,0,0,3,0
Castaños,0,0,1,1,0,0,1,0
Cuatro Cienegas,0,2,4,1,0,3,6,0
Francisco I. Madero,3,0,0,0,0,0,1,1
Frontera,0,0,1,0,0,0,0,0
Guerrero,0,0,1,0,0,2,0,0
Jimenez,0,0,1,0,0,0,0,0
Juarez,0,0,0,0,0,2,0,0
Matamoros,1,1,1,0,0,0,0,0
Monclova,0,0,1,0,0,1,0,0
Muzquiz,0,1,0,0,0,0,0,1
Ocampo,0,0,1,0,0,0,0,0
Parras,1,0,10,1,0,1,1,0
Progreso,0,0,0,0,0,0,0,1
Ramos Arizpe,0,0,0,0,3,1,0,0
Sabinas,1,0,0,1,0,0,1,0
Saltillo,1,0,2,1,0,2,1,0
San Buenaventura,1,0,0,3,0,0,0,0
San Juan de Sabinas,1,0,0,1,0,0,0,0
San Pedro,6,0,2,0,0,1,0,0
Sierra Mojada,0,0,1,1,0,0,0,0
Torreon,1,0,3,1,0,0,0,0
Viesca,0,0,0,0,0,1,1,1
Zaragoza,1,0,2,0,0,0,0,0
Colima,3,2,5,0,6,3,6,0
Armeria,0,0,1,0,0,0,0,0
Colima,0,0,2,0,1,0,2,0
Comala,1,0,0,0,1,0,3,0
Cuauhtemoc,1,0,0,0,0,0,0,0
Ixtlahuacan,0,1,0,0,0,0,0,0
Manzanillo,0,0,0,0,3,0,1,0
Minatitlan,1,0,1,0,0,1,0,0
Tecoman,0,0,1,0,1,1,0,0
Villa de alvarez,0,1,0,0,0,1,0,0
Chiapas,10,96,113,2,88,27,34,7
Acacoyagua,0,0,1,0,0,0,0,0
Acala,0,0,0,0,1,0,0,0
Acapetahua,0,0,0,0,1,0,0,0
Altamirano,0,2,2,0,0,0,0,0
Amatan,0,0,2,0,1,0,0,0
Amatenango de la Frontera,0,0,0,0,0,1,0,0
Amatenango del Valle,0,1,1,0,0,0,0,0
Angel Albino Corzo,0,0,1,0,0,0,0,0
Arriaga,0,0,1,0,0,0,0,0
Bochil,0,11,1,0,0,0,0,0
El Bosque,0,4,1,0,0,0,0,0
Catazaja,0,0,0,0,11,2,0,0
Cintalapa,1,2,4,0,2,0,0,1
Coapilla,0,1,0,0,0,0,1,1
La Concordia,0,0,2,0,12,2,0,0
Copainala,0,0,1,0,0,0,0,0
Chamula,0,1,0,0,0,0,0,0
Chenalho,2,3,1,0,0,0,0,0
Chiapa de Corzo,0,3,1,0,1,0,2,0
Chicoasen,0,0,1,0,0,0,0,0
Chilon,0,2,1,0,0,0,0,0
Huehuetan,0,0,0,0,1,0,0,0
Huitiupan,0,0,1,0,1,0,0,0
Huixtla,2,0,0,0,4,2,1,0
La Independencia,0,2,3,0,3,0,1,0
Ixhuatan,1,2,2,0,0,0,1,0
Ixtacomitan,0,1,0,0,0,0,0,1
Ixtapa,0,7,2,0,0,0,0,0
Jiquipilas,0,1,4,0,0,3,0,0
La Libertad,0,0,1,0,0,0,0,0
Mapastepec,0,1,0,0,0,6,0,0
Las Margaritas,0,4,12,0,0,0,3,0
Mazatan,0,0,0,0,1,0,0,0
Motozintla,0,0,1,0,0,0,0,0
Ocosingo,0,7,2,0,2,0,6,0
Ocotepec,0,1,0,0,0,0,0,0
Ocozocoautla de Espinosa,0,3,3,0,0,0,4,0
Ostuacan,0,0,2,0,5,0,0,0
Osumacinta,0,1,1,0,0,0,1,0
Oxchuc,0,1,0,0,0,0,0,0
Palenque,0,1,3,0,2,0,2,0
Pantepec,0,1,0,1,0,0,0,0
Pichucalco,0,0,0,0,1,0,0,0
Pijijiapan,1,0,2,0,14,2,0,0
Villa Comaltitlan,1,0,2,0,0,0,0,0
Pueblo Nuevo Solistahuacan,0,3,0,0,0,0,0,0
Las Rosas,0,0,2,0,0,0,0,0
Salto de Agua,0,4,1,0,0,0,1,0
San Cristobal de las Casas,0,0,2,0,0,0,0,0
San Fernando,0,2,2,0,2,1,0,0
Siltepec,0,0,0,0,0,0,0,1
Simojovel,0,0,1,0,0,0,0,0
Socoltenango,0,0,0,0,0,0,1,0
Solosuchiapa,0,0,1,0,0,0,0,0
Soyalo,0,2,0,0,0,0,0,0
Suchiapa,0,1,1,0,0,0,0,0
Suchiate,0,0,0,0,1,0,0,0
Tapachula,0,0,2,0,1,1,0,0
Tapalapa,1,1,0,0,0,0,0,0
Tecpatan,0,0,0,0,5,1,0,0
Teopisca,0,0,1,0,0,0,0,0
Tila,0,0,3,0,0,0,0,0
Tonala,0,1,0,0,1,4,0,1
La Trinitaria,0,3,11,0,4,1,3,0
Tumbala,0,0,1,0,0,0,2,0
Tuxtla Gutierrez,1,2,1,0,0,0,0,0
Tuzantan,0,0,2,0,0,1,0,0
Tzimol,0,0,1,0,1,0,1,0
Union Juarez,0,0,1,0,0,0,1,0
Venustiano Carranza,0,2,2,0,3,0,0,0
Villa Corzo,0,0,6,0,6,0,1,2
Villaflores,0,7,4,0,0,0,0,0
Zinacantan,0,3,0,0,0,0,0,0
San Juan Cancuc,0,1,0,0,0,0,0,0
Maravilla Tenejapa,0,1,2,0,0,0,1,0
Marques de Comillas,0,0,4,0,1,0,1,0
San Andres Duraznal,0,0,0,1,0,0,0,0
Chihuahua,13,17,33,7,12,16,23,4
Ahumada,1,0,3,0,0,0,0,0
Aldama,0,0,1,1,2,0,0,0
Allende,0,0,2,0,0,0,0,0
Ascension,1,0,1,0,0,0,1,0
Balleza,0,0,0,0,0,1,1,0
Batopilas,0,1,0,0,0,0,0,0
Bocoyna,1,4,0,0,0,0,1,0
Carichi,0,1,0,0,1,0,1,0
Casas Grandes,1,1,0,0,0,0,1,0
Cuauhtemoc,0,0,2,0,0,0,0,0
Chihuahua,0,0,4,0,0,0,1,0
Chinipas,0,0,0,1,0,1,0,0
Delicias,1,0,0,0,0,0,0,0
Galeana,0,0,1,0,0,1,0,0
Santa Isabel,1,0,0,0,0,0,0,0
Gomez Farias,1,0,1,0,0,0,0,0
Gran Morelos,0,0,1,0,0,0,0,0
Guachochi,1,4,2,0,1,0,2,0
Guadalupe,0,0,1,1,0,1,0,0
Guadalupe y Calvo,2,2,0,0,1,2,1,0
Guazapares,0,1,0,0,0,1,0,0
Guerrero,0,0,1,0,0,0,0,0
Janos,0,0,1,0,0,1,1,0
Jimenez,0,0,1,0,0,0,1,2
Juarez,0,1,4,0,0,0,2,0
Lopez,0,0,1,0,0,0,0,0
Madera,1,0,1,0,1,4,4,2
Matachi,1,0,0,0,0,0,0,0
Matamoros,0,0,2,1,1,1,1,0
Morelos,0,1,0,0,0,0,0,0
Namiquipa,0,0,1,0,1,1,1,0
Ocampo,0,0,0,1,0,0,1,0
Ojinaga,0,0,1,2,0,0,0,0
Praxedis G. Guerrero,0,0,1,0,0,0,0,0
San Francisco de Borja,0,0,0,0,1,2,1,0
San Francisco de Conchos,1,0,0,0,1,0,0,0
Urique,0,0,0,0,1,0,2,0
Uruachi,0,1,0,0,0,0,0,0
Valle de Zaragoza,0,0,0,0,1,0,0,0
Distrito Federal,0,4,2,0,1,3,10,1
Cuajimalpa de Morelos,0,0,0,0,0,1,1,0
La Magdalena Contreras,0,0,0,0,1,0,2,0
Milpa Alta,0,1,1,0,0,0,2,0
Tlahuac,0,2,0,0,0,1,1,1
Tlalpan,0,1,1,0,0,1,4,0
Durango,58,16,42,19,24,25,21,5
Canatlan,0,1,3,0,1,0,0,1
Coneto de Comonfort,0,1,0,1,2,3,0,0
Cuencame,0,0,4,2,1,0,0,0
Durango,7,2,8,0,3,1,5,1
General Simon Bolivar,1,2,1,0,1,0,0,0
Guanacevi,9,0,0,0,0,0,0,1
Hidalgo,0,0,0,0,1,0,0,0
Inde,0,0,0,1,1,3,0,0
Lerdo,2,0,7,0,0,0,0,0
Mapimi,0,1,1,1,0,1,1,0
Mezquital,0,4,0,0,0,0,0,0
Nazas,1,0,3,0,0,1,0,0
Nombre de Dios,2,0,0,1,0,0,0,1
Ocampo,0,0,0,0,1,0,1,0
El Oro,0,0,1,0,1,1,0,0
Otaez,1,0,0,3,0,1,0,0
Panuco de Coronado,1,0,1,1,0,0,1,0
Peñon Blanco,0,0,0,0,0,0,1,0
Poanas,0,0,1,1,1,0,0,0
Pueblo Nuevo,16,3,3,0,2,1,6,0
Rodeo,0,1,1,0,1,3,0,0
San Dimas,9,1,0,2,0,2,1,1
San Juan del Rio,0,0,0,1,0,0,0,0
