INEGI. IX Censo Ejidal 2007,,,,,,,,,,,,,,,,,INEGI. IX Censo Ejidal 2007,,,,,,,,,
Ejidos y comunidades que realizan actividades no agropecuarias ni forestales en forma colectiva,,,,,,,,,,,,,,,cuadro 21,,Ejidos y comunidades que realizan actividades no agropecuarias ni forestales en forma colectiva,,,,,,,,,cuadro 21
segun ejidatarios participantes por entidad federativa y municipio,,,,,,,,,,,,,,,1ra. parte,,segun ejidatarios participantes por entidad federativa y municipio,,,,,,,,2da. parte y ultima,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Actividades_ no_agropecuarias_ni_forestales,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
entidad_federativa _y_municipio,ejidos_y_comunidades,actividades_no _agropecuarias _ni _forestales_industriales_ejidatarios participantes_total,actividades_no _agropecuarias _ni _forestales_industriales_ejidatarios participantes_mujeres,ejidos_y_comunidades,actividades_no _agropecuarias _ni _forestales_srtesanales_ejidatarios participantes_total,actividades_no _agropecuarias _ni _forestales_artesanales_ejidatarios participantes_mujeres,ejidos_y_comunidades,actividades_no _agropecuarias _ni _forestales_de_extraccion _de_materiales_para_la_construccion_ejidatarios participantes_total,actividades_no _agropecuarias _ni _forestales_de_extraccion _de_materiales_para_la_construccion_ejidatarios participantes_mujeres,ejidos_y_comunidades,actividades_no _agropecuarias _ni _forestales_de_extraccion_de_otros_minerales_ejidatarios participantes_total,actividades_no _agropecuarias _ni _forestales_de_extraccion_de_otros_mineralesejidatarios participantes_mujeres,ejidos_y_comunidades,actividades_no _agropecuarias _ni _forestales_pesqueras_ejidatarios participantes_total,actividades_no _agropecuarias _ni _forestales_pesqueras_ejidatarios participantes_mujeres,,entidad_federativa_y_municipio,ejidos_y_comunidades,actividades_no _agropecuarias _ni _forestales_turisticas_ejidatarios participantes_total,actividades_no _agropecuarias _ni _forestales_turisticas_ejidatarios participantes_mujeres,ejidos_y_comunidades,actividades_no _agropecuarias _ni _forestales_de_acuicultura_ejidatarios participantes_total,actividades_no _agropecuarias _ni _forestales_de_acuicultura_ejidatarios participantes_mujeres,ejidos_y_comunidades,actividades_no _agropecuarias _ni _forestales_otras_actividades_ejidatarios participantes_total,actividades_no _agropecuarias _ni _forestales_otras_actividades_ejidatarios participantes_mujeres
Estados Unidos Mexicanos,374,22921,4589,741,48581,27347,1381,98410,16998,162,7761,1500,860,29824,2704,,Estados Unidos Mexicanos,509,31637,8252,617,30446,5679,125,10459,2960
Aguascalientes,1,50,50,0,0,0,16,1177,245,1,65,5,5,70,0,,Aguascalientes,9,696,143,3,75,21,1,6,0
Aguascalientes,0,0,0,0,0,0,0,0,0,0,0,0,3,30,0,,Aguascalientes,3,101,31,0,0,0,1,6,0
Asientos,0,0,0,0,0,0,8,538,139,1,65,5,0,0,0,,Asientos,1,322,20,0,0,0,0,0,0
Jesus Maria,0,0,0,0,0,0,3,147,11,0,0,0,1,20,0,,Jesus Maria,0,0,0,1,25,15,0,0,0
Pabellon de Arteaga,0,0,0,0,0,0,1,164,40,0,0,0,0,0,0,,Pabellon de Arteaga,1,164,40,0,0,0,0,0,0
