INEGI. IX Censo Ejidal 2007,,,,,,,
Ejidos y comunidades con actividades turisticas segun mejoras realizadas,,,,,,,cuadro 22
por entidad federativa y municipio,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_con_actividades_turisticas,ejidos_y_comunidades_con_mejoras_realizadas_a_total,ejidos_y_comunidades_con_mejoras_realizadas_a_en_caminos_internos,ejidos_y_comunidades_con_mejoras_realizadas_a_en_lugares_para_hospedaje ,ejidos_y_comunidades_con_mejoras_realizadas_a_en_instalaciones_recreativas,ejidos_y_comunidades_con_mejoras_realizadas_a_en_instalaciones_deportivas,otras
Estados Unidos Mexicanos,869,506,355,80,290,155,99
Aguascalientes,9,6,5,2,6,3,1
Aguascalientes,3,2,2,1,2,1,0
Asientos,1,1,0,0,1,0,0
Pabellon de Arteaga,1,1,1,0,1,1,0
Rincon de Romos,1,0,0,0,0,0,0
San Jose de Gracia,3,2,2,1,2,1,1
Baja California,29,19,16,12,9,5,2
Ensenada,21,15,13,10,5,3,2
Mexicali,2,2,1,1,2,1,0
Tecate,3,1,1,0,1,0,0
Playas de Rosarito,3,1,1,1,1,1,0
Baja California Sur,21,11,9,3,8,6,5
Comondu,1,0,0,0,0,0,0
Mulege,6,1,1,0,1,0,0
La Paz,8,7,6,2,5,6,3
Los Cabos,4,3,2,1,2,0,2
Loreto,2,0,0,0,0,0,0
Campeche,14,11,7,2,5,2,1
Calkini,1,0,0,0,0,0,0
Campeche,2,2,1,1,1,1,0
Champoton,1,0,0,0,0,0,0
Hopelchen,4,3,1,0,3,0,0
Palizada,1,1,1,0,1,1,0
Calakmul,5,5,4,1,0,0,1
Coahuila de Zaragoza,20,10,8,0,6,1,2
Acuña,1,0,0,0,0,0,0
Arteaga,6,2,2,0,1,0,1
Castaños,1,1,1,0,1,0,0
Cuatro Cienegas,6,3,3,0,2,0,0
Francisco I. Madero,1,1,1,0,1,0,0
Parras,1,0,0,0,0,0,0
Sabinas,1,1,0,0,1,0,0
Saltillo,1,0,0,0,0,0,0
Viesca,1,1,0,0,0,0,1
Zaragoza,1,1,1,0,0,1,0
Colima,11,6,2,2,6,1,1
Colima,2,1,0,0,1,0,0
Comala,3,2,2,2,2,1,1
Coquimatlan,1,1,0,0,1,0,0
Manzanillo,4,1,0,0,1,0,0
Villa de alvarez,1,1,0,0,1,0,0
Chiapas,41,21,13,0,12,3,2
Coapilla,1,1,0,0,1,0,0
Chiapa de Corzo,3,0,0,0,0,0,0
Huixtla,1,0,0,0,0,0,0
La Independencia,2,1,1,0,0,0,0
Ixhuatan,1,1,1,0,1,1,0
Las Margaritas,3,2,1,0,1,1,0
Ocosingo,6,4,1,0,3,0,0
Ocozocoautla de Espinosa,4,2,1,0,1,0,0
Osumacinta,1,1,1,0,1,0,0
Palenque,5,1,1,0,1,0,1
Salto de Agua,1,1,1,0,1,0,0
Socoltenango,1,0,0,0,0,0,0
Tonala,2,2,1,0,1,0,0
La Trinitaria,3,2,2,0,1,0,0
Tumbala,2,0,0,0,0,0,0
Tzimol,1,1,1,0,0,1,0
Union Juarez,1,0,0,0,0,0,0
Villa Corzo,1,0,0,0,0,0,0
Maravilla Tenejapa,1,1,0,0,0,0,1
Marques de Comillas,1,1,1,0,0,0,0
Chihuahua,46,18,13,9,13,5,1
Aldama,2,1,1,0,1,0,0
Ascension,1,0,0,0,0,0,0
Balleza,1,0,0,0,0,0,0
Batopilas,1,0,0,0,0,0,0
Bocoyna,5,3,3,1,2,1,0
Carichi,1,0,0,0,0,0,0
Casas Grandes,3,0,0,0,0,0,0
Chihuahua,1,0,0,0,0,0,0
Gomez Farias,1,0,0,0,0,0,0
Guachochi,3,1,1,0,1,1,0
Guadalupe y Calvo,1,1,0,1,1,0,0
Janos,2,1,0,1,0,0,0
Jimenez,1,1,1,1,1,1,1
Juarez,4,2,2,1,2,2,0
Lopez,1,0,0,0,0,0,0
Madera,4,3,1,2,1,0,0
Manuel Benavides,1,0,0,0,0,0,0
Matamoros,1,0,0,0,0,0,0
Namiquipa,1,0,0,0,0,0,0
Ocampo,1,0,0,0,0,0,0
Ojinaga,1,1,1,1,1,0,0
San Francisco de Borja,1,1,1,0,1,0,0
San Francisco de Conchos,3,3,2,1,2,0,0
Urique,5,0,0,0,0,0,0
Distrito Federal,13,10,9,0,8,5,2
Cuajimalpa de Morelos,1,0,0,0,0,0,0
La Magdalena Contreras,3,3,3,0,3,1,1
Milpa Alta,2,2,1,0,1,0,1
Tlahuac,1,1,1,0,0,1,0
Tlalpan,6,4,4,0,4,3,0
Durango,29,18,12,0,12,9,4
Cuencame,1,1,1,0,0,0,0
Durango,7,5,3,0,3,2,2
Mapimi,2,0,0,0,0,0,0
Nombre de Dios,1,0,0,0,0,0,0
Ocampo,1,0,0,0,0,0,0
Panuco de Coronado,1,0,0,0,0,0,0
Peñon Blanco,1,1,1,0,1,0,0
Pueblo Nuevo,7,6,4,0,3,3,1
San Dimas,2,1,1,0,1,0,0
Santiago Papasquiaro,3,2,2,0,2,2,1
Tepehuanes,1,1,0,0,1,1,0
Tlahualilo,1,0,0,0,0,0,0
Topia,1,1,0,0,1,1,0
Guanajuato,13,10,5,8,7,3,3
Acambaro,1,1,0,1,1,1,1
Comonfort,1,1,0,1,1,0,0
Dolores Hidalgo Cuna de la Independencia Nal.,1,0,0,0,0,0,0
Guanajuato,2,2,1,1,0,0,1
Jerecuaro,1,1,1,0,0,0,0
Salvatierra,1,1,1,1,1,0,0
San Diego de la Union,1,0,0,0,0,0,0
San Luis de la Paz,2,1,0,1,1,1,0
Tarimoro,1,1,1,1,1,0,0
Valle de Santiago,1,1,0,1,1,0,1
Villagran,1,1,1,1,1,1,0
Guerrero,29,10,9,0,4,4,0
Acapulco de Juarez,5,0,0,0,0,0,0
Azoyu,1,0,0,0,0,0,0
Benito Juarez,1,0,0,0,0,0,0
Coyuca de Benitez,4,1,1,0,0,1,0
Chilpancingo de los Bravo,1,0,0,0,0,0,0
Florencio Villarreal,1,0,0,0,0,0,0
Iguala de la Independencia,1,1,1,0,0,0,0
Jose Azueta,1,1,1,0,0,0,0
Juan R. Escudero,1,0,0,0,0,0,0
Olinala ,1,1,1,0,1,1,0
Petatlan,2,0,0,0,0,0,0
Pilcaya,1,0,0,0,0,0,0
Tecpan de Galeana,2,0,0,0,0,0,0
Tlapa de Comonfort,2,1,1,0,1,1,0
La Union de Isidoro Montes de Oca,4,4,3,0,1,1,0
Marquelia,1,1,1,0,1,0,0
Hidalgo,43,30,17,2,18,4,10
Agua Blanca de Iturbide,1,0,0,0,0,0,0
Ajacuba,1,1,0,0,1,0,0
Alfajayucan,1,1,1,0,0,0,0
El Arenal,1,1,1,0,0,0,0
Atlapexco,1,0,0,0,0,0,0
Atotonilco el Grande,1,1,1,0,1,0,0
Cardonal,2,2,2,0,1,0,1
Cuautepec de Hinojosa,1,0,0,0,0,0,0
Epazoyucan,2,0,0,0,0,0,0
Huasca de Ocampo,5,2,1,0,1,0,1
Huejutla de Reyes,3,2,0,0,2,0,0
Huichapan,2,2,0,0,2,0,0
Ixmiquilpan,3,3,2,1,3,2,0
Mineral del Chico,1,1,0,0,1,0,1
Molango de Escamilla,1,1,0,0,0,0,1
Nicolas Flores,1,1,1,0,1,0,0
San Felipe Orizatlan,1,0,0,0,0,0,0
Pachuca de Soto,1,1,1,0,1,0,0
Santiago de Anaya,1,1,1,0,1,0,1
Singuilucan,1,1,1,0,1,1,0
Tecozautla,7,5,3,0,1,1,2
Tepeapulco,1,1,0,0,0,0,1
Tianguistengo,1,0,0,0,0,0,0
Tulancingo de Bravo,1,1,1,1,0,0,0
Zempoala,1,1,1,0,1,0,1
Zimapan,1,1,0,0,0,0,1
Jalisco,40,27,18,0,15,10,5
Ayotlan,1,0,0,0,0,0,0
Ayutla,2,1,0,0,0,0,1
Cabo Corrientes,2,1,0,0,1,0,0
Cihuatlan,1,0,0,0,0,0,0
Concepcion de Buenos Aires,1,1,1,0,0,0,0
Cuautla,1,0,0,0,0,0,0
Chapala,1,0,0,0,0,0,0
La Huerta,2,1,1,0,0,0,0
El Limon,2,2,2,0,2,1,1
Mazamitla,4,3,2,0,2,1,1
Mezquitic,1,0,0,0,0,0,0
Ojuelos de Jalisco,1,0,0,0,0,0,0
Pihuamo,2,2,2,0,0,1,0
Puerto Vallarta,2,1,0,0,1,0,0
Tala,1,1,0,0,1,0,0
