INEGI. IX Censo Ejidal 2007,,,,,,,,,,,,
Ejidos y comunidades segun tipo de construcciones agropecuarias y forestales de su propiedad,,,,,,,,,,,,cuadro 23
por entidad federativa y municipio,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades,ejidos_y_comunidades_con_construcciones_agropecuarias_y_forestales_de_su_propiedad_a_total,ejidos_y_comunidades_con_construcciones_agropecuarias_y_forestales_de_su_propiedad_a_bodegas,ejidos_y_comunidades_con_construcciones_agropecuarias_y_forestales_de_su_propiedad_a_naves_para_aves,ejidos_y_comunidades_con_construcciones_agropecuarias_y_forestales_de_su_propiedad_a_naves_para_cerdos,ejidos_y_comunidades_con_construcciones_agropecuarias_y_forestales_de_su_propiedad_a_bordos_para_riego_o_abrevadero,ejidos_y_comunidades_con_construcciones_agropecuarias_y_forestales_de_su_propiedad_a_pozo_para_riego,ejidos_y_comunidades_con_construcciones_agropecuarias_y_forestales_de_su_propiedad_a_baño_garrapaticida,ejidos_y_comunidades_con_construcciones_agropecuarias_y_forestales_de_su_propiedad_a_sala_de_ordeña,ejidos_y_comunidades_con_construcciones_agropecuarias_y_forestales_de_su_propiedad_a_aserradero,ejidos_y_comunidades_con_construcciones_agropecuarias_y_forestales_de_su_propiedad_a_otras_cosntrucciones,ejidos_y_comunidades_sin_construcciones_agropecuarias_ni_forestales_de_su_propiedad
estados unidos mexicanos,31514,14389,4352,282,353,7833,4874,3111,163,294,2726,17125
Aguascalientes,187,175,58,4,4,144,109,24,0,0,46,12
Aguascalientes,41,36,13,0,0,33,10,1,0,0,14,5
Asientos,34,34,11,1,0,33,28,3,0,0,1,0
Calvillo,8,8,4,0,0,6,6,2,0,0,3,0
Cosio,8,7,1,0,0,2,6,2,0,0,4,1
Jesus Maria,14,12,3,2,1,10,7,7,0,0,0,2
Pabellon de Arteaga,9,9,6,0,1,6,9,0,0,0,5,0
Rincon de Romos,13,13,6,0,0,9,8,3,0,0,3,0
San Jose de Gracia,10,8,1,0,0,8,0,5,0,0,1,2
Tepezala ,15,15,4,1,1,11,14,0,0,0,9,0
El Llano,24,23,6,0,0,19,13,1,0,0,2,1
San Francisco de los Romo,11,10,3,0,1,7,8,0,0,0,4,1
Baja California,240,133,40,4,1,49,92,30,2,0,29,107
Ensenada,97,67,22,0,0,39,47,23,0,0,15,30
Mexicali,119,54,13,1,0,6,40,3,2,0,7,65
Tecate,13,6,3,3,0,3,3,3,0,0,3,7
Tijuana,6,2,0,0,0,0,1,0,0,0,1,4
Playas de Rosarito,5,4,2,0,1,1,1,1,0,0,3,1
Baja California Sur,99,81,19,5,1,34,61,15,6,0,11,18
Comondu,C,C,3,0,0,4,14,1,3,0,1,C
Mulege,28,20,6,0,1,10,10,1,0,0,4,8
La Paz,32,28,4,4,0,11,24,8,3,0,3,4
Los Cabos,19,17,6,1,0,8,13,5,0,0,3,2
Loreto,C,C,0,0,0,1,0,0,0,0,0,C
Campeche,385,175,59,6,12,30,121,14,2,8,17,210
Calkini,17,12,3,0,0,0,12,0,0,0,0,5
Campeche,35,29,5,0,5,3,29,3,0,1,0,6
