INEGI. IX Censo Ejidal 2007,,,,,,,,,,
Ejidos y comunidades con bodegas y naves propias segun cantidad y capacidad,,,,,,,,,,cuadro 24
por entidad federativa y municipio,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_con_bodegas,cantidad_con_bodegas,superficie,unidad_de_medida,ejidos_y_comunidades_con_naves_para_aves,cantidad_con_naves_para_aves,capacidad_en_numero_de_cabezas,ejidos_y_comunidades_con_naves_para_cerdos,cantidad_con_naves_para_cerdos,capacidad_en_numero_de_cabezas
Estados Unidos Mexicanos,4352,7452,3548443,Metros,282,1350,4571094,353,672,156178
Aguascalientes,58,130,72067,Metros,4,8,14000,4,4,620
Aguascalientes,13,24,7500,Metros,0,0,0,0,0,0
Asientos,11,24,12883,Metros,1,5,2000,0,0,0
Calvillo,4,8,21000,Metros,0,0,0,0,0,0
Cosio,1,4,1200,Metros,0,0,0,0,0,0
Jesus Maria,3,10,2600,Metros,2,2,2000,1,1,100
Pabellon de Arteaga,6,10,2640,Metros,0,0,0,1,1,40
Rincon de Romos,6,12,10654,Metros,0,0,0,0,0,0
San Jose de Gracia,1,4,800,Metros,0,0,0,0,0,0
Tepezala ,4,9,1450,Metros,1,1,10000,1,1,80
El Llano,6,18,10420,Metros,0,0,0,0,0,0
San Francisco de los Romo,3,7,920,Metros,0,0,0,1,1,400
Baja California,40,68,18946,Metros,4,11,61000,1,1,100
Ensenada,22,25,9944,Metros,0,0,0,0,0,0
Mexicali,13,34,6827,Metros,1,1,3000,0,0,0
Tecate,3,5,800,Metros,3,10,58000,0,0,0
Playas de Rosarito,2,4,1375,Metros,0,0,0,1,1,100
Baja California Sur,19,28,27279,Metros,5,10,14500,1,1,50
Comondu,3,6,2880,Metros,0,0,0,0,0,0
Mulege,6,8,3328,Metros,0,0,0,1,1,50
La Paz,4,8,20172,Metros,4,8,8500,0,0,0
Los Cabos,6,6,899,Metros,1,2,6000,0,0,0
Campeche,59,79,56283,Metros,6,12,31520,12,29,6720
Calkini,3,3,1950,Metros,0,0,0,0,0,0
Campeche,5,5,7250,Metros,0,0,0,5,14,1520
Carmen,6,9,12970,Metros,0,0,0,1,2,1000
Champoton,10,15,10447,Metros,1,2,11000,1,5,1000
Hecelchakan,7,9,4250,Metros,0,0,0,1,4,400
Hopelchen,16,19,8986,Metros,2,3,10020,1,1,120
Palizada,2,3,610,Metros,1,3,1200,0,0,0
Tenabo,3,5,6150,Metros,0,0,0,2,2,2600
Escarcega,5,9,3540,Metros,2,4,9300,0,0,0
Calakmul,0,0,0,Metros,0,0,0,1,1,80
Candelaria,2,2,130,Metros,0,0,0,0,0,0
Coahuila de Zaragoza,216,373,133197,Metros,32,140,888158,9,12,4220
Acuña,8,10,2071,Metros,0,0,0,0,0,0
Arteaga,10,35,9584,Metros,3,9,37000,0,0,0
Candela,1,1,182,Metros,0,0,0,0,0,0
Castaños,4,5,2970,Metros,0,0,0,0,0,0
Cuatro Cienegas,4,6,550,Metros,0,0,0,0,0,0
Escobedo,1,1,72,Metros,0,0,0,0,0,0
Francisco I. Madero,11,22,28151,Metros,5,26,579000,1,1,80
Frontera,1,1,200,Metros,0,0,0,0,0,0
General Cepeda,14,25,2865,Metros,2,6,23000,0,0,0
