INEGI. IX Censo Ejidal 2007,,,,,,,,,,,,
Ejidos y comunidades agropecuarias y forestales con construcciones de su propiedad,,,,,,,,,,,,cuadro 25
segun tipo y cantidad por entidad federativa y municipio,,,,,,,,,,,,
,,,,,,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_con_bordos_para_riego_o_abrevadero,cantidad_de_bordos_para_riego_o_abrevadero,ejidos_y_comunidades_con_pozo_para_riego,cantidad_de_pozos_para_riego,ejidos_y_comunidades_con_baños_garrapaticidas,cantidad_de_baños_garrapaticidas,ejidos_y_comunidades_con_salas_de_ordeña,cantidad_de_salas_de_ordeña,ejidos_y_comunidades_con_aserradero,cantidad_de_aserraderos,ejidos_y_comunidades_con_otras_construcciones,cantidad_de_otras_construcciones
Estados Unidos Mexicanos,7833,45567,4874,27045,3111,4341,163,579,294,401,2726,3809
Aguascalientes,144,846,109,407,24,25,0,0,0,0,46,56
Aguascalientes,33,193,10,18,1,1,0,0,0,0,14,18
Asientos,33,158,28,127,3,3,0,0,0,0,1,1
Calvillo,6,65,6,12,2,2,0,0,0,0,3,3
Cosio,2,44,6,34,2,2,0,0,0,0,4,4
Jesus Maria,10,33,7,35,7,7,0,0,0,0,0,0
Pabellon de Arteaga,6,23,9,22,0,0,0,0,0,0,5,5
Rincon de Romos,9,92,8,49,3,3,0,0,0,0,3,3
San Jose de Gracia,8,70,0,0,5,6,0,0,0,0,1,1
Tepezala ,11,72,14,44,0,0,0,0,0,0,9,15
El Llano,19,56,13,38,1,1,0,0,0,0,2,2
San Francisco de los Romo,7,40,8,28,0,0,0,0,0,0,4,4
Baja California,49,141,92,530,30,38,2,2,0,0,29,40
Ensenada,39,100,47,145,23,30,0,0,0,0,15,21
Mexicali,6,26,40,361,3,4,2,2,0,0,7,7
Tecate,3,14,3,12,3,3,0,0,0,0,3,5
Tijuana,0,0,1,10,0,0,0,0,0,0,1,1
Playas de Rosarito,1,1,1,2,1,1,0,0,0,0,3,6
Baja California Sur,34,249,61,488,15,18,6,17,0,0,11,14
Comondu,4,19,14,129,1,1,3,6,0,0,1,2
Mulege,10,103,10,185,1,1,0,0,0,0,4,4
La Paz,11,59,24,105,8,9,3,11,0,0,3,3
Los Cabos,8,53,13,69,5,7,0,0,0,0,3,5
Loreto,1,15,0,0,0,0,0,0,0,0,0,0
Campeche,30,883,121,361,14,21,2,156,8,23,17,88
Calkini,0,0,12,42,0,0,0,0,0,0,0,0
Campeche,3,162,29,127,3,5,0,0,1,1,0,0
Carmen,13,475,9,38,4,6,1,6,0,0,1,1
Champoton,2,12,23,33,1,1,0,0,0,0,0,0
Hecelchakan,0,0,12,42,0,0,0,0,0,0,0,0
Hopelchen,1,1,16,29,0,0,0,0,5,20,4,4
Palizada,1,150,1,2,2,2,1,150,0,0,2,71
Tenabo,0,0,7,30,0,0,0,0,0,0,0,0
Escarcega,0,0,10,16,1,2,0,0,1,1,3,3
Calakmul,10,83,1,1,1,3,0,0,1,1,4,5
Candelaria,0,0,1,1,2,2,0,0,0,0,3,4
Coahuila de Zaragoza,546,2663,257,582,224,296,14,58,3,3,116,203
Abasolo,3,7,2,3,1,1,0,0,0,0,0,0
Acuña,10,122,0,0,10,35,0,0,0,0,0,0
Allende,4,8,2,5,1,1,0,0,0,0,1,1
Arteaga,21,33,10,18,1,1,1,8,2,2,2,2
Candela,6,20,0,0,6,7,0,0,0,0,4,7
Castaños,14,97,3,3,17,21,0,0,0,0,10,46
Cuatro Cienegas,23,144,13,39,16,16,0,0,0,0,10,14
Escobedo,5,34,1,1,5,5,0,0,0,0,0,0
Francisco I. Madero,6,21,24,62,3,3,6,8,0,0,9,11
Frontera,6,15,3,17,3,3,0,0,0,0,1,2
General Cepeda,41,137,15,35,8,8,1,1,0,0,7,7
Guerrero,3,21,1,2,2,2,0,0,0,0,0,0
Hidalgo,2,8,2,3,0,0,0,0,0,0,0,0
Jimenez,14,39,1,1,14,18,0,0,0,0,1,1
Juarez,3,14,0,0,4,5,0,0,0,0,2,4
Lamadrid,1,1,0,0,1,1,0,0,0,0,0,0
Matamoros,5,25,25,58,1,1,2,2,0,0,3,8
Monclova,5,112,2,13,3,3,1,14,0,0,2,5
Morelos,1,6,1,4,1,1,0,0,0,0,0,0
Muzquiz,13,114,3,7,11,21,0,0,0,0,7,17
Nadadores,7,15,2,2,7,8,0,0,0,0,1,1
Nava,2,7,2,3,2,2,0,0,0,0,1,1
Ocampo,44,336,6,9,21,22,0,0,0,0,8,10
Parras,60,241,30,75,13,13,0,0,1,1,5,5
Piedras Negras,4,18,1,1,4,5,0,0,0,0,0,0
Progreso,8,33,0,0,6,6,0,0,0,0,5,5
Ramos Arizpe,37,76,24,38,6,7,0,0,0,0,0,0
Sabinas,7,57,0,0,7,11,1,20,0,0,2,2
Sacramento,1,5,0,0,1,1,0,0,0,0,0,0
Saltillo,79,248,18,37,9,10,0,0,0,0,4,4
San Buenaventura,10,33,2,2,7,8,1,2,0,0,1,1
San Juan de Sabinas,4,13,3,6,8,10,0,0,0,0,1,1
San Pedro,31,123,22,49,1,1,0,0,0,0,3,3
Sierra Mojada,23,170,6,15,7,7,0,0,0,0,7,15
Torreon,7,71,6,16,0,0,1,3,0,0,2,3
Viesca,23,114,23,52,0,0,0,0,0,0,8,13
Villa Union,9,36,3,5,9,9,0,0,0,0,1,1
Zaragoza,4,89,1,1,8,23,0,0,0,0,8,13
Colima,41,141,51,265,35,41,2,2,3,3,102,141
Armeria,4,7,8,102,1,2,0,0,0,0,6,7
Colima,10,22,6,13,3,3,0,0,0,0,18,27
Comala,2,8,1,4,2,2,0,0,0,0,12,19
Coquimatlan,4,7,4,9,11,11,0,0,0,0,7,13
Cuauhtemoc,7,50,2,8,3,5,0,0,1,1,11,17
Ixtlahuacan,4,24,4,6,2,2,0,0,0,0,8,13
Manzanillo,4,14,12,76,3,3,0,0,0,0,20,20
Minatitlan,3,6,1,1,2,2,1,1,1,1,1,1
Tecoman,0,0,12,40,5,8,0,0,1,1,13,13
Villa de alvarez,3,3,1,6,3,3,1,1,0,0,6,11
Chiapas,109,1231,50,459,33,61,5,9,2,2,73,100
Acala,3,6,0,0,1,1,0,0,0,0,0,0
Acapetahua,0,0,1,2,0,0,0,0,0,0,0,0
Altamirano,1,1,0,0,0,0,0,0,0,0,0,0
Arriaga,0,0,3,6,1,1,0,0,0,0,1,1
Berriozabal,1,5,0,0,0,0,0,0,0,0,0,0
Bochil,1,2,1,3,0,0,0,0,0,0,0,0
Cintalapa,6,130,1,101,2,2,0,0,0,0,1,1
Coapilla,0,0,0,0,1,1,0,0,1,1,0,0
Comitan de Dominguez,8,22,0,0,0,0,0,0,0,0,2,2
La Concordia,5,27,0,0,2,2,1,1,0,0,1,1
Copainala,1,50,0,0,0,0,0,0,0,0,2,2
Chapultenango,0,0,0,0,0,0,0,0,0,0,2,3
Chenalho,0,0,0,0,0,0,0,0,0,0,1,2
Chiapa de Corzo,0,0,6,106,0,0,0,0,0,0,0,0
Chiapilla,0,0,1,2,0,0,0,0,0,0,0,0
Chicomuselo,1,2,0,0,0,0,0,0,0,0,0,0
Chilon,0,0,0,0,0,0,0,0,0,0,1,1
Frontera Comalapa,1,5,0,0,3,4,0,0,0,0,6,6
Frontera Hidalgo,0,0,1,8,0,0,0,0,0,0,0,0
Huehuetan,0,0,1,10,0,0,0,0,0,0,0,0
Huixtla,0,0,0,0,1,1,0,0,0,0,2,2
La Independencia,1,1,4,5,2,2,0,0,0,0,0,0
Ixhuatan,0,0,0,0,0,0,0,0,0,0,1,1
Ixtapa,2,4,2,3,1,1,1,1,0,0,0,0
Ixtapangajoya,0,0,0,0,0,0,0,0,0,0,1,1
Jiquipilas,14,75,1,6,3,3,0,0,0,0,0,0
Juarez,0,0,0,0,1,1,0,0,0,0,2,4
Las Margaritas,4,9,2,5,1,3,0,0,1,1,2,2
Mazatan,2,2,4,47,1,1,0,0,0,0,0,0
Metapa,0,0,1,2,0,0,0,0,0,0,0,0
Motozintla,0,0,1,10,0,0,0,0,0,0,0,0
Ocosingo,1,100,0,0,0,0,1,2,0,0,0,0
Ocozocoautla de Espinosa,2,2,0,0,0,0,0,0,0,0,0,0
Ostuacan,0,0,0,0,0,0,0,0,0,0,8,8
Palenque,11,346,1,1,0,0,0,0,0,0,2,2
Pichucalco,0,0,0,0,0,0,0,0,0,0,2,2
Pijijiapan,0,0,1,1,3,5,0,0,0,0,0,0
Villa Comaltitlan,1,1,0,0,1,1,0,0,0,0,1,1
Las Rosas,2,3,1,1,0,0,0,0,0,0,0,0
San Fernando,3,113,0,0,0,0,0,0,0,0,0,0
Simojovel,0,0,0,0,0,0,0,0,0,0,1,1
Solosuchiapa,0,0,0,0,0,0,0,0,0,0,3,3
Suchiapa,1,8,0,0,0,0,0,0,0,0,0,0
Suchiate,4,5,2,3,0,0,1,4,0,0,8,9
Tapachula,3,127,5,27,0,0,0,0,0,0,1,1
Tapalapa,0,0,0,0,1,1,0,0,0,0,0,0
Tecpatan,0,0,0,0,1,20,0,0,0,0,0,0
