INEGI. IX Censo Ejidal 2007,,,,
"Ejidos y comunidades con tractores de su propiedad, segun cantidad y funcionamiento",,,,cuadro 26
por entidad federativa y municipio,,,,
,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_con_tractores,cantidad_de_tractores,ejidos_y_comunidades_con tractores_en_funcionamiento,cantidad_de_tractores_en_funcionamiento
Estados Unidos Mexicanos,1993,3770,1844,3423
Aguascalientes,8,17,8,17
Aguascalientes,5,12,5,12
Asientos,1,3,1,3
Rincon de Romos,1,1,1,1
El Llano,1,1,1,1
Baja California,22,39,17,30
Ensenada,8,14,7,13
Mexicali,11,22,8,15
Tecate,2,2,1,1
Playas de Rosarito,1,1,1,1
Baja California Sur,9,38,7,36
Comondu,3,29,3,29
La Paz,5,8,3,6
Los Cabos,1,1,1,1
Campeche,37,54,30,40
Campeche,3,3,3,3
Carmen,6,8,6,8
Champoton,7,9,6,8
Hecelchakan,5,7,3,4
Hopelchen,8,16,7,12
Tenabo,2,3,0,0
Escarcega,3,4,2,2
Calakmul,1,1,1,1
Candelaria,2,3,2,2
Coahuila de Zaragoza,86,143,83,135
Acuña,1,2,1,1
Arteaga,6,7,5,6
Candela,1,2,1,2
Castaños,4,4,3,3
Cuatro Cienegas,3,7,3,7
Francisco I. Madero,6,22,6,22
Frontera,2,2,2,2
General Cepeda,7,9,7,9
Guerrero,1,1,0,0
Juarez,3,4,3,4
Matamoros,6,9,6,9
Monclova,2,3,2,2
Muzquiz,4,8,4,8
Nava,1,1,1,1
Ocampo,1,1,1,1
Parras,3,3,3,3
Progreso,1,1,1,1
Ramos Arizpe,3,3,3,3
Sacramento,1,2,1,2
Saltillo,13,24,13,22
San Buenaventura,2,3,2,3
San Juan de Sabinas,3,5,3,4
San Pedro,1,2,1,2
Sierra Mojada,1,1,1,1
Torreon,2,2,2,2
Viesca,8,15,8,15
Colima,3,3,2,2
Ixtlahuacan,2,2,1,1
Tecoman,1,1,1,1
Chiapas,44,62,42,59
Acala,1,3,1,3
Altamirano,1,1,1,1
Catazaja,2,2,2,2
Cintalapa,2,2,2,2
Comitan de Dominguez,3,4,3,4
Huixtla,1,1,1,1
La Independencia,1,2,1,2
Ixtapa,1,1,1,1
Jiquipilas,6,11,6,11
Las Margaritas,1,1,1,1
Ocosingo,3,3,1,1
Ocozocoautla de Espinosa,1,2,1,2
Palenque,2,2,2,2
Pichucalco,1,1,1,1
Pijijiapan,4,5,4,5
San Cristobal de las Casas,1,1,1,1
San Fernando,2,2,2,2
Suchiate,1,1,1,1
Tonala,3,4,3,4
La Trinitaria,2,2,2,2
Tuxtla Gutierrez,2,3,2,3
Venustiano Carranza,1,3,1,3
Villaflores,2,5,2,4
Chihuahua,73,146,63,123
Ahumada,5,7,5,7
Aldama,5,8,5,8
Allende,2,2,2,2
Aquiles Serdan,2,4,1,1
Ascension,2,6,2,4
Balleza,3,3,3,3
Batopilas,1,2,1,2
Camargo,6,14,6,14
Casas Grandes,1,1,0,0
Coyame del Sotol,3,5,2,4
Chihuahua,2,7,2,4
Guachochi,3,4,0,0
Guadalupe y Calvo,5,9,3,3
Hidalgo del Parral,2,6,1,5
Jimenez,6,12,6,12
Juarez,2,5,1,4
Julimes,1,1,1,1
Lopez,4,7,4,6
Madera,2,14,2,14
Matamoros,1,5,1,5
Ojinaga,5,9,5,9
San Francisco del Oro,1,3,1,3
