INEGI. IX Censo Ejidal 2007,,,,,,
Ejidos y comunidades con tractores de su propiedad segun cantidad,,,,,,cuadro 27
y años de uso por entidad federativa y municipio,,,,,,
,,,,,,
,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_con_tractores,total_de_tractores,ejidos_y_comunidades_con_tractores_de_su_propiedad_con_tractores_hasta_5_años_de_uso,ejidos_y_comunidades_con_tractores_de_su_propiedad_con_tractores_mas_de_5 hasta_10_años_de_uso,ejidos_y_comunidades_con_tractores_de_su_propiedad_con_tractores_mas_de_10_hasta_15 años_de_uso,ejidos_y_comunidades_con_tractores_de_su_propiedad_con_tractores_con_mas_de_15_años_de_uso
Estados Unidos Mexicanos,1993,3770,583,483,410,964
Aguascalientes,8,17,1,1,1,6
Aguascalientes,5,12,0,1,1,4
Asientos,1,3,0,0,0,1
Rincon de Romos,1,1,1,0,0,0
El Llano,1,1,0,0,0,1
Baja California,22,39,1,2,1,20
Ensenada,8,14,0,0,1,7
Mexicali,11,22,1,2,0,10
Tecate,2,2,0,0,0,2
Playas de Rosarito,1,1,0,0,0,1
Baja California Sur,9,38,2,3,3,6
Comondu,3,29,1,1,1,3
La Paz,5,8,1,1,2,3
Los Cabos,1,1,0,1,0,0
Campeche,37,54,10,10,5,14
Campeche,3,3,2,1,0,0
Carmen,6,8,2,1,2,1
Champoton,7,9,2,0,0,5
Hecelchakan,5,7,1,1,0,3
Hopelchen,8,16,2,5,2,1
Tenabo,2,3,0,0,1,1
Escarcega,3,4,1,0,0,2
Calakmul,1,1,0,1,0,0
Candelaria,2,3,0,1,0,1
Coahuila de Zaragoza,86,143,42,25,16,26
Acuña,1,2,0,1,0,1
Arteaga,6,7,3,0,0,4
Candela,1,2,1,0,0,0
Castaños,4,4,1,1,0,2
Cuatro Cienegas,3,7,2,1,0,1
Francisco I. Madero,6,22,3,3,2,2
Frontera,2,2,0,1,0,1
General Cepeda,7,9,2,3,1,2
Guerrero,1,1,0,0,1,0
Juarez,3,4,1,1,1,0
Matamoros,6,9,5,1,2,0
Monclova,2,3,0,0,0,2
Muzquiz,4,8,3,2,1,1
Nava,1,1,0,0,1,0
Ocampo,1,1,1,0,0,0
Parras,3,3,2,0,1,0
Progreso,1,1,0,0,1,0
Ramos Arizpe,3,3,0,1,0,2
Sacramento,1,2,1,1,0,0
Saltillo,13,24,7,4,4,2
San Buenaventura,2,3,1,0,0,1
San Juan de Sabinas,3,5,2,1,0,1
San Pedro,1,2,1,1,0,0
Sierra Mojada,1,1,0,1,0,0
Torreon,2,2,1,0,1,0
Viesca,8,15,5,2,0,4
Colima,3,3,1,0,1,1
Ixtlahuacan,2,2,0,0,1,1
Tecoman,1,1,1,0,0,0
Chiapas,44,62,15,14,5,14
Acala,1,3,0,0,0,1
Altamirano,1,1,0,0,0,1
Catazaja,2,2,0,2,0,0
Cintalapa,2,2,1,0,0,1
Comitan de Dominguez,3,4,0,2,1,1
Huixtla,1,1,1,0,0,0
La Independencia,1,2,0,0,1,0
Ixtapa,1,1,0,0,0,1
Jiquipilas,6,11,3,2,0,1
Las Margaritas,1,1,0,1,0,0
Ocosingo,3,3,2,0,0,1
Ocozocoautla de Espinosa,1,2,0,1,0,0
Palenque,2,2,0,1,0,1
Pichucalco,1,1,0,1,0,0
Pijijiapan,4,5,2,1,1,0
San Cristobal de las Casas,1,1,0,0,0,1
San Fernando,2,2,1,0,0,1
Suchiate,1,1,0,0,0,1
Tonala,3,4,2,1,0,1
La Trinitaria,2,2,1,0,0,1
Tuxtla Gutierrez,2,3,0,0,2,0
Venustiano Carranza,1,3,1,0,0,1
Villaflores,2,5,1,2,0,0
Chihuahua,73,146,13,12,16,49
Ahumada,5,7,0,1,3,3
Aldama,5,8,0,1,0,5
Allende,2,2,1,0,1,0
Aquiles Serdan,2,4,0,0,0,2
Ascension,2,6,2,0,0,0
Balleza,3,3,0,0,2,1
Batopilas,1,2,1,0,0,1
Camargo,6,14,1,1,0,5
Casas Grandes,1,1,0,0,0,1
Coyame del Sotol,3,5,0,0,1,3
Chihuahua,2,7,1,1,1,1
Guachochi,3,4,0,0,0,3
Guadalupe y Calvo,5,9,1,0,1,3
Hidalgo del Parral,2,6,0,0,0,2
Jimenez,6,12,1,1,1,4
Juarez,2,5,0,1,0,1
Julimes,1,1,0,1,0,0
Lopez,4,7,0,2,1,2
Madera,2,14,0,2,2,2
Matamoros,1,5,1,0,0,1
Ojinaga,5,9,3,1,2,0
San Francisco del Oro,1,3,0,0,0,1
Santa Barbara,2,4,1,0,1,1
Saucillo,2,3,0,0,0,2
Temosachi,2,2,0,0,0,2
Urique,1,1,0,0,0,1
Uruachi,1,1,0,0,0,1
Valle de Zaragoza,1,1,0,0,0,1
Distrito Federal,12,20,8,3,2,2
Cuajimalpa de Morelos,1,1,0,1,0,0
La Magdalena Contreras,1,1,1,0,0,0
Milpa Alta,2,2,2,0,0,0
alvaro Obregon,1,1,1,0,0,0
Tlahuac,6,14,3,2,2,2
Tlalpan,1,1,1,0,0,0
Durango,113,197,23,29,17,67
Canatlan,1,4,0,0,0,1
Cuencame,6,11,4,0,0,3
Durango,11,18,1,2,3,7
General Simon Bolivar,2,2,0,0,0,2
Guadalupe Victoria,1,1,0,0,0,1
Guanacevi,8,11,2,4,1,2
Lerdo,3,7,1,1,1,2
Mapimi,9,18,3,1,1,5
Mezquital,3,6,1,1,0,2
Nazas,1,1,0,1,0,0
El Oro,2,2,1,0,1,0
Otaez,2,2,0,0,1,1
Panuco de Coronado,4,10,0,0,0,4
Poanas,2,3,0,1,0,1
Pueblo Nuevo,15,28,2,7,4,5
San Dimas,21,38,4,7,3,17
San Juan de Guadalupe,5,7,2,1,0,2
San Juan del Rio,1,3,0,0,0,1
Santiago Papasquiaro,4,6,0,1,0,4
Suchil,1,1,0,0,1,0
Tamazula,3,3,1,2,0,0
Tepehuanes,2,2,0,0,0,2
Tlahualilo,2,3,0,0,0,2
Vicente Guerrero,2,6,1,0,1,1
Nuevo Ideal,2,4,0,0,0,2
Guanajuato,170,445,31,21,42,125
Abasolo,7,17,2,0,1,6
Acambaro,5,13,1,1,3,3
San Miguel de Allende,10,18,1,0,4,7
Apaseo el Alto,1,7,1,1,0,1
Manuel Doblado,9,33,1,1,1,7
Cortazar,1,2,1,0,0,1
Cueramaro,2,7,2,0,2,1
Doctor Mora,3,13,0,0,0,3
Dolores Hidalgo Cuna de la Independencia Nal.,18,42,5,2,3,11
Guanajuato,3,4,0,1,1,2
Huanimaro,2,5,0,0,0,2
Irapuato,2,7,0,0,0,2
Jerecuaro,2,8,2,1,0,1
Leon,7,22,2,1,0,7
Ocampo,5,9,0,0,2,3
Penjamo,19,54,0,4,6,15
Purisima del Rincon,1,2,0,0,0,1
Romita,2,3,0,0,0,2
Salamanca,6,19,1,2,0,4
Salvatierra,1,2,0,0,1,1
San Diego de la Union,15,37,1,1,6,9
San Felipe,13,35,3,1,2,11
San Francisco del Rincon,3,3,0,0,1,2
San Jose Iturbide,1,4,0,0,0,1
San Luis de la Paz,13,37,5,2,3,9
Santa Cruz de Juventino Rosas,1,1,1,0,0,0
Silao,12,32,2,1,5,10
Tarimoro,1,1,0,0,0,1
Uriangato,1,2,0,0,1,0
Valle de Santiago,1,1,0,1,0,0
Victoria,2,3,0,1,0,1
Yuriria,1,2,0,0,0,1
Guerrero,54,68,18,15,14,11
Acapulco de Juarez,1,1,0,1,0,0
Ajuchitlan del Progreso,1,2,0,0,0,1
Arcelia,1,1,0,0,1,0
Benito Juarez,1,1,1,0,0,0
Coyuca de Benitez,1,1,0,0,0,1
Coyuca de Catalan,2,3,1,1,0,1
Cutzamala de Pinzon,1,1,0,1,0,0
Chilpancingo de los Bravo,8,10,5,1,2,1
Huamuxtitlan,1,2,0,1,0,0
Iguala de la Independencia,3,4,0,0,3,0
Jose Azueta,6,7,1,3,3,0
Juan R. Escudero,1,1,0,0,0,1
Leonardo Bravo,1,1,0,0,0,1
Martir de Cuilapan,1,1,1,0,0,0
Olinala ,1,1,0,0,1,0
Ometepec,2,2,2,0,0,0
Petatlan,1,1,1,0,0,0
San Luis Acatlan,2,2,0,2,0,0
Taxco de Alarcon,2,2,1,0,1,0
Tecpan de Galeana,2,2,1,0,0,1
Teloloapan,1,3,0,1,0,0
Tepecoacuilco de Trujano,1,1,0,0,0,1
Tlapa de Comonfort,1,1,0,1,0,0
La Union de Isidoro Montes de Oca,9,10,4,2,1,2
Eduardo Neri,3,7,0,1,2,1
Hidalgo,129,221,32,37,39,56
Acatlan,5,6,1,1,1,3
Alfajayucan,6,10,0,3,2,4
Atitalaquia,2,2,0,1,0,1
Atlapexco,2,3,0,1,1,1
Atotonilco el Grande,4,11,2,2,1,2
Atotonilco de Tula,5,13,2,0,2,3
Cardonal,1,1,0,0,1,0
Cuautepec de Hinojosa,3,6,0,0,2,2
Chapantongo,3,6,1,2,1,1
Eloxochitlan,2,3,1,1,0,1
Epazoyucan,1,3,0,0,0,1
Huasca de Ocampo,1,1,0,0,0,1
Huautla,11,21,5,3,4,4
Huejutla de Reyes,7,12,1,1,2,4
Huichapan,11,15,3,1,4,5
Ixmiquilpan,1,2,1,0,0,0
Jacala de Ledezma,1,1,1,0,0,0
Jaltocan,1,1,0,1,0,0
Metepec,1,1,0,0,0,1
San Agustin Metzquititlan,1,1,0,0,1,0
Metztitlan,2,2,0,0,2,0
Mixquiahuala de Juarez,1,1,0,1,0,0
Nopala de Villagran,5,14,0,3,4,2
San Agustin Tlaxiaca,1,3,0,0,0,1
Santiago de Anaya,3,4,0,1,0,2
Santiago Tulantepec de Lugo Guerrero,1,1,0,0,0,1
Singuilucan,5,11,4,2,0,1
Tecozautla,5,9,2,2,1,1
Tepeji del Rio de Ocampo,3,10,1,1,1,2
Tepetitlan,2,2,0,0,1,1
Tula de Allende,7,12,3,1,2,1
Tulancingo de Bravo,2,3,0,0,0,2
Xochiatipan,1,1,1,0,0,0
Yahualica,1,1,0,1,0,0
Zapotlan de Juarez,1,1,1,0,0,0
Zempoala,6,12,2,2,1,5
Zimapan,14,15,0,6,5,3
Jalisco,55,97,12,12,10,33
Acatic,1,5,1,0,1,1
Acatlan de Juarez,1,1,0,0,0,1
Amacueca,1,2,1,1,0,0
Ameca,1,1,1,0,0,0
Atenguillo,1,1,0,0,0,1
Atotonilco el Alto,1,1,0,0,0,1
Autlan de Navarro,1,2,1,0,0,0
Ayotlan,2,4,0,0,1,2
Ayutla,1,1,0,0,0,1
La Barca,1,1,1,0,0,0
Zapotlan el Grande,1,2,0,1,0,0
Cuautla,1,1,0,1,0,0
Cuquio,1,2,0,0,0,1
Degollado,2,3,0,0,1,2
Guachinango,1,1,0,1,0,0
Jamay,1,1,0,1,0,0
Jesus Maria,1,2,0,1,1,0
Jilotlan de los Dolores,1,4,0,1,1,1
Lagos de Moreno,6,10,0,1,0,5
El Limon,1,3,0,0,1,0
Magdalena,1,2,0,0,0,1
Mascota,2,4,0,0,0,2
Mezquitic,2,4,0,0,1,1
Mixtlan,1,3,1,1,0,1
Ojuelos de Jalisco,1,1,1,0,0,0
Poncitlan,2,3,1,0,0,1
Puerto Vallarta,1,1,0,0,0,1
El Salto,1,2,0,0,0,1
Sayula,1,3,0,1,0,1
Tamazula de Gordiano,1,1,1,0,0,0
Teuchitlan,1,1,0,0,0,1
Tlajomulco de Zuñiga,3,6,0,1,0,2
Tlaquepaque,1,2,0,0,0,1
Tonila,3,6,1,1,0,1
Union de San Antonio,2,3,0,0,2,0
Zapopan,2,2,1,0,0,1
Zapotiltic,3,5,1,0,1,2
Mexico,101,203,41,25,21,47
Acolman,7,12,4,2,1,3
Almoloya de Juarez,1,2,0,0,1,1
Amecameca,1,1,1,0,0,0
Apaxco,1,5,0,0,0,1
Atenco,2,4,2,0,0,0
Atlacomulco,5,12,2,1,1,2
Axapusco,1,2,0,1,0,1
Capulhuac,1,1,1,0,0,0
Coyotepec,1,1,0,1,0,0
Chalco,7,10,3,0,4,1
Chiautla,4,5,4,0,0,1
Chicoloapan,1,5,1,0,0,1
Chimalhuacan,1,2,0,0,1,0
Ecatzingo,2,2,2,0,0,0
Huehuetoca,1,1,1,0,0,0
Hueypoxtla,1,2,1,0,0,0
Huixquilucan,1,1,0,1,0,0
Ixtapaluca,3,7,2,2,1,1
Ixtapan del Oro,1,1,0,1,0,0
Jaltenco,1,1,0,0,0,1
Jilotepec,1,2,0,0,0,1
Jilotzingo,1,1,0,0,0,1
Jiquipilco,8,36,5,5,1,5
Lerma,4,5,1,0,0,4
Morelos,1,1,0,0,0,1
Naucalpan de Juarez,2,6,0,0,0,2
Nextlalpan,1,1,0,0,0,1
Ocoyoacac,1,2,0,0,0,1
Ozumba,1,2,0,1,1,0
Papalotla,1,2,0,0,1,1
Polotitlan,2,4,1,0,0,2
Soyaniquilpan de Juarez,2,9,0,0,2,2
Tecamac,4,7,2,3,0,1
Temamatla,1,1,0,0,1,0
Temascaltepec,3,3,1,1,1,0
Tenancingo,1,1,0,0,0,1
Teotihuacan,2,3,1,1,1,0
Tepetlaoxtoc,4,6,2,0,1,2
Tepotzotlan,2,2,0,1,1,0
Texcoco,8,15,2,1,0,7
Timilpan,1,5,0,0,1,0
Tlalmanalco,2,4,1,0,0,1
Tlalnepantla de Baz,1,1,0,0,0,1
Toluca,1,2,0,1,0,0
Villa del Carbon,1,1,1,0,0,0
Zinacantepec,1,1,0,1,0,0
Valle de Chalco Solidaridad,1,3,0,1,1,0
