INEGI. IX Censo Ejidal 2007,,,,,,,,,,
"Ejidos y comunidades con tractores de su propiedad segun cantidad, años de uso",,,,,,,,,,cuadro 28
y funcionamiento por entidad federativa y municipio,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_con_tractores,cantidad_de_tractores,años_de_uso_de_los_tractores_hasta_5_años_cantidad_total,años_de_uso_de_los_tractores_hasta_5_años_cantidad_funcionando,años_de_uso_de_los_tractores_mas_de_5 hasta_10_años_cantidad_total,años_de_uso_de_los_tractores_mas_de_5 hasta_10_años_cantidad_funcionando,años_de_uso_de_los_tractores_mas_de_10_hasta_15_años_cantidad_total,años_de_uso_de_los_tractores_mas_de_10_hasta_15_años_cantidad_funcionando,años_de_uso_de_los_tractores_mas_de_15_años_cantidad_total,años_de_uso_de_los_tractores_mas_de_15_años_cantidad_funcionando
estados unidos mexicanos,8,3770,778,763,668,640,605,542,1719,1478
Aguascalientes,8,17,1,1,3,3,1,1,12,12
Aguascalientes,5,12,0,0,3,3,1,1,8,8
Asientos,1,3,0,0,0,0,0,0,3,3
Rincon de Romos,1,1,1,1,0,0,0,0,0,0
El Llano,1,1,0,0,0,0,0,0,1,1
Baja California,22,39,1,1,2,2,1,1,35,26
Ensenada,8,14,0,0,0,0,1,1,13,12
Mexicali,11,22,1,1,2,2,0,0,19,12
Tecate,2,2,0,0,0,0,0,0,2,1
Playas de Rosarito,1,1,0,0,0,0,0,0,1,1
Baja California Sur,9,38,2,2,8,8,6,6,22,20
Comondu,3,29,1,1,6,6,3,3,19,19
La Paz,5,8,1,1,1,1,3,3,3,1
Los Cabos,1,1,0,0,1,1,0,0,0,0
Campeche,37,54,13,13,12,11,11,7,18,9
Campeche,3,3,2,2,1,1,0,0,0,0
Carmen,6,8,3,3,1,1,3,3,1,1
Champoton,7,9,4,4,0,0,0,0,5,4
Hecelchakan,5,7,1,1,1,1,0,0,5,2
Hopelchen,8,16,2,2,6,6,7,4,1,0
Tenabo,2,3,0,0,0,0,1,0,2,0
Escarcega,3,4,1,1,0,0,0,0,3,1
Calakmul,1,1,0,0,1,1,0,0,0,0
Candelaria,2,3,0,0,2,1,0,0,1,1
Coahuila de Zaragoza,86,143,52,51,37,36,22,20,32,28
Acuña,1,2,0,0,1,1,0,0,1,0
Arteaga,6,7,3,3,0,0,0,0,4,3
Candela,1,2,2,2,0,0,0,0,0,0
Castaños,4,4,1,1,1,1,0,0,2,1
Cuatro Cienegas,3,7,2,2,4,4,0,0,1,1
Francisco I. Madero,6,22,10,10,6,6,3,3,3,3
Frontera,2,2,0,0,1,1,0,0,1,1
General Cepeda,7,9,2,2,4,4,1,1,2,2
Guerrero,1,1,0,0,0,0,1,0,0,0
Juarez,3,4,1,1,1,1,2,2,0,0
Matamoros,6,9,5,5,1,1,3,3,0,0
Monclova,2,3,0,0,0,0,0,0,3,2
Muzquiz,4,8,3,3,2,2,2,2,1,1
Nava,1,1,0,0,0,0,1,1,0,0
Ocampo,1,1,1,1,0,0,0,0,0,0
Parras,3,3,2,2,0,0,1,1,0,0
Progreso,1,1,0,0,0,0,1,1,0,0
Ramos Arizpe,3,3,0,0,1,1,0,0,2,2
Sacramento,1,2,1,1,1,1,0,0,0,0
Saltillo,13,24,7,7,6,5,6,5,5,5
San Buenaventura,2,3,1,1,0,0,0,0,2,2
San Juan de Sabinas,3,5,3,2,1,1,0,0,1,1
San Pedro,1,2,1,1,1,1,0,0,0,0
Sierra Mojada,1,1,0,0,1,1,0,0,0,0
Torreon,2,2,1,1,0,0,1,1,0,0
Viesca,8,15,6,6,5,5,0,0,4,4
Colima,3,3,1,1,0,0,1,0,1,1
Ixtlahuacan,2,2,0,0,0,0,1,0,1,1
Tecoman,1,1,1,1,0,0,0,0,0,0
Chiapas,44,62,16,15,18,17,7,7,21,20
Acala,1,3,0,0,0,0,0,0,3,3
Altamirano,1,1,0,0,0,0,0,0,1,1
Catazaja,2,2,0,0,2,2,0,0,0,0
Cintalapa,2,2,1,1,0,0,0,0,1,1
Comitan de Dominguez,3,4,0,0,2,2,1,1,1,1
Huixtla,1,1,1,1,0,0,0,0,0,0
La Independencia,1,2,0,0,0,0,2,2,0,0
Ixtapa,1,1,0,0,0,0,0,0,1,1
Jiquipilas,6,11,3,3,3,3,0,0,5,5
Las Margaritas,1,1,0,0,1,1,0,0,0,0
Ocosingo,3,3,2,1,0,0,0,0,1,0
Ocozocoautla de Espinosa,1,2,0,0,2,2,0,0,0,0
Palenque,2,2,0,0,1,1,0,0,1,1
Pichucalco,1,1,0,0,1,1,0,0,0,0
Pijijiapan,4,5,2,2,2,2,1,1,0,0
San Cristobal de las Casas,1,1,0,0,0,0,0,0,1,1
San Fernando,2,2,1,1,0,0,0,0,1,1
Suchiate,1,1,0,0,0,0,0,0,1,1
Tonala,3,4,2,2,1,1,0,0,1,1
La Trinitaria,2,2,1,1,0,0,0,0,1,1
Tuxtla Gutierrez,2,3,0,0,0,0,3,3,0,0
Venustiano Carranza,1,3,1,1,0,0,0,0,2,2
Villaflores,2,5,2,2,3,2,0,0,0,0
Chihuahua,73,146,19,16,18,14,19,19,90,74
Ahumada,5,7,0,0,1,1,3,3,3,3
Aldama,5,8,0,0,1,1,0,0,7,7
Allende,2,2,1,1,0,0,1,1,0,0
Aquiles Serdan,2,4,0,0,0,0,0,0,4,1
Ascension,2,6,6,4,0,0,0,0,0,0
Balleza,3,3,0,0,0,0,2,2,1,1
Batopilas,1,2,1,1,0,0,0,0,1,1
Camargo,6,14,1,1,2,2,0,0,11,11
Casas Grandes,1,1,0,0,0,0,0,0,1,0
Coyame del Sotol,3,5,0,0,0,0,2,2,3,2
Chihuahua,2,7,1,1,3,0,2,2,1,1
Guachochi,3,4,0,0,0,0,0,0,4,0
Guadalupe y Calvo,5,9,1,0,0,0,1,1,7,2
Hidalgo del Parral,2,6,0,0,0,0,0,0,6,5
Jimenez,6,12,2,2,3,3,1,1,6,6
Juarez,2,5,0,0,1,0,0,0,4,4
Julimes,1,1,0,0,1,1,0,0,0,0
Lopez,4,7,0,0,2,2,1,1,4,3
Madera,2,14,0,0,2,2,2,2,10,10
Matamoros,1,5,1,1,0,0,0,0,4,4
Ojinaga,5,9,4,4,2,2,3,3,0,0
San Francisco del Oro,1,3,0,0,0,0,0,0,3,3
Santa Barbara,2,4,1,1,0,0,1,1,2,2
Saucillo,2,3,0,0,0,0,0,0,3,3
Temosachi,2,2,0,0,0,0,0,0,2,2
Urique,1,1,0,0,0,0,0,0,1,1
Uruachi,1,1,0,0,0,0,0,0,1,1
Valle de Zaragoza,1,1,0,0,0,0,0,0,1,1
Distrito Federal,12,20,9,9,4,2,3,0,4,4
Cuajimalpa de Morelos,1,1,0,0,1,0,0,0,0,0
La Magdalena Contreras,1,1,1,1,0,0,0,0,0,0
Milpa Alta,2,2,2,2,0,0,0,0,0,0
alvaro Obregon,1,1,1,1,0,0,0,0,0,0
Tlahuac,6,14,4,4,3,2,3,0,4,4
Tlalpan,1,1,1,1,0,0,0,0,0,0
Durango,113,197,41,38,37,35,18,18,101,86
Canatlan,1,4,0,0,0,0,0,0,4,4
Cuencame,6,11,8,6,0,0,0,0,3,3
Durango,11,18,1,1,4,4,3,3,10,9
General Simon Bolivar,2,2,0,0,0,0,0,0,2,2
Guadalupe Victoria,1,1,0,0,0,0,0,0,1,1
Guanacevi,8,11,3,3,4,4,1,1,3,2
Lerdo,3,7,3,3,1,1,1,1,2,1
Mapimi,9,18,9,9,1,0,1,1,7,6
Mezquital,3,6,2,1,1,1,0,0,3,3
Nazas,1,1,0,0,1,1,0,0,0,0
El Oro,2,2,1,1,0,0,1,1,0,0
Otaez,2,2,0,0,0,0,1,1,1,1
Panuco de Coronado,4,10,0,0,0,0,0,0,10,5
Poanas,2,3,0,0,1,1,0,0,2,2
Pueblo Nuevo,15,28,3,3,11,11,5,5,9,9
San Dimas,21,38,6,6,8,8,3,3,21,19
San Juan de Guadalupe,5,7,2,2,2,2,0,0,3,3
San Juan del Rio,1,3,0,0,0,0,0,0,3,3
Santiago Papasquiaro,4,6,0,0,1,1,0,0,5,5
Suchil,1,1,0,0,0,0,1,1,0,0
Tamazula,3,3,1,1,2,1,0,0,0,0
Tepehuanes,2,2,0,0,0,0,0,0,2,2
Tlahualilo,2,3,0,0,0,0,0,0,3,2
Vicente Guerrero,2,6,2,2,0,0,1,1,3,3
Nuevo Ideal,2,4,0,0,0,0,0,0,4,1
Guanajuato,170,445,59,59,38,38,69,63,279,257
Abasolo,7,17,4,4,0,0,1,1,12,12
Acambaro,5,13,1,1,1,1,5,4,6,5
San Miguel de Allende,10,18,2,2,0,0,6,6,10,9
Apaseo el Alto,1,7,2,2,3,3,0,0,2,2
Manuel Doblado,9,33,6,6,1,1,6,6,20,18
Cortazar,1,2,1,1,0,0,0,0,1,1
Cueramaro,2,7,2,2,0,0,3,3,2,2
Doctor Mora,3,13,0,0,0,0,0,0,13,13
Dolores Hidalgo Cuna de la Independencia Nal.,18,42,10,10,3,3,3,3,26,24
Guanajuato,3,4,0,0,1,1,1,1,2,2
Huanimaro,2,5,0,0,0,0,0,0,5,5
Irapuato,2,7,0,0,0,0,0,0,7,3
Jerecuaro,2,8,4,4,3,3,0,0,1,1
Leon,7,22,7,7,3,3,0,0,12,12
Ocampo,5,9,0,0,0,0,4,4,5,5
Penjamo,19,54,0,0,8,8,12,10,34,33
Purisima del Rincon,1,2,0,0,0,0,0,0,2,2
Romita,2,3,0,0,0,0,0,0,3,3
Salamanca,6,19,2,2,4,4,0,0,13,12
Salvatierra,1,2,0,0,0,0,1,1,1,1
San Diego de la Union,15,37,2,2,2,2,10,10,23,21
San Felipe,13,35,3,3,2,2,2,2,28,22
San Francisco del Rincon,3,3,0,0,0,0,1,1,2,2
San Jose Iturbide,1,4,0,0,0,0,0,0,4,4
San Luis de la Paz,13,37,8,8,4,4,5,3,20,19
Santa Cruz de Juventino Rosas,1,1,1,1,0,0,0,0,0,0
Silao,12,32,4,4,1,1,7,7,20,19
Tarimoro,1,1,0,0,0,0,0,0,1,1
Uriangato,1,2,0,0,0,0,2,1,0,0
Valle de Santiago,1,1,0,0,1,1,0,0,0,0
Victoria,2,3,0,0,1,1,0,0,2,2
Yuriria,1,2,0,0,0,0,0,0,2,2
Guerrero,54,68,18,17,18,16,18,14,14,11
Acapulco de Juarez,1,1,0,0,1,1,0,0,0,0
Ajuchitlan del Progreso,1,2,0,0,0,0,0,0,2,2
Arcelia,1,1,0,0,0,0,1,0,0,0
Benito Juarez,1,1,1,1,0,0,0,0,0,0
Coyuca de Benitez,1,1,0,0,0,0,0,0,1,1
Coyuca de Catalan,2,3,1,1,1,1,0,0,1,1
Cutzamala de Pinzon,1,1,0,0,1,0,0,0,0,0
Chilpancingo de los Bravo,8,10,5,5,1,1,2,1,2,2
Huamuxtitlan,1,2,0,0,2,2,0,0,0,0
Iguala de la Independencia,3,4,0,0,0,0,4,4,0,0
Jose Azueta,6,7,1,1,3,3,3,1,0,0
Juan R. Escudero,1,1,0,0,0,0,0,0,1,0
Leonardo Bravo,1,1,0,0,0,0,0,0,1,0
Martir de Cuilapan,1,1,1,1,0,0,0,0,0,0
Olinala ,1,1,0,0,0,0,1,1,0,0
Ometepec,2,2,2,1,0,0,0,0,0,0
Petatlan,1,1,1,1,0,0,0,0,0,0
San Luis Acatlan,2,2,0,0,2,1,0,0,0,0
Taxco de Alarcon,2,2,1,1,0,0,1,1,0,0
Tecpan de Galeana,2,2,1,1,0,0,0,0,1,0
Teloloapan,1,3,0,0,3,3,0,0,0,0
Tepecoacuilco de Trujano,1,1,0,0,0,0,0,0,1,1
Tlapa de Comonfort,1,1,0,0,1,1,0,0,0,0
La Union de Isidoro Montes de Oca,9,10,4,4,2,2,1,1,3,3
Eduardo Neri,3,7,0,0,1,1,5,5,1,1
Hidalgo,129,221,48,48,42,41,51,47,80,64
Acatlan,5,6,1,1,1,1,1,1,3,2
Alfajayucan,6,10,0,0,3,3,2,2,5,2
Atitalaquia,2,2,0,0,1,1,0,0,1,1
Atlapexco,2,3,0,0,1,1,1,1,1,0
Atotonilco el Grande,4,11,4,4,2,2,2,2,3,3
