INEGI. IX Censo Ejidal 2007,,,,
Ejidos y comunidades con vehiculos para uso agropecuario o forestal de su propiedad,,,,cuadro 29
segun cantidad y funcionamiento por entidad federativa y municipio,,,,
,,,,
,,,,
,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_con_vehiculos,cantidad_de_vehiculos,con_vehiculos_en_funcionamiento_ejidos_y_comunidades,con_vehiculos_en_funcionamiento_cantidad
Estados Unidos Mexicanos,1607,3406,1521,3207
Aguascalientes,1,2,1,2
Jesus Maria,1,2,1,2
Baja California,18,36,15,28
Ensenada,7,13,7,13
Mexicali,7,16,4,9
Tecate,3,4,3,3
Playas de Rosarito,1,3,1,3
Baja California Sur,21,49,21,48
Comondu,6,23,6,22
Mulege,6,10,6,10
La Paz,7,14,7,14
Los Cabos,2,2,2,2
Campeche,22,28,21,26
Champoton,7,11,6,10
Hecelchakan,1,1,1,1
Hopelchen,5,5,5,5
Tenabo,1,1,1,1
Escarcega,3,4,3,3
Calakmul,5,6,5,6
Coahuila de Zaragoza,23,50,19,46
Arteaga,1,1,1,1
Castaños,1,1,1,1
Escobedo,1,2,1,2
Francisco I. Madero,4,10,2,8
Frontera,1,1,0,0
Matamoros,1,4,1,4
Muzquiz,3,13,3,13
Progreso,1,1,1,1
Saltillo,2,3,2,3
San Juan de Sabinas,1,1,0,0
San Pedro,1,1,1,1
Sierra Mojada,3,6,3,6
Torreon,1,1,1,1
Viesca,2,5,2,5
Colima,7,16,7,14
Armeria,1,3,1,1
Comala,1,1,1,1
Cuauhtemoc,4,11,4,11
Villa de alvarez,1,1,1,1
Chiapas,56,92,56,92
Acala,1,1,1,1
Acapetahua,1,2,1,2
Bochil,2,3,2,3
El Bosque,3,3,3,3
Cintalapa,2,4,2,4
Coapilla,1,4,1,4
Comitan de Dominguez,1,5,1,5
Chenalho,1,9,1,9
Chiapa de Corzo,1,1,1,1
Chiapilla,1,1,1,1
Frontera Comalapa,1,1,1,1
Huehuetan,1,5,1,5
La Independencia,2,2,2,2
Jiquipilas,3,3,3,3
Mapastepec,2,4,2,4
Las Margaritas,2,4,2,4
Ocosingo,3,3,3,3
Ocozocoautla de Espinosa,1,1,1,1
Osumacinta,1,1,1,1
Palenque,1,1,1,1
Pijijiapan,1,2,1,2
Las Rosas,2,2,2,2
San Fernando,1,1,1,1
Suchiate,1,2,1,2
Tecpatan,13,19,13,19
La Trinitaria,1,1,1,1
Tuxtla Gutierrez,1,1,1,1
Tzimol,1,1,1,1
Venustiano Carranza,1,2,1,2
Villa Corzo,1,1,1,1
San Lucas,1,1,1,1
Marques de Comillas,1,1,1,1
Chihuahua,52,167,48,156
Ahumada,1,4,1,4
Aldama,1,2,1,2
Allende,1,1,1,1
Ascension,1,1,1,1
Balleza,5,11,4,8
Batopilas,1,5,1,5
Bocoyna,2,5,2,5
Camargo,1,2,1,2
Casas Grandes,1,1,1,1
La Cruz,1,1,1,1
Cuauhtemoc,1,1,1,1
Chihuahua,1,1,1,1
Guachochi,14,28,12,22
Guadalupe y Calvo,5,10,4,9
Janos,2,2,2,2
Jimenez,1,2,1,1
Juarez,1,2,1,2
Madera,5,80,5,80
Morelos,3,3,3,3
Namiquipa,1,2,1,2
Satevo,1,1,1,1
Saucillo,1,1,1,1
Urique,1,1,1,1
Distrito Federal,10,28,10,28
Cuajimalpa de Morelos,2,5,2,5
La Magdalena Contreras,3,11,3,11
Milpa Alta,1,5,1,5
alvaro Obregon,1,3,1,3
Tlahuac,1,2,1,2
Tlalpan,2,2,2,2
Durango,115,394,109,380
Canatlan,2,3,2,2
Coneto de Comonfort,1,1,1,1
Cuencame,3,9,3,9
Durango,11,20,10,19
Guadalupe Victoria,1,1,1,1
Guanacevi,14,23,14,23
Lerdo,4,7,4,7
Mapimi,1,4,1,4
Mezquital,5,11,5,11
Nombre de Dios,1,2,1,1
Otaez,4,8,4,8
Panuco de Coronado,1,3,1,1
Poanas,1,1,1,1
Pueblo Nuevo,20,191,19,189
San Dimas,18,44,17,42
San Juan de Guadalupe,1,1,1,1
Santiago Papasquiaro,6,26,6,25
Tamazula,2,5,2,5
Tepehuanes,10,20,10,20
Tlahualilo,2,2,0,0
Topia,5,10,5,9
Nuevo Ideal,2,2,1,1
Guanajuato,21,41,20,38
Acambaro,1,1,1,1
San Miguel de Allende,2,6,2,6
Apaseo el Alto,1,1,1,1
Dolores Hidalgo Cuna de la Independencia Nal.,1,4,1,4
Huanimaro,1,1,1,1
Leon,1,3,1,3
Penjamo,1,1,1,1
Salamanca,1,3,1,3
Salvatierra,3,7,3,7
San Felipe,3,4,2,2
San Luis de la Paz,2,2,2,2
Santa Cruz de Juventino Rosas,1,3,1,3
Tarimoro,1,2,1,2
Valle de Santiago,1,2,1,1
Villagran,1,1,1,1
Guerrero,58,91,50,80
Acapulco de Juarez,2,2,2,2
Ajuchitlan del Progreso,2,7,2,7
Atlamajalcingo del Monte,1,1,1,1
Atoyac de alvarez,3,4,3,4
Ayutla de los Libres,2,2,2,2
Copalillo,1,1,1,1
Coyuca de Benitez,1,2,1,2
Coyuca de Catalan,2,6,2,6
Chilpancingo de los Bravo,7,8,7,8
Huitzuco de los Figueroa,4,5,4,5
Jose Azueta,1,1,1,1
Juan R. Escudero,1,1,1,1
Leonardo Bravo,7,7,2,2
Malinaltepec,3,4,3,3
Petatlan,2,3,2,3
San Luis Acatlan,6,9,5,8
San Miguel Totolapan,1,4,1,4
Taxco de Alarcon,2,7,2,6
Tecpan de Galeana,2,7,2,7
Tepecoacuilco de Trujano,1,1,0,0
Tlapa de Comonfort,2,2,2,2
Zapotitlan Tablas,1,2,1,2
Eduardo Neri,4,5,3,3
Hidalgo,76,109,72,99
Acatlan,1,1,1,1
Agua Blanca de Iturbide,3,5,3,3
Ajacuba,1,1,1,1
Alfajayucan,2,2,2,2
Apan,1,1,1,1
Atitalaquia,1,1,1,1
Atotonilco el Grande,1,3,1,3
Atotonilco de Tula,4,8,3,7
Cardonal,2,2,2,2
Cuautepec de Hinojosa,4,5,3,4
Chapantongo,3,3,3,3
Chilcuautla,1,1,1,1
Eloxochitlan,1,2,1,2
Emiliano Zapata,1,1,1,1
Francisco I. Madero,1,1,1,1
Huautla,4,7,4,7
Huichapan,10,10,9,9
Metepec,2,4,2,3
Mixquiahuala de Juarez,2,4,2,4
Nopala de Villagran,2,4,2,3
Pachuca de Soto,1,1,1,1
San Agustin Tlaxiaca,3,3,2,2
Santiago de Anaya,1,1,1,1
Singuilucan,4,5,4,5
Tasquillo,1,1,1,1
Tecozautla,3,5,3,4
Tepeapulco,1,2,1,1
Tepeji del Rio de Ocampo,2,7,2,7
Tezontepec de Aldama,1,1,1,1
Tizayuca,1,2,1,2
Tlaxcoapan,1,1,1,1
Tolcayuca,1,1,1,1
Tula de Allende,3,3,3,3
Tulancingo de Bravo,1,1,1,1
Zacualtipan de angeles,1,3,1,3
Zempoala,3,4,3,4
Zimapan,1,2,1,2
Jalisco,94,201,92,191
Acatic,1,3,1,3
Acatlan de Juarez,3,5,3,5
Ahualulco de Mercado,4,9,4,9
Ameca,3,3,2,2
San Juanito de Escobedo,2,2,2,2
El Arenal,1,2,1,2
Atenguillo,2,2,2,2
Autlan de Navarro,1,1,1,1
Ayotlan,1,2,1,2
Ayutla,1,1,1,1
La Barca,1,1,1,1
Casimiro Castillo,2,3,2,3
Zapotlan el Grande,1,3,1,3
Concepcion de Buenos Aires,1,1,1,1
Cuautitlan de Garcia Barragan,2,3,2,2
Cuautla,1,2,1,1
Chapala,1,2,1,2
Chimaltitan,1,2,1,2
El Grullo,1,1,1,1
Hostotipaquillo,2,8,2,8
La Huerta,1,1,1,1
Ixtlahuacan del Rio,1,1,1,1
Jamay,1,2,1,2
Jocotepec,1,1,1,1
Magdalena,1,4,1,3
Mascota,3,3,3,3
Mezquitic,4,11,4,11
Pihuamo,1,1,1,1
Puerto Vallarta,4,12,4,12
Villa Purificacion,1,1,1,1
San Marcos,1,2,1,2
San Martin Hidalgo,1,2,1,2
Tala,3,8,3,6
Talpa de Allende,3,12,3,12
Tamazula de Gordiano,4,10,4,10
Tapalpa,1,2,1,2
Tecolotlan,1,1,1,1
Techaluta de Montenegro,1,1,1,1
Tenamaxtlan,1,1,1,1
Tequila,1,1,1,1
Teuchitlan,3,4,3,3
Tizapan el Alto,1,1,1,1
Tlajomulco de Zuñiga,8,15,7,14
Tomatlan,1,1,1,1
Tonila,4,20,4,20
Tuxpan,1,1,1,1
Zacoalco de Torres,1,4,1,2
Zapopan,3,8,3,8
Zapotiltic,5,14,5,14
Mexico,89,157,85,146
Acolman,3,8,3,8
Amanalco,3,4,3,4
Amecameca,1,2,1,2
Apaxco,2,5,2,5
Atizapan de Zaragoza,1,1,1,1
Atlacomulco,2,3,1,2
Capulhuac,1,1,0,0
Coatepec Harinas,1,2,1,2
Coyotepec,1,1,1,1
Chalco,6,8,6,8
Ecatepec de Morelos,2,2,2,2
Ecatzingo,2,3,2,2
Huehuetoca,1,1,1,1
Hueypoxtla,1,1,1,1
Huixquilucan,1,2,1,2
Ixtapaluca,7,14,7,13
Ixtlahuaca,2,2,2,2
Jilotzingo,1,1,1,1
Jiquipilco,1,7,1,7
Juchitepec,1,1,1,1
Malinalco,1,1,1,1
Naucalpan de Juarez,2,3,2,3
Nicolas Romero,1,1,1,1
Ocoyoacac,3,4,3,4
Ocuilan,1,2,1,2
Otumba,2,2,2,2
Ozumba,1,2,0,0
Polotitlan,1,1,1,1
Tecamac,1,2,1,2
Temascaltepec,5,8,5,8
Tenango del Valle,1,1,1,1
Teotihuacan,1,1,1,1
Tepetlaoxtoc,4,10,4,8
Tepotzotlan,1,1,1,1
Tequixquiac,2,3,2,3
Texcalyacac,1,1,1,1
Texcoco,8,20,8,19
Tezoyuca,2,3,2,2
Timilpan,1,2,1,2
Tlalmanalco,1,3,1,3
Villa de Allende,2,2,2,2
Villa del Carbon,3,10,3,10
Villa Guerrero,1,1,1,1
Zinacantepec,3,4,2,3
Michoacan de Ocampo,87,175,81,159
Acuitzio,1,4,1,4
alvaro Obregon,1,1,0,0
Ario,1,1,1,1
Buenavista,1,10,1,10
Coalcoman de Vazquez Pallares,1,15,1,15
Coeneo,1,1,1,1
Contepec,1,5,1,5
Charapan,1,2,1,2
Cheran,1,2,1,2
Chilchota,1,2,1,1
Chinicuila,2,2,2,2
Ecuandureo,2,3,2,3
Erongaricuaro,5,8,4,4
Hidalgo,2,3,2,3
Huandacareo,2,2,1,1
Huetamo,1,4,1,4
Indaparapeo,1,1,1,1
Irimbo,2,4,1,2
Ixtlan,1,4,1,2
Jacona,1,2,1,2
Jiquilpan,2,2,2,2
Morelia,3,3,3,3
Mugica,1,3,1,2
Nahuatzen,1,1,1,1
Nuevo Parangaricutiro,1,2,1,2
Ocampo,1,1,1,1
Pajacuaran,3,3,2,2
Paracuaro,1,1,1,1
Paracho,1,2,1,2
Patzcuaro,1,1,1,1
Periban,1,1,1,1
Querendaro,3,7,3,7
Quiroga,2,2,2,2
Sahuayo,1,2,1,2
San Lucas,1,1,1,1
Salvador Escalante,4,13,4,13
Senguio,2,2,2,2
Tacambaro,4,10,4,9
Tangancicuaro,2,3,2,3
Taretan,4,4,4,4
Tingambato,2,5,2,5
Tlalpujahua,1,1,1,1
Tuxpan,1,1,1,1
Tzintzuntzan,1,1,1,1
Uruapan,4,8,4,8
Venustiano Carranza,1,1,0,0
Villamar,1,1,1,1
Zacapu,1,1,1,1
Zamora,2,6,2,6
Zinapecuaro,2,3,2,3
Ziracuaretiro,1,1,1,1
Zitacuaro,1,1,1,1
Jose Sixto Verduzco,1,5,1,4
Morelos,60,91,53,81
Atlatlahucan,1,1,1,1
Axochiapan,3,3,3,3
Ayala,4,5,4,5
Cuautla,5,7,5,7
Cuernavaca,3,5,3,5
Emiliano Zapata,4,5,3,4
Huitzilac,1,3,1,3
Jantetelco,3,3,2,2
Jiutepec,4,7,3,6
Jojutla,4,6,4,6
Puente de Ixtla,2,4,2,4
Temixco,5,9,4,7
Tepalcingo,1,1,1,1
Tepoztlan,1,3,1,3
Tetecala,1,1,0,0
Tetela del Volcan,2,2,2,2
Tlaltizapan,8,12,6,9
Tlaquiltenango,2,5,2,5
Totolapan,1,1,1,1
Xochitepec,1,2,1,1
Yautepec,3,5,3,5
Zacatepec de Hidalgo,1,1,1,1
Nayarit,76,139,71,124
Acaponeta,1,2,0,0
