INEGI. IX Censo Ejidal 2007,,,,,,,,,,
Ejidos y comunidades con maquinaria para uso agropecuario o forestal de su propiedad,,,,,,,,,,cuadro 30
"segun tipo, cantidad y funcionamiento por entidad federativa y municipio",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_con_maquinaria_para_uso_agropecuario_o_forestal,ejidos_y_comunidades_con_trilladoras,ejidos_y_comunidades_con_trilladoras_cantidad_total,ejidos_y_comunidades_con_trilladoras_en_funcionamiento,ejidos_y_comunidades_con_motogruas,ejidos_y_comunidades_con_motogruas_cantidad_total,ejidos_y_comunidades_con_motogruas_en_funcionamiento,ejidos_y_comunidades_con_otra_maquinaria_agropecuaria_o_forestal,ejidos_y_comunidades_con_otra_maquinaria_agropecuaria_o_forestal_cantidad_total,ejidos_y_comunidades_con_otra_maquinaria_agropecuaria_o_forestal_en_funcionamiento
Estados Unidos Mexicanos,856,113,148,130,141,243,227,682,1327,1249
Baja California,12,3,3,3,0,0,0,10,20,18
Ensenada,4,2,2,2,0,0,0,2,3,3
Mexicali,7,0,0,0,0,0,0,7,16,14
Playas de Rosarito,1,1,1,1,0,0,0,1,1,1
Baja California Sur,4,0,0,0,0,0,0,4,6,6
Comondu,2,0,0,0,0,0,0,2,3,3
La Paz,1,0,0,0,0,0,0,1,1,1
Los Cabos,1,0,0,0,0,0,0,1,2,2
Campeche,3,0,0,0,0,0,0,3,7,7
Champoton,1,0,0,0,0,0,0,1,5,5
Calakmul,2,0,0,0,0,0,0,2,2,2
Coahuila de Zaragoza,36,1,1,1,0,0,0,35,96,91
Acuña,1,0,0,0,0,0,0,1,1,1
Arteaga,3,0,0,0,0,0,0,3,12,12
Castaños,1,0,0,0,0,0,0,1,1,1
Francisco I. Madero,2,0,0,0,0,0,0,2,2,2
Frontera,1,0,0,0,0,0,0,1,1,1
Monclova,1,0,0,0,0,0,0,1,3,1
Muzquiz,3,0,0,0,0,0,0,3,8,8
Ocampo,1,0,0,0,0,0,0,1,5,5
Parras,16,0,0,0,0,0,0,16,43,40
Progreso,1,0,0,0,0,0,0,1,4,4
Saltillo,3,0,0,0,0,0,0,3,13,13
San Juan de Sabinas,1,1,1,1,0,0,0,0,0,0
San Pedro,1,0,0,0,0,0,0,1,2,2
Zaragoza,1,0,0,0,0,0,0,1,1,1
Colima,4,0,0,0,1,1,1,3,4,4
Cuauhtemoc,3,0,0,0,1,1,1,2,3,3
Villa de alvarez,1,0,0,0,0,0,0,1,1,1
Chiapas,13,0,0,0,1,2,2,12,18,17
El Bosque,1,0,0,0,0,0,0,1,1,1
Coapilla,1,0,0,0,1,2,2,0,0,0
Chenalho,1,0,0,0,0,0,0,1,5,5
Huehuetan,1,0,0,0,0,0,0,1,1,1
La Independencia,1,0,0,0,0,0,0,1,1,1
Las Margaritas,1,0,0,0,0,0,0,1,1,1
Ocosingo,1,0,0,0,0,0,0,1,1,1
Socoltenango,1,0,0,0,0,0,0,1,1,1
Tapachula,1,0,0,0,0,0,0,1,1,0
Tzimol,2,0,0,0,0,0,0,2,4,4
Venustiano Carranza,2,0,0,0,0,0,0,2,2,2
Chihuahua,45,4,4,4,21,41,37,26,70,65
Ahumada,2,0,0,0,0,0,0,2,5,5
Allende,2,2,2,2,0,0,0,1,4,4
Aquiles Serdan,2,0,0,0,0,0,0,2,8,8
Ascension,1,0,0,0,0,0,0,1,1,0
Batopilas,1,0,0,0,1,5,5,0,0,0
Buenaventura,1,0,0,0,0,0,0,1,1,0
Camargo,3,1,1,1,0,0,0,2,8,8
Carichi,1,0,0,0,0,0,0,1,1,1
Coyame del Sotol,3,0,0,0,1,1,1,3,8,6
La Cruz,1,0,0,0,0,0,0,1,1,1
Dr. Belisario Dominguez,1,0,0,0,0,0,0,1,1,1
Guachochi,11,0,0,0,11,18,17,0,0,0
Jimenez,2,1,1,1,0,0,0,2,3,3
Juarez,1,0,0,0,0,0,0,1,2,2
Madera,4,0,0,0,2,9,9,4,20,19
Moris,2,0,0,0,2,3,3,0,0,0
Namiquipa,1,0,0,0,0,0,0,1,1,1
Ocampo,1,0,0,0,1,1,0,1,2,2
Ojinaga,1,0,0,0,0,0,0,1,1,1
Praxedis G. Guerrero,1,0,0,0,0,0,0,1,3,3
Urique,1,0,0,0,1,2,2,0,0,0
Uruachi,2,0,0,0,2,2,0,0,0,0
Distrito Federal,8,0,0,0,0,0,0,8,30,27
La Magdalena Contreras,1,0,0,0,0,0,0,1,1,1
Milpa Alta,4,0,0,0,0,0,0,4,17,14
alvaro Obregon,1,0,0,0,0,0,0,1,2,2
Tlahuac,2,0,0,0,0,0,0,2,10,10
Durango,79,7,11,11,49,93,86,39,91,89
Canatlan,2,2,2,2,0,0,0,0,0,0
Cuencame,2,1,2,2,0,0,0,1,10,9
Durango,8,1,1,1,1,2,2,7,20,20
Guadalupe Victoria,1,0,0,0,0,0,0,1,1,1
Guanacevi,8,0,0,0,7,7,6,2,5,5
Lerdo,1,0,0,0,0,0,0,1,5,5
Mapimi,1,0,0,0,0,0,0,1,2,2
Nazas,1,0,0,0,0,0,0,1,3,3
Otaez,1,0,0,0,1,1,1,0,0,0
Peñon Blanco,2,0,0,0,0,0,0,2,2,2
Pueblo Nuevo,16,0,0,0,16,38,37,3,7,7
San Dimas,16,0,0,0,15,26,24,7,12,11
Santiago Papasquiaro,6,1,2,2,2,2,1,3,10,10
Tamazula,5,0,0,0,5,13,12,5,7,7
Tepehuanes,3,0,0,0,1,3,3,2,2,2
Topia,1,0,0,0,1,1,0,0,0,0
Vicente Guerrero,2,1,3,3,0,0,0,1,2,2
Nuevo Ideal,3,1,1,1,0,0,0,2,3,3
Guanajuato,29,11,18,16,0,0,0,23,96,93
Abasolo,1,0,0,0,0,0,0,1,6,6
Acambaro,2,0,0,0,0,0,0,2,2,2
San Miguel de Allende,1,1,1,0,0,0,0,0,0,0
Cortazar,1,1,1,1,0,0,0,0,0,0
Doctor Mora,1,0,0,0,0,0,0,1,4,3
Dolores Hidalgo Cuna de la Independencia Nal.,1,0,0,0,0,0,0,1,8,8
Guanajuato,1,0,0,0,0,0,0,1,22,22
Huanimaro,1,0,0,0,0,0,0,1,1,1
Jaral del Progreso,1,0,0,0,0,0,0,1,1,1
Penjamo,2,1,2,2,0,0,0,1,1,1
Salamanca,1,1,1,1,0,0,0,0,0,0
Salvatierra,1,0,0,0,0,0,0,1,1,1
San Diego de la Union,2,1,3,3,0,0,0,2,2,1
San Felipe,5,2,4,3,0,0,0,4,5,4
San Luis de la Paz,4,3,4,4,0,0,0,4,36,36
Santa Cruz de Juventino Rosas,2,0,0,0,0,0,0,2,6,6
Valle de Santiago,1,1,2,2,0,0,0,0,0,0
Victoria,1,0,0,0,0,0,0,1,1,1
Guerrero,17,1,1,1,7,12,12,12,14,13
Acapulco de Juarez,1,0,0,0,0,0,0,1,2,2
Ahuacuotzingo,1,1,1,1,0,0,0,0,0,0
Ajuchitlan del Progreso,2,0,0,0,1,5,5,1,2,1
Coyuca de Catalan,2,0,0,0,2,3,3,0,0,0
Huitzuco de los Figueroa,2,0,0,0,0,0,0,2,2,2
Jose Azueta,1,0,0,0,0,0,0,1,1,1
Leonardo Bravo,1,0,0,0,1,1,1,1,1,1
Malinaltepec,1,0,0,0,0,0,0,1,1,1
Petatlan,2,0,0,0,1,1,1,2,2,2
Taxco de Alarcon,1,0,0,0,0,0,0,1,1,1
