INEGI. IX Censo Ejidal 2007,,,,,,,
Total de ejidos y comunidades segun disposicion y tipo de parcelas,,,,,,,cuadro 31
con destino especifico por entidad federativa y municipio,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades,parcelas_de_destino_especifico_ejidos_y_comunidades_con_parcelas_de_destino_especifico,parcelas_de_destino_especifico_parcela_escolar,parcelas_de_destino_especifico_unidad_productiva_para_el_desarrollo_integral_de_la_juventud,unidad_agricola_industrial_para_la_mujer_total,unidad_agricola_industrial_para_la_mujer_mujeres_participantes,sin_parcelas_de_este_tipo
Estados Unidos Mexicanos,31514,25053,24649,1002,6198,79374,6461
Aguascalientes,187,172,166,2,93,713,15
Aguascalientes,41,33,32,0,17,150,8
Asientos,34,34,34,1,17,130,0
Calvillo,8,7,6,0,4,34,1
Cosio,8,8,8,0,6,37,0
Jesus Maria,14,11,11,0,5,12,3
Pabellon de Arteaga,9,9,9,0,5,54,0
Rincon de Romos,13,13,13,0,5,42,0
San Jose de Gracia,10,7,5,1,6,56,3
Tepezala ,15,15,15,0,5,15,0
El Llano,24,24,23,0,15,109,0
San Francisco de los Romo,11,11,10,0,8,74,0
Baja California,240,202,197,19,105,766,38
Ensenada,97,85,83,10,59,586,12
Mexicali,119,99,96,8,35,92,20
Tecate,13,11,11,1,8,20,2
Tijuana,6,3,3,0,2,48,3
Playas de Rosarito,5,4,4,0,1,20,1
Baja California Sur,99,69,65,12,44,188,30
Comondu,C,C,15,2,5,106,C
Mulege,28,15,11,4,12,26,13
La Paz,32,24,24,5,21,56,8
Los Cabos,19,14,14,1,6,0,5
Loreto,C,C,1,0,0,0,C
Campeche,385,348,326,34,305,4887,37
Calkini,17,10,8,0,5,159,7
Campeche,35,29,26,1,28,480,6
Carmen,47,43,43,3,33,470,4
Champoton,57,55,51,7,50,771,2
Hecelchakan,15,9,9,0,4,105,6
Hopelchen,40,36,26,4,33,902,4
Palizada,4,3,3,0,1,30,1
Tenabo,10,8,6,0,7,185,2
Escarcega,38,38,38,3,38,481,0
Calakmul,65,62,61,9,60,720,3
Candelaria,57,55,55,7,46,584,2
Coahuila de Zaragoza,875,800,788,45,511,5315,75
Abasolo,C,C,4,1,3,2,C
Acuña,13,11,10,1,9,19,2
Allende,4,4,4,0,1,0,0
Arteaga,26,26,26,1,11,234,0
Candela,6,4,3,0,3,45,2
Castaños,23,21,21,2,13,268,2
Cuatro Cienegas,29,28,27,2,23,325,1
Escobedo,5,5,5,0,1,0,0
Francisco I. Madero,51,47,45,1,34,413,4
Frontera,6,6,6,0,1,6,0
General Cepeda,45,42,41,2,23,207,3
Guerrero,4,3,3,0,2,12,1
Hidalgo,C,C,2,0,2,0,C
Jimenez,19,19,19,0,14,36,0
Juarez,4,3,3,1,3,7,1
Lamadrid,C,C,1,0,0,0,C
Matamoros,64,54,54,2,22,200,10
Monclova,8,6,6,1,4,100,2
Morelos,C,C,2,0,2,400,C
Muzquiz,15,12,11,0,8,21,3
Nadadores,9,8,8,1,3,45,1
Nava,5,5,5,1,5,0,0
Ocampo,44,41,41,7,34,15,3
Parras,75,73,73,9,55,510,2
Piedras Negras,5,5,5,1,4,0,0
Progreso,8,8,8,0,5,63,0
Ramos Arizpe,53,51,50,3,37,483,2
Sabinas,7,6,6,0,2,0,1
Sacramento,C,C,1,0,0,0,C
Saltillo,84,82,82,6,49,687,2
San Buenaventura,14,12,12,0,9,156,2
San Juan de Sabinas,8,7,7,0,6,4,1
San Pedro,111,96,95,1,53,647,15
Sierra Mojada,25,25,24,0,21,46,0
Torreon,30,26,25,1,14,109,4
Viesca,41,32,31,0,19,255,9
Villa Union,11,10,10,1,9,0,1
Zaragoza,13,12,12,0,7,0,1
Colima,165,125,120,2,55,770,40
Armeria,9,8,7,0,4,61,1
Colima,21,17,16,0,11,118,4
Comala,13,12,12,0,5,68,1
Coquimatlan,14,11,10,0,8,92,3
Cuauhtemoc,11,11,11,1,3,115,0
Ixtlahuacan,12,10,10,0,5,36,2
Manzanillo,42,26,25,0,5,110,16
Minatitlan,11,9,9,0,4,44,2
Tecoman,25,15,14,0,7,99,10
Villa de alvarez,7,6,6,1,3,27,1
Chiapas,2823,1652,1634,23,186,3861,1171
Acacoyagua,18,15,14,0,4,47,3
Acala,28,10,10,1,0,0,18
Acapetahua,22,11,10,0,5,41,11
Altamirano,26,17,17,0,0,0,9
Amatan,22,13,13,0,0,0,9
Amatenango de la Frontera,13,12,12,0,0,0,1
Amatenango del Valle,C,C,1,0,0,0,C
Angel Albino Corzo,15,13,13,0,0,0,2
Arriaga,24,14,14,0,1,9,10
Bejucal de Ocampo,C,C,3,0,0,0,C
Bella Vista,9,9,9,0,1,50,0
Berriozabal,16,5,5,0,0,0,11
Bochil,38,20,19,1,3,50,18
El Bosque,13,5,5,0,0,0,8
Cacahoatan,21,18,18,0,0,0,3
Catazaja,28,15,13,2,3,97,13
Cintalapa,81,53,53,2,7,102,28
Coapilla,9,4,4,0,0,0,5
Comitan de Dominguez,34,15,15,0,0,0,19
La Concordia,43,24,24,0,7,340,19
Copainala,15,10,10,0,1,15,5
