INEGI. IX Censo Ejidal 2007,,,,,,,,,,
Ejidos y comunidades segun tipo de organizacion o asociacion,,,,,,,,,,cuadro 32
por entidad federativa y municipio,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades, ejidos_y_comunidades_segun_tipo_de_organizacion_o_asociacion_total, ejidos_y_comunidades_segun_tipo_de_organizacion_o_asociacion_asociacion_rural_de_interes_colectivo, ejidos_y_comunidades_segun_tipo_de_organizacion_o_asociacion_union_de_ejidos_y_comunidades_agrarias, ejidos_y_comunidades_segun_tipo_de_organizacion_o_asociacion_grupos_para_la_produccion, ejidos_y_comunidades_segun_tipo_de_organizacion_o_asociacion_sociedades_de_produccion_rural, ejidos_y_comunidades_segun_tipo_de_organizacion_o_asociacion_sociedades_de_solidaridad_social, ejidos_y_comunidades_segun_tipo_de_organizacion_o_asociacion_sociedades_mercantiles, ejidos_y_comunidades_segun_tipo_de_organizacion_o_asociacion_otras_formas_de_asociacion,sin_formas_de_organizacion_o_asociacion
Estados Unidos Mexicanos,31514,10857,1182,6547,3211,1742,781,189,846,20657
Aguascalientes,187,65,3,15,31,21,3,1,4,122
Aguascalientes,41,13,0,0,10,3,1,0,2,28
Asientos,34,15,0,0,9,6,0,0,0,19
Calvillo,8,5,2,1,1,2,1,0,0,3
Cosio,8,6,0,0,5,3,0,0,0,2
Jesus Maria,14,0,0,0,0,0,0,0,0,14
Pabellon de Arteaga,9,5,0,3,2,2,0,1,0,4
Rincon de Romos,13,5,0,5,1,0,0,0,0,8
San Jose de Gracia,10,3,0,3,0,0,0,0,0,7
Tepezala ,15,4,1,2,1,0,0,0,0,11
El Llano,24,6,0,0,2,5,0,0,1,18
San Francisco de los Romo,11,3,0,1,0,0,1,0,1,8
Baja California,240,79,15,41,28,17,3,9,7,161
Ensenada,97,39,7,18,19,11,1,5,5,58
Mexicali,119,31,5,17,6,5,2,2,1,88
Tecate,13,7,3,4,3,1,0,2,0,6
Tijuana,6,1,0,1,0,0,0,0,0,5
